Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	R2	RMSE	normalized_RMSE	AIC	BIC
SPAC1002.19	urg1	viable	V	-0.007	0.001	0.0	0.364	3.001	7.138	6.773	2.196	-0.002	-0.0	-2.221603	0.073	0.583805	-20.176	-21.348
SPAC1002.20	SPAC1002.20	viable	V	0.025	-0.002	-0.0	1.006	8.285	19.706	18.7	6.063	0.009	0.003	-0.692603	0.071	0.452823	-20.502	-21.673
SPAC1006.01	psp3	viable	V	0.697	0.117	-0.0	0.364	3.001	7.138	6.773	2.196	0.256	6.963	0.898711	0.082	0.112421	-19.016	-20.188
SPAC1006.03c	red1	viable	V	0.821	0.068	4.341	5.083	10.444	18.856	13.774	8.807	0.302	2.903	0.980295	0.033	0.052825	-28.253	-29.425
SPAC1006.04c	mcp3	viable	V	0.134	-0.008	0.0	1.004	8.264	19.658	18.654	6.048	0.049	0.015	-0.071235	0.066	0.342889	-21.154	-22.326
SPAC1006.05c	och1	viable	V	5.748	0.963	2.003	2.367	5.003	9.14	6.773	4.199	2.115	46.249	0.882326	0.81	0.133704	3.896	2.724
SPAC1006.06	rgf2	viable	V	-0.309	-0.039	0.0	0.485	3.992	9.496	9.011	2.922	-0.114	-2.746	0.929062	0.033	0.102983	-28.22	-29.392
SPAC1006.07	tif1	inviable	E	5.399	0.904	-0.0	0.364	3.001	7.138	6.773	2.196	1.986	53.923	0.824591	0.816	0.147352	3.963	2.792
SPAC1006.08	etd1	condition-dependent	E	6.455	1.081	2.095	2.46	5.096	9.233	6.773	4.291	2.375	51.347	0.988646	0.274	0.042222	-6.936	-8.108
SPAC1006.09	win1	viable	V	0.396	0.024	0.0	1.006	8.285	19.706	18.699	6.063	0.146	2.164	0.920915	0.035	0.106977	-27.438	-28.61
SPAC1039.01	SPAC1039.01	viable	V	-0.023	0.004	-0.0	0.364	3.0	7.135	6.77	2.195	-0.008	-0.001	-0.432348	0.064	0.421966	-21.533	-22.705
SPAC1039.02	efn2	viable	V	-0.0	-0.0	0.0	0.594	4.892	11.637	11.043	3.58	-0.0	-0.003	-0.413586	0.054	0.413014	-23.245	-24.417
SPAC1039.03	SPAC1039.03	viable	V	0.169	0.028	-0.0	0.364	3.001	7.138	6.773	2.196	0.062	1.687	-0.079176	0.21	0.390459	-9.603	-10.775
SPAC1039.04	SPAC1039.04	viable	V	0.066	-0.004	0.0	0.969	7.978	18.976	18.007	5.838	0.024	0.007	-0.13289	0.054	0.374136	-23.28	-24.452
SPAC1039.05c	klf1	viable	V	-0.071	0.004	0.001	1.007	8.285	19.706	18.698	6.063	-0.026	-0.008	-0.007104	0.043	0.354057	-25.42	-26.592
SPAC1039.06	SPAC1039.06	viable	V	0.039	-0.003	0.0	0.788	6.488	15.431	14.643	4.748	0.014	0.003	-0.1442	0.055	0.372197	-23.057	-24.228
SPAC1039.07c	SPAC1039.07c	viable	V	-0.047	0.008	-0.0	0.367	3.022	7.188	6.821	2.212	-0.017	-0.002	-0.743179	0.058	0.485307	-22.432	-23.604
SPAC1039.08	SPAC1039.08	viable	V	0.203	-0.012	0.0	1.006	8.285	19.706	18.7	6.063	0.075	0.023	-0.164794	0.121	0.37837	-15.144	-16.316
SPAC1039.09	isp5	viable	V	-0.227	-0.038	-0.0	0.364	3.001	7.138	6.773	2.196	-0.084	-2.271	0.383209	0.078	0.289095	-19.54	-20.712
SPAC1039.10	mmf2	viable	V	-0.015	0.003	-0.0	0.364	3.001	7.137	6.773	2.196	-0.006	-0.001	-0.008095	0.096	0.369615	-17.424	-18.595
SPAC1039.11c	gto1	viable	V	0.204	-0.029	0.0	0.427	3.518	8.368	7.94	2.574	0.075	0.01	-0.536809	0.172	0.432947	-11.61	-12.781
SPAC105.01c	kha1	viable	V	-0.015	0.003	0.0	0.364	3.001	7.138	6.773	2.196	-0.006	-0.001	-1.478266	0.089	0.660935	-18.24	-19.412
SPAC105.03c	dal81	viable	V	-0.014	0.002	0.0	0.364	3.001	7.138	6.773	2.196	-0.005	-0.001	-0.829728	0.144	0.499128	-13.397	-14.569
SPAC1071.01c	pta1	inviable	E	6.275	0.704	0.949	1.493	5.427	11.601	10.108	4.226	2.308	47.281	0.996567	0.13	0.021484	-14.43	-15.602
SPAC1071.02	mms19	viable	V	3.327	0.356	1.705	2.275	6.4	12.873	10.597	5.141	1.224	22.108	0.997384	0.059	0.019192	-22.241	-23.413
SPAC1071.03c	sil1	viable	V	1.797	0.301	10.511	10.875	13.512	17.648	6.773	12.707	0.661	1.466	0.791531	0.164	0.172071	-12.059	-13.231
SPAC1071.04c	spc2	viable	V	0.754	0.126	6.885	7.25	9.886	14.023	6.773	9.081	0.278	2.578	0.989604	0.029	0.041041	-29.47	-30.642
SPAC1071.05	hpm1	viable	V	0.375	0.063	-0.0	0.364	3.001	7.138	6.773	2.196	0.138	3.749	0.605165	0.09	0.223802	-18.033	-19.205
SPAC1071.06	arp9	viable	V	0.682	0.043	0.0	0.968	7.966	18.948	17.981	5.83	0.251	3.85	0.980912	0.027	0.050021	-30.152	-31.324
SPAC1071.09c	djc9	viable	V	0.822	0.054	1.172	2.107	8.868	19.476	17.37	6.804	0.302	4.092	0.884666	0.083	0.130231	-18.832	-20.003
SPAC1071.10c	pma1	inviable	E	6.379	1.069	1.021	1.385	4.022	8.159	6.773	3.217	2.347	57.482	0.986526	0.285	0.044726	-6.569	-7.74
SPAC1071.12c	stp1	viable	V	0.001	-0.0	0.0	0.349	2.872	6.831	6.482	2.102	0.0	0.0	-0.753197	0.066	0.523088	-21.195	-22.366
SPAC1071.13	SPAC1071.13	unknown	Not_determined	-0.019	0.003	0.0	0.364	3.001	7.137	6.773	2.196	-0.007	-0.001	-0.389552	0.157	0.406121	-12.53	-13.702
SPAC1093.01	ppr5	viable	V	0.613	0.103	3.142	3.507	6.143	10.28	6.773	5.338	0.226	4.248	0.553575	0.231	0.242791	-8.658	-9.83
SPAC1093.02	pdx3	viable	V	0.506	0.085	-0.0	0.364	3.001	7.138	6.773	2.196	0.186	5.057	0.240067	0.222	0.328386	-9.036	-10.208
SPAC1093.03	fig4	viable	V	-0.041	0.003	0.0	0.871	7.169	17.052	16.181	5.246	-0.015	-0.004	-0.281142	0.037	0.40918	-27.015	-28.187
SPAC1093.04c	cca1	inviable	E	6.052	1.014	1.605	1.969	4.605	8.742	6.773	3.801	2.226	51.061	0.99491	0.168	0.028104	-11.823	-12.994
SPAC1093.05	hca4	inviable	E	5.727	0.959	0.929	1.293	3.929	8.066	6.773	3.125	2.107	52.121	0.966827	0.403	0.066252	-3.088	-4.26
SPAC1093.06c	dhc1	viable	V	0.721	0.121	5.003	5.368	8.004	12.141	6.773	7.199	0.265	3.703	0.778159	0.159	0.189678	-12.416	-13.587
SPAC10F6.01c	sir1	viable	V	2.029	0.132	1.107	2.045	8.835	19.489	17.444	6.762	0.747	10.156	0.700331	0.342	0.1791	-4.743	-5.914
SPAC10F6.02c	prp22	inviable	E	6.123	1.026	1.617	1.982	4.618	8.755	6.773	3.813	2.252	51.584	0.989535	0.246	0.041197	-8.036	-9.208
SPAC10F6.03c	cts1	inviable	E	6.625	1.11	-0.0	0.364	3.001	7.138	6.773	2.196	2.437	66.168	0.981455	0.333	0.049298	-5.008	-6.18
SPAC10F6.04	ats1	viable	V	1.663	0.107	0.985	1.931	8.775	19.513	17.582	6.685	0.612	8.408	0.949643	0.101	0.075373	-16.934	-18.106
SPAC10F6.05c	ubc6	viable	V	-0.068	0.005	0.0	0.829	6.829	16.243	15.413	4.997	-0.025	-0.006	-1.638234	0.106	0.661102	-16.464	-17.636
SPAC10F6.06	vip1	viable	V	0.519	0.087	-0.0	0.364	3.001	7.138	6.773	2.196	0.191	5.186	0.352315	0.192	0.280269	-10.489	-11.661
SPAC10F6.08c	nht1	viable	V	1.16	0.136	6.771	7.292	11.055	16.959	9.668	9.906	0.427	3.124	0.956197	0.077	0.075435	-19.637	-20.809
SPAC10F6.09c	psm3	condition-dependent	E	5.934	0.804	2.021	2.471	5.73	10.844	8.373	4.735	2.183	43.223	0.999746	0.035	0.006256	-27.394	-28.566
SPAC10F6.10	rio1	inviable	E	6.607	1.005	1.225	1.627	4.53	9.085	7.459	3.644	2.431	56.01	0.999805	0.035	0.005353	-27.563	-28.735
SPAC10F6.12c	mam4	viable	V	-0.005	0.001	0.0	0.502	4.134	9.832	9.33	3.025	-0.002	-0.0	-0.261029	0.05	0.439619	-23.934	-25.106
SPAC10F6.13c	caa1	viable	V	6.093	0.513	2.241	2.967	8.213	16.445	13.478	6.611	2.241	31.683	0.995832	0.121	0.023993	-15.158	-16.329
SPAC10F6.14c	SPAC10F6.14c	viable	V	0.053	0.009	0.0	0.378	3.115	7.409	7.03	2.279	0.019	0.522	-0.031504	0.058	0.376028	-22.489	-23.661
SPAC10F6.15	SPAC10F6.15	viable	V	-0.279	0.018	0.0	0.968	7.967	18.951	17.984	5.831	-0.103	-0.03	-1.528249	0.121	0.652634	-15.141	-16.313
SPAC10F6.16	igo1	viable	V	-0.048	0.008	0.0	0.379	3.122	7.427	7.047	2.285	-0.018	-0.002	-0.189362	0.14	0.378079	-13.669	-14.841
SPAC10F6.17c	ptc5	viable	V	0.065	-0.011	0.0	0.375	3.084	7.335	6.961	2.257	0.024	0.003	-0.01661	0.049	0.335432	-24.097	-25.268
SPAC110.01	ppk1	viable	V	-0.031	0.003	0.0	0.681	5.609	13.341	12.66	4.104	-0.011	-0.002	-0.609139	0.059	0.454175	-22.372	-23.544
SPAC110.02	pds5	viable	V	0.346	0.022	1.017	1.961	8.79	19.506	17.545	6.705	0.127	1.745	0.750551	0.067	0.215724	-21.017	-22.189
SPAC110.03	cdc42	inviable	E	6.262	1.049	-0.0	0.364	3.001	7.138	6.773	2.196	2.304	62.544	0.863864	0.857	0.132912	4.459	3.287
SPAC110.04c	pss1	condition-dependent	E	6.421	0.877	0.836	1.283	4.516	9.59	8.307	3.529	2.362	54.244	0.997957	0.107	0.016777	-16.36	-17.532
SPAC110.06	SPAC110.06	viable	Not_determined	-0.168	-0.028	-0.0	0.364	3.001	7.138	6.773	2.196	-0.062	-1.682	0.103806	0.138	0.345374	-13.769	-14.941
SPAC1142.01	rqc1	viable	V	0.445	0.075	0.0	0.364	3.001	7.138	6.773	2.196	0.164	4.45	-0.049739	1.571	0.398898	10.519	9.347
SPAC1142.02c	sgt2	viable	V	-0.037	0.006	0.0	0.403	3.319	7.896	7.493	2.429	-0.013	-0.002	-0.248765	0.099	0.391544	-17.12	-18.292
SPAC1142.03c	swi2	viable	V	0.012	-0.002	0.0	0.436	3.591	8.541	8.105	2.628	0.004	0.001	-0.093135	0.115	0.372544	-15.618	-16.79
SPAC1142.04	noc201	inviable	E	6.749	1.131	1.456	1.82	4.456	8.593	6.773	3.652	2.483	57.937	0.987468	0.295	0.043978	-6.218	-7.39
SPAC1142.05	ctr5	viable	V	4.802	0.375	3.664	4.446	10.107	18.989	14.543	8.378	1.767	18.49	0.969394	0.23	0.063121	-8.707	-9.879
SPAC1142.06	get3	viable	V	0.016	-0.003	0.0	0.364	3.0	7.137	6.772	2.196	0.006	0.001	-0.155718	0.057	0.349876	-22.703	-23.875
SPAC1142.07c	vps32	viable	V	5.396	0.354	1.241	2.172	8.902	19.463	17.291	6.847	1.985	26.691	0.892917	0.5	0.116947	-0.935	-2.107
SPAC1142.08	fhl1	viable	V	2.23	0.297	1.654	2.112	5.429	10.634	8.521	4.417	0.82	16.876	0.960118	0.168	0.074815	-11.809	-12.981
SPAC1142.09	SPAC1142.09	unknown	Not_determined	-0.05	-0.008	0.0	0.364	3.001	7.137	6.773	2.196	-0.018	-0.497	-0.101225	0.057	0.382003	-22.729	-23.9
SPAC11D3.02c	SPAC11D3.02c	viable	V	0.018	-0.003	-0.0	0.365	3.001	7.139	6.775	2.196	0.007	0.001	-0.086919	0.03	0.350243	-28.91	-30.081
SPAC11D3.03c	SPAC11D3.03c	viable	V	-0.019	0.003	0.0	0.364	2.997	7.128	6.764	2.193	-0.007	-0.001	-1.982799	0.069	0.559873	-20.675	-21.847
SPAC11D3.04c	SPAC11D3.04c	viable	V	0.192	-0.012	0.0	1.005	8.276	19.685	18.68	6.056	0.07	0.022	0.009606	0.043	0.325644	-25.394	-26.565
SPAC11D3.05	mfs2	viable	V	0.034	0.002	0.0	1.006	8.285	19.706	18.7	6.063	0.013	0.187	0.102967	0.036	0.32899	-27.374	-28.545
SPAC11D3.06	SPAC11D3.06	viable	V	1.672	0.28	10.511	10.875	13.512	17.648	6.773	12.707	0.615	1.364	0.972959	0.057	0.064393	-22.582	-23.753
SPAC11D3.07c	toe4	viable	V	0.064	-0.004	-0.0	1.006	8.285	19.706	18.7	6.063	0.024	0.007	-0.166926	0.034	0.372449	-27.736	-28.908
SPAC11D3.08c	SPAC11D3.08c	viable	V	0.155	0.026	-0.0	0.364	3.001	7.138	6.773	2.196	0.057	1.545	0.094663	0.071	0.304993	-20.485	-21.657
SPAC11D3.09	agm1	viable	V	0.223	0.026	0.0	0.524	4.311	10.253	9.73	3.154	0.082	1.912	0.963496	0.016	0.075788	-35.077	-36.248
SPAC11D3.10	SPAC11D3.10	viable	V	0.067	-0.011	0.0	0.364	3.001	7.138	6.773	2.196	0.025	0.003	-1.133189	0.09	0.526587	-18.074	-19.246
SPAC11D3.11c	SPAC11D3.11c	unknown	Not_determined	-0.043	-0.003	0.0	1.006	8.282	19.699	18.693	6.061	-0.016	-0.237	-0.016085	0.121	0.36065	-15.135	-16.306
SPAC11D3.13	hsp3104	viable	V	-0.001	0.0	0.0	0.364	3.0	7.136	6.772	2.196	-0.0	-0.0	-0.999625	0.068	0.492478	-20.816	-21.988
SPAC11D3.14c	oxp2	viable	V	-0.023	0.004	-0.0	0.406	3.34	7.945	7.539	2.444	-0.009	-0.001	-0.117976	0.04	0.381649	-26.17	-27.342
SPAC11D3.15	oxp1	viable	V	0.013	-0.002	0.0	0.398	3.28	7.802	7.404	2.4	0.005	0.001	-0.357189	0.02	0.424084	-33.369	-34.541
SPAC11D3.16c	SPAC11D3.16c	viable	V	-0.044	0.003	0.0	1.006	8.28	19.696	18.69	6.06	-0.016	-0.005	-0.297636	0.117	0.429833	-15.426	-16.598
SPAC11D3.17	SPAC11D3.17	viable	V	-0.039	0.005	0.0	0.435	3.581	8.518	8.083	2.621	-0.014	-0.002	-1.393879	0.048	0.542324	-24.423	-25.595
SPAC11D3.18c	SPAC11D3.18c	viable	V	-0.02	0.003	0.0	0.364	2.998	7.131	6.766	2.194	-0.007	-0.001	-0.275548	0.059	0.406659	-22.308	-23.48
SPAC11D3.19	SPAC11D3.19	viable	Not_determined	-0.018	0.003	0.0	0.364	2.999	7.134	6.769	2.195	-0.006	-0.001	-2.147907	0.063	0.667155	-21.692	-22.864
SPAC11D3.20	SPAC11D3.20	unknown	Not_determined	-0.014	0.002	0.0	0.364	3.001	7.138	6.773	2.196	-0.005	-0.001	-1.444692	0.092	0.533959	-17.877	-19.049
SPAC11E3.01c	swr1	viable	V	0.718	0.092	0.0	0.479	3.947	9.388	8.909	2.888	0.264	6.426	0.979989	0.036	0.049644	-27.121	-28.293
SPAC11E3.02c	ync13	condition-dependent	E	3.757	0.415	4.806	5.359	9.36	15.639	10.28	8.139	1.382	15.238	0.993901	0.093	0.030518	-17.746	-18.918
SPAC11E3.03	csm1	viable	V	3.027	0.401	6.525	6.986	10.319	15.548	8.562	9.301	1.114	9.565	0.989834	0.094	0.038903	-17.6	-18.772
SPAC11E3.04c	ubc13	viable	V	0.404	0.024	-0.0	1.006	8.285	19.706	18.7	6.063	0.148	2.205	0.469815	0.115	0.25981	-15.642	-16.814
SPAC11E3.05	sea3	viable	V	4.848	0.582	2.128	2.637	6.318	12.095	9.458	5.194	1.783	32.558	0.99988	0.019	0.004234	-33.5	-34.671
SPAC11E3.06	map1	viable	V	-0.02	0.003	-0.0	0.475	3.912	9.305	8.83	2.863	-0.007	-0.001	-1.493424	0.064	0.564511	-21.434	-22.605
SPAC11E3.07	vma4	inviable	E	5.092	0.358	2.261	3.129	9.409	19.263	16.134	7.492	1.873	22.886	0.978348	0.2	0.051146	-10.072	-11.244
SPAC11E3.08c	nse6	viable	V	2.846	0.381	6.197	6.653	9.952	15.127	8.474	8.945	1.047	9.827	0.997933	0.042	0.017932	-25.659	-26.831
SPAC11E3.09	pyp3	viable	V	2.889	0.484	10.113	10.477	13.114	17.251	6.773	12.309	1.063	2.962	0.981798	0.081	0.050632	-19.076	-20.247
SPAC11E3.10	SPAC11E3.10	viable	V	-0.034	0.003	0.0	0.598	4.92	11.702	11.104	3.6	-0.012	-0.002	-0.536627	0.144	0.438963	-13.411	-14.583
SPAC11E3.11c	syt22	viable	V	0.331	0.035	0.001	0.578	4.759	11.319	10.74	3.483	0.122	2.686	0.700959	0.086	0.188625	-18.577	-19.748
SPAC11E3.12	SPAC11E3.12	viable	V	0.028	-0.005	0.0	0.364	3.001	7.138	6.773	2.196	0.01	0.001	-2.59249	0.088	0.717832	-18.271	-19.443
SPAC11E3.13c	gas5	viable	V	0.407	0.068	-0.0	0.364	3.001	7.138	6.773	2.196	0.15	4.069	0.834171	0.063	0.140832	-21.676	-22.848
SPAC11E3.14	SPAC11E3.14	viable	V	0.193	-0.012	-0.0	1.006	8.285	19.706	18.7	6.063	0.071	0.022	-0.24771	0.097	0.380393	-17.33	-18.502
SPAC11G7.01	mtl2	viable	V	0.869	0.146	-0.0	0.364	3.001	7.138	6.773	2.196	0.32	8.682	0.962177	0.062	0.073723	-21.854	-23.025
SPAC11G7.02	pub1	viable	V	4.774	0.559	0.524	1.046	4.82	10.742	9.696	3.668	1.756	38.686	0.780786	0.831	0.161039	4.15	2.979
SPAC11G7.03	idh1	viable	V	2.925	0.2	1.87	2.762	9.214	19.34	16.578	7.244	1.076	13.659	0.963547	0.15	0.065356	-12.985	-14.157
SPAC11G7.05c	mct1	viable	V	1.87	0.116	0.405	1.386	8.486	19.627	18.24	6.319	0.688	9.909	0.892566	0.171	0.1117	-11.641	-12.812
SPAC11G7.06c	mug132	viable	V	-0.038	0.006	0.0	0.409	3.369	8.014	7.604	2.465	-0.014	-0.002	-1.121228	0.066	0.634997	-21.175	-22.347
SPAC11H11.01	sst6	viable	V	0.364	0.022	0.0	1.006	8.285	19.706	18.699	6.063	0.134	1.99	0.628143	0.077	0.257024	-19.592	-20.764
SPAC11H11.02c	mug162	viable	V	-0.176	-0.029	0.0	0.364	3.001	7.138	6.773	2.196	-0.065	-1.759	0.458064	0.056	0.264287	-22.914	-24.085
SPAC11H11.03c	SPAC11H11.03c	viable	V	-0.015	0.002	0.0	0.468	3.854	9.168	8.7	2.821	-0.005	-0.001	-0.754833	0.068	0.496391	-20.882	-22.053
SPAC11H11.04	mam2	viable	V	2.435	0.408	10.511	10.875	13.512	17.648	6.773	12.707	0.896	1.987	0.991392	0.045	0.036982	-24.985	-26.156
SPAC11H11.05c	fta6	viable	V	0.09	-0.015	0.0	0.364	3.001	7.138	6.773	2.196	0.033	0.004	-0.34176	0.124	0.419499	-14.895	-16.066
SPAC11H11.06	arp2	inviable	E	5.715	0.957	0.524	0.889	3.525	7.662	6.773	2.72	2.102	54.245	0.991644	0.197	0.034076	-10.261	-11.433
SPAC1250.01	snf21	inviable	E	7.425	0.626	2.543	3.267	8.509	16.733	13.466	6.908	2.731	36.853	0.998732	0.08	0.013352	-19.255	-20.427
SPAC1250.02	mug95	viable	V	-0.19	-0.032	-0.0	0.364	3.001	7.138	6.773	2.196	-0.07	-1.901	0.17664	0.086	0.313572	-18.544	-19.715
SPAC1250.03	ubc14	viable	V	0.049	-0.008	0.0	0.364	3.001	7.138	6.773	2.196	0.018	0.002	-1.116954	0.114	0.58625	-15.739	-16.911
SPAC1250.05	rpl3002	viable	V	0.409	0.068	2.453	2.817	5.454	9.591	6.773	4.649	0.15	3.107	0.441264	0.225	0.288216	-8.925	-10.097
SPAC1296.01c	SPAC1296.01c	viable	V	0.769	0.129	0.744	1.109	3.745	7.882	6.773	2.94	0.283	7.139	0.079495	1.114	0.357376	7.079	5.907
SPAC1296.02	cox4	viable	V	1.644	0.129	1.999	2.778	8.411	17.252	14.474	6.691	0.605	8.398	0.967384	0.089	0.070684	-18.216	-19.388
SPAC1296.03c	sxa2	viable	V	-0.031	0.004	0.0	0.426	3.509	8.347	7.921	2.568	-0.012	-0.002	-0.907162	0.049	0.587089	-24.095	-25.267
SPAC1296.04	mug65	viable	V	0.021	-0.003	0.0	0.416	3.427	8.152	7.735	2.508	0.008	0.001	-0.20551	0.251	0.374675	-7.807	-8.979
SPAC1296.05c	lcp1	viable	V	0.016	-0.003	0.0	0.364	3.001	7.138	6.773	2.196	0.006	0.001	-1.256868	0.082	0.640712	-19.009	-20.181
SPAC1296.06	tah18	viable	V	6.614	0.695	2.541	3.122	7.325	13.921	10.799	6.042	2.433	38.5	0.999264	0.061	0.010395	-21.894	-23.066
SPAC12B10.01c	hul6	viable	V	3.09	0.518	9.654	10.018	12.655	16.792	6.773	11.85	1.137	4.004	0.972673	0.117	0.060802	-15.468	-16.639
SPAC12B10.02c	sdg1	condition-dependent	E	-0.023	0.003	0.0	0.449	3.699	8.798	8.349	2.707	-0.009	-0.001	-0.378322	0.116	0.450104	-15.57	-16.741
SPAC12B10.03	bun62	viable	V	-0.085	-0.013	0.0	0.403	3.316	7.887	7.484	2.427	-0.031	-0.817	0.48092	0.035	0.261586	-27.509	-28.681
SPAC12B10.04	pby1	viable	V	-0.066	0.007	0.0	0.596	4.908	11.673	11.077	3.591	-0.024	-0.004	-0.235824	0.054	0.395218	-23.161	-24.333
SPAC12B10.05	icp55	viable	V	0.124	-0.019	0.0	0.404	3.327	7.914	7.51	2.435	0.046	0.006	-0.065101	0.054	0.373847	-23.219	-24.39
SPAC12B10.06c	sdh5	viable	V	0.107	-0.012	0.0	0.548	4.515	10.738	10.19	3.304	0.039	0.007	-0.639176	0.117	0.446075	-15.429	-16.6
SPAC12B10.07	acp1	viable	V	0.003	-0.001	0.0	0.364	3.001	7.138	6.774	2.196	0.001	0.0	-0.235379	0.132	0.363524	-14.253	-15.424
SPAC12B10.08c	til1	inviable	E	3.092	0.351	7.661	8.199	12.094	18.206	10.007	10.905	1.138	6.242	0.992992	0.063	0.031524	-21.684	-22.855
SPAC12B10.09	pet801	viable	V	0.036	0.002	0.0	1.006	8.285	19.706	18.7	6.063	0.013	0.195	0.064775	0.061	0.33428	-21.94	-23.112
SPAC12B10.10	nod1	viable	V	0.496	0.03	0.0	1.006	8.284	19.705	18.699	6.063	0.182	2.709	0.889639	0.045	0.114089	-25.047	-26.219
SPAC12B10.11	exg2	viable	V	0.015	0.003	0.0	0.364	2.999	7.132	6.768	2.194	0.006	0.151	-0.078431	0.071	0.350606	-20.476	-21.647
SPAC12B10.12c	rhp41	viable	V	0.773	0.047	-0.0	1.006	8.285	19.706	18.7	6.063	0.284	4.223	0.788106	0.098	0.154089	-17.181	-18.352
SPAC12B10.14c	tea5	viable	V	0.08	-0.005	0.0	0.889	7.319	17.408	16.52	5.356	0.029	0.008	-0.089097	0.107	0.394462	-16.322	-17.494
SPAC12B10.15c	rnh203	viable	V	-0.59	-0.036	-0.0	1.006	8.285	19.706	18.7	6.063	-0.217	-3.225	0.93444	0.042	0.087423	-25.793	-26.965
SPAC12B10.16c	mug157	viable	V	0.055	-0.003	0.0	1.006	8.285	19.706	18.7	6.063	0.02	0.006	-0.36599	0.11	0.446881	-16.079	-17.251
SPAC12G12.01c	sea4	viable	V	0.279	0.017	0.0	1.006	8.284	19.705	18.698	6.062	0.103	1.523	0.765576	0.044	0.160997	-25.32	-26.492
SPAC12G12.02	efg1	inviable	E	5.441	0.911	1.207	1.571	4.207	8.344	6.773	3.403	2.002	48.036	0.999855	0.025	0.004654	-30.891	-32.063
SPAC12G12.03	cip2	viable	V	0.496	0.043	2.852	3.564	8.716	16.8	13.236	7.143	0.183	2.375	0.768746	0.097	0.166779	-17.358	-18.53
SPAC12G12.04	mcp60	inviable	E	6.459	1.082	2.361	2.725	5.362	9.499	6.773	4.557	2.376	49.692	0.997898	0.118	0.018173	-15.402	-16.574
SPAC12G12.06c	rcl1	inviable	E	6.174	1.034	1.413	1.777	4.414	8.551	6.773	3.609	2.271	53.259	0.995111	0.167	0.026603	-11.919	-13.091
SPAC12G12.07c	cpn1	viable	V	1.17	0.078	1.443	2.361	9.002	19.423	17.062	6.975	0.43	5.685	0.753499	0.182	0.168474	-11.049	-12.221
SPAC12G12.09	eti1	viable	V	-0.013	0.002	-0.0	0.364	3.001	7.137	6.773	2.196	-0.005	-0.001	-2.184126	0.116	0.654874	-15.549	-16.721
