Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4
SPAC1039.02	efn2	viable	V	0.0	-0.108	-0.046	-0.014	0.022
SPAC1039.03	SPAC1039.03	viable	V	0.0	0.362	0.314	0.214	-0.176
SPAC1039.04	SPAC1039.04	viable	V	0.0	0.031	0.014	-0.112	-0.025
SPAC1039.05c	klf1	viable	V	0.0	-0.045	0.072	0.011	-0.037
SPAC1039.06	SPAC1039.06	viable	V	0.0	0.007	-0.099	-0.053	0.048
SPAC1039.07c	SPAC1039.07c	viable	V	0.0	-0.107	0.013	-0.067	-0.029
SPAC1039.08	SPAC1039.08	viable	V	0.0	0.106	-0.128	-0.213	0.006
SPAC1039.09	isp5	viable	V	0.0	-0.269	-0.117	-0.256	-0.185
SPAC1039.10	mmf2	viable	V	0.0	-0.089	-0.087	0.171	-0.038
SPAC1039.11c	gto1	viable	V	0.0	-0.272	0.067	-0.188	-0.094
SPAC105.01c	kha1	viable	V	0.0	0.078	0.123	0.007	0.134
SPAC105.03c	dal81	viable	V	0.0	0.126	0.067	0.288	0.003
SPAC1071.01c	pta1	inviable	E	0.0	1.744	3.922	5.219	6.083
SPAC1071.02	mms19	viable	V	0.0	0.584	1.793	2.537	3.093
SPAC1071.03c	sil1	viable	V	0.0	-0.06	0.356	0.0	0.895
SPAC1071.04c	spc2	viable	V	0.0	-0.036	-0.019	0.396	0.666
SPAC1071.05	hpm1	viable	V	0.0	0.358	0.336	0.404	0.246
SPAC1071.06	arp9	viable	V	0.0	0.114	0.292	0.412	0.538
SPAC1071.09c	djc9	viable	V	0.0	0.173	0.122	0.52	0.641
SPAC1071.10c	pma1	inviable	E	0.0	2.318	5.62	5.736	6.37
SPAC1071.12c	stp1	viable	V	0.0	-0.03	-0.11	0.016	-0.092
SPAC1071.13	SPAC1071.13	unknown	Not_determined	0.0	0.073	-0.053	0.333	0.062
SPAC1093.01	ppr5	viable	V	0.0	0.02	0.23	0.951	0.301
SPAC1093.02	pdx3	viable	V	0.0	0.507	0.241	0.5	0.242
SPAC1093.03	fig4	viable	V	0.0	0.003	-0.009	0.011	0.081
SPAC1093.04c	cca1	inviable	E	0.0	1.632	4.834	5.576	5.988
SPAC1093.05	hca4	inviable	E	0.0	2.232	5.035	4.795	6.083
SPAC1093.06c	dhc1	viable	V	0.0	-0.017	0.039	0.82	0.507
SPAC10F6.01c	sir1	viable	V	0.0	0.633	0.637	0.612	1.907
SPAC10F6.02c	prp22	inviable	E	0.0	1.548	5.208	5.721	6.108
SPAC10F6.03c	cts1	inviable	E	0.0	3.998	5.934	5.992	6.78
SPAC10F6.04	ats1	viable	V	0.0	0.391	0.522	0.839	1.339
SPAC10F6.05c	ubc6	viable	V	0.0	0.158	0.16	0.064	0.034
SPAC10F6.06	vip1	viable	V	0.0	0.51	0.686	0.227	0.464
SPAC10F6.08c	nht1	viable	V	0.0	-0.169	0.041	0.436	0.852
SPAC10F6.09c	psm3	condition-dependent	E	0.0	1.109	3.546	5.235	5.743
SPAC10F6.10	rio1	inviable	E	0.0	2.152	4.85	6.084	6.487
SPAC10F6.12c	mam4	viable	V	0.0	0.065	-0.035	0.074	0.009
SPAC10F6.13c	caa1	viable	V	0.0	0.651	2.392	3.76	5.141
SPAC10F6.14c	SPAC10F6.14c	viable	V	0.0	0.088	0.113	-0.041	0.064
SPAC10F6.15	SPAC10F6.15	viable	V	0.0	-0.184	-0.185	-0.052	-0.051
SPAC10F6.16	igo1	viable	V	0.0	-0.295	0.012	0.075	-0.071
SPAC10F6.17c	ptc5	viable	V	0.0	-0.05	0.097	-0.002	-0.015
SPAC110.01	ppk1	viable	V	0.0	0.1	0.041	0.068	-0.029
SPAC110.02	pds5	viable	V	0.0	-0.021	0.012	0.248	0.29
SPAC110.03	cdc42	inviable	E	0.0	5.113	4.604	6.268	6.618
SPAC110.04c	pss1	condition-dependent	E	0.0	2.265	4.665	5.74	6.385
SPAC110.06	SPAC110.06	viable	Not_determined	0.0	-0.224	0.058	-0.343	-0.1
SPAC1142.01	rqc1	viable	V	0.0	-0.093	3.846	0.209	-0.034
SPAC1142.02c	sgt2	viable	V	0.0	0.101	-0.068	0.003	0.185
SPAC1142.03c	swi2	viable	V	0.0	0.143	0.098	-0.166	0.093
SPAC1142.04	noc201	inviable	E	0.0	1.87	5.775	6.159	6.73
SPAC1142.05	ctr5	viable	V	0.0	0.294	1.33	1.989	3.767
SPAC1142.06	get3	viable	V	0.0	-0.013	-0.033	0.052	-0.11
SPAC1142.07c	vps32	viable	V	0.0	0.578	2.604	2.34	4.274
SPAC1142.08	fhl1	viable	V	0.0	0.565	1.25	2.252	1.979
SPAC1142.09	SPAC1142.09	unknown	Not_determined	0.0	-0.118	-0.084	0.03	-0.049
SPAC11D3.02c	SPAC11D3.02c	viable	V	0.0	-0.02	0.006	-0.058	0.029
SPAC11D3.03c	SPAC11D3.03c	viable	V	0.0	0.055	0.04	0.064	0.124
SPAC11D3.04c	SPAC11D3.04c	viable	V	0.0	0.077	-0.019	-0.056	-0.007
SPAC11D3.05	mfs2	viable	V	0.0	-0.009	0.037	-0.041	0.067
SPAC11D3.06	SPAC11D3.06	viable	V	0.0	-0.055	-0.04	-0.045	0.836
SPAC11D3.07c	toe4	viable	V	0.0	-0.003	0.031	0.064	-0.028
SPAC11D3.08c	SPAC11D3.08c	viable	V	0.0	0.232	0.121	0.136	0.098
SPAC11D3.09	agm1	viable	V	0.0	0.069	0.187	0.206	0.217
SPAC11D3.10	SPAC11D3.10	viable	V	0.0	-0.171	-0.024	-0.097	-0.036
SPAC11D3.11c	SPAC11D3.11c	unknown	Not_determined	0.0	0.25	0.02	-0.067	-0.085
SPAC11D3.13	hsp3104	viable	V	0.0	0.139	0.053	0.02	0.03
SPAC11D3.14c	oxp2	viable	V	0.0	-0.06	0.045	-0.049	-0.001
SPAC11D3.15	oxp1	viable	V	0.0	-0.025	0.016	-0.011	-0.03
SPAC11D3.16c	SPAC11D3.16c	viable	V	0.0	-0.012	0.01	0.022	0.261
SPAC11D3.17	SPAC11D3.17	viable	V	0.0	-0.08	-0.015	-0.026	-0.054
SPAC11D3.18c	SPAC11D3.18c	viable	V	0.0	0.067	-0.038	0.001	0.107
SPAC11D3.19	SPAC11D3.19	viable	Not_determined	0.0	-0.069	-0.094	-0.021	-0.075
SPAC11D3.20	SPAC11D3.20	unknown	Not_determined	0.0	0.172	0.078	0.076	0.027
SPAC11E3.01c	swr1	viable	V	0.0	0.342	0.515	0.634	0.734
SPAC11E3.02c	ync13	condition-dependent	E	0.0	0.251	0.687	2.217	3.049
SPAC11E3.03	csm1	viable	V	0.0	0.211	0.195	1.431	2.427
SPAC11E3.04c	ubc13	viable	V	0.0	0.115	0.197	0.034	0.442
SPAC11E3.05	sea3	viable	V	0.0	0.768	2.588	3.937	4.647
SPAC11E3.06	map1	viable	V	0.0	0.114	0.029	0.078	0.028
SPAC11E3.07	vma4	inviable	E	0.0	0.801	1.478	2.525	3.919
SPAC11E3.08c	nse6	viable	V	0.0	0.094	0.252	1.479	2.283
SPAC11E3.09	pyp3	viable	V	0.0	0.109	0.145	0.172	1.609
SPAC11E3.10	SPAC11E3.10	viable	V	0.0	0.246	0.164	0.095	-0.081
SPAC11E3.11c	syt22	viable	V	0.0	0.072	0.19	0.454	0.244
SPAC11E3.12	SPAC11E3.12	viable	V	0.0	-0.109	-0.101	-0.123	-0.042
SPAC11E3.13c	gas5	viable	V	0.0	0.312	0.262	0.446	0.388
SPAC11E3.14	SPAC11E3.14	viable	V	0.0	0.099	-0.073	-0.156	-0.088
SPAC11G7.01	mtl2	viable	V	0.0	0.546	0.827	0.837	0.781
SPAC11G7.02	pub1	viable	V	0.0	1.517	3.722	2.521	5.316
SPAC11G7.03	idh1	viable	V	0.0	0.57	0.831	1.446	2.292
SPAC11G7.05c	mct1	viable	V	0.0	0.341	0.9	0.817	1.534
SPAC11G7.06c	mug132	viable	V	0.0	-0.104	-0.018	-0.016	-0.102
SPAC11H11.01	sst6	viable	V	0.0	0.122	0.003	0.301	0.266
SPAC11H11.02c	mug162	viable	V	0.0	-0.189	-0.152	-0.096	-0.21
SPAC11H11.03c	SPAC11H11.03c	viable	V	0.0	-0.027	0.016	-0.116	-0.094
SPAC11H11.04	mam2	viable	V	0.0	-0.007	-0.0	-0.008	1.212
SPAC11H11.05c	fta6	viable	V	0.0	-0.179	-0.12	-0.129	0.116
SPAC11H11.06	arp2	inviable	E	0.0	2.705	4.884	5.679	5.457
SPAC1250.01	snf21	inviable	E	0.0	0.641	2.637	4.553	5.94
SPAC1250.02	mug95	viable	V	0.0	-0.274	-0.086	-0.145	-0.206
SPAC1250.03	ubc14	viable	V	0.0	-0.154	-0.057	-0.194	-0.008
SPAC1250.05	rpl3002	viable	V	0.0	-0.24	0.515	0.54	0.134
SPAC1296.01c	SPAC1296.01c	viable	V	0.0	-0.071	3.046	0.338	0.499
SPAC1296.02	cox4	viable	V	0.0	0.268	0.455	1.138	1.256
SPAC1296.03c	sxa2	viable	V	0.0	-0.07	-0.002	-0.084	-0.014
SPAC1296.04	mug65	viable	V	0.0	-0.531	0.14	-0.008	-0.12
SPAC1296.05c	lcp1	viable	V	0.0	-0.098	-0.118	-0.1	0.01
SPAC1296.06	tah18	viable	V	0.0	0.712	2.887	4.657	5.915
SPAC12B10.01c	hul6	viable	V	0.0	0.194	0.178	0.321	1.922
SPAC12B10.02c	sdg1	condition-dependent	E	0.0	0.006	0.017	0.023	0.257
SPAC12B10.03	bun62	viable	V	0.0	-0.018	-0.082	-0.134	-0.033
SPAC12B10.04	pby1	viable	V	0.0	-0.052	0.085	0.066	0.019
SPAC12B10.05	icp55	viable	V	0.0	0.05	-0.094	0.028	-0.048
SPAC12B10.06c	sdh5	viable	V	0.0	0.053	-0.21	-0.101	-0.108
SPAC12B10.07	acp1	viable	V	0.0	0.258	0.054	-0.105	0.081
SPAC12B10.08c	til1	inviable	E	0.0	0.049	0.183	0.796	1.991
SPAC12B10.09	pet801	viable	V	0.0	0.021	-0.112	0.046	0.071
SPAC12B10.10	nod1	viable	V	0.0	0.162	0.128	0.286	0.393
SPAC12B10.11	exg2	viable	V	0.0	0.152	-0.003	-0.05	0.014
SPAC12B10.12c	rhp41	viable	V	0.0	0.322	0.192	0.412	0.639
SPAC12B10.14c	tea5	viable	V	0.0	0.086	-0.209	0.045	-0.067
SPAC12B10.15c	rnh203	viable	V	0.0	-0.167	-0.175	-0.338	-0.476
SPAC12B10.16c	mug157	viable	V	0.0	0.076	-0.17	-0.034	-0.157
SPAC12G12.01c	sea4	viable	V	0.0	0.076	0.071	0.11	0.271
SPAC12G12.02	efg1	inviable	E	0.0	1.96	4.253	5.325	5.471
SPAC12G12.03	cip2	viable	V	0.0	-0.13	0.236	0.214	0.45
SPAC12G12.04	mcp60	inviable	E	0.0	1.089	4.451	5.764	6.477
SPAC12G12.06c	rcl1	inviable	E	0.0	1.947	5.007	5.708	6.292
SPAC12G12.07c	cpn1	viable	V	0.0	0.198	0.47	0.331	1.079
SPAC12G12.09	eti1	viable	V	0.0	0.062	0.082	0.159	0.177
SPAC12G12.10	wdr21	viable	V	0.0	0.051	0.37	0.517	0.347
SPAC12G12.11c	miy1	viable	V	0.0	0.241	0.225	-0.072	0.317
SPAC12G12.12	gms2	viable	V	0.0	-0.015	0.023	0.231	0.267
SPAC12G12.13c	cid14	viable	V	0.0	0.722	3.277	4.968	5.253
SPAC12G12.14c	pfs2	inviable	E	0.0	0.822	3.106	5.141	5.603
SPAC12G12.15	sif3	viable	V	0.0	0.224	0.254	0.439	0.271
SPAC12G12.16c	SPAC12G12.16c	viable	V	0.0	-0.02	-0.132	0.114	0.447
SPAC12G12.17	nce101	unknown	Not_determined	0.0	-0.024	0.17	0.084	0.046
SPAC1327.01c	SPAC1327.01c	viable	V	0.0	-0.147	-0.059	-0.073	-0.095
SPAC139.01c	mkt1	viable	V	0.0	0.075	0.019	0.013	-0.054
SPAC139.02c	oac1	viable	V	0.0	-0.004	0.171	-0.245	0.093
SPAC139.03	toe2	viable	V	0.0	0.042	-0.104	0.029	-0.141
SPAC139.04c	fap2	viable	V	0.0	-0.381	-0.025	-0.107	0.04
SPAC139.05	ssd2	viable	V	0.0	-0.016	-0.011	0.008	0.091
SPAC139.06	hat1	viable	V	0.0	-0.03	0.16	0.396	0.247
SPAC1399.01c	SPAC1399.01c	viable	V	0.0	-0.154	0.008	0.066	-0.005
SPAC1399.02	SPAC1399.02	viable	V	0.0	-0.086	0.363	-0.042	0.253
SPAC1399.03	fur4	viable	V	0.0	-0.133	-0.007	-0.181	-0.061
SPAC1399.04c	uck2	viable	V	0.0	-0.175	-0.125	0.048	-0.024
SPAC1399.05c	toe1	viable	V	0.0	0.03	-0.105	0.037	0.453
SPAC13A11.01c	rga8	viable	V	0.0	-0.108	-0.114	0.002	0.09
SPAC13A11.02c	erg11	inviable	E	0.0	3.979	4.318	5.703	6.253
SPAC13A11.03	mcp7	viable	V	0.0	0.068	-0.104	0.003	0.301
SPAC13A11.04c	ubp8	viable	V	0.0	-0.011	0.051	0.736	0.769
SPAC13A11.05	ysp2	viable	V	0.0	0.012	0.037	0.166	0.205
SPAC13A11.06	pdc202	viable	V	0.0	0.351	0.195	0.209	0.09
SPAC13C5.01c	pre9	viable	V	0.0	2.648	4.745	5.903	6.156
SPAC13C5.02	dre4	viable	V	0.0	0.109	0.527	1.96	3.534
SPAC13C5.03	tht1	viable	V	0.0	-0.093	-0.012	-0.079	-0.01
SPAC13C5.04	SPAC13C5.04	viable	V	0.0	0.139	-0.006	0.077	0.059
SPAC13C5.05c	SPAC13C5.05c	viable	V	0.0	0.315	2.952	4.695	5.67
SPAC13C5.07	mre11	viable	V	0.0	0.139	0.955	2.324	3.904
SPAC13D1.01c	Tf2-7	unknown	Not_determined	0.0	-0.544	-0.56	-0.525	-0.474
SPAC13D6.01	pof14	viable	V	0.0	-0.166	-0.153	0.014	-0.072
SPAC13D6.03c	trm9	viable	V	0.0	0.188	1.216	1.215	1.383
SPAC13D6.04c	btb3	viable	V	0.0	-0.18	-0.322	-0.257	-0.162
SPAC13D6.05	alp11	inviable	E	0.0	0.607	2.296	4.746	5.579
SPAC13F5.01c	msh1	viable	V	0.0	-0.112	0.004	0.168	-0.073
SPAC13F5.02c	taf7	inviable	E	0.0	0.596	2.299	4.831	5.725
SPAC13F5.03c	gld1	viable	V	0.0	0.24	-0.069	-0.25	0.11
SPAC13F5.05	mpd1	viable	V	0.0	-0.119	0.054	0.385	0.268
SPAC13F5.06c	sec10	inviable	E	0.0	1.197	3.899	5.399	6.091
SPAC13F5.07c	hpz2	viable	V	0.0	-0.119	-0.242	-0.105	-0.026
SPAC13G6.01c	rad8	viable	V	0.0	0.119	0.117	0.057	0.043
SPAC13G6.02c	rps101	viable	V	0.0	0.873	1.395	2.121	2.315
SPAC13G6.03	gpi7	viable	V	0.0	-0.057	-0.069	0.001	-0.091
SPAC13G6.05c	trs33	inviable	E	0.0	0.258	3.114	5.223	5.465
SPAC13G6.06c	gcv2	viable	V	0.0	-0.154	-0.076	-0.149	-0.104
SPAC13G6.07c	rps601	viable	V	0.0	1.461	1.901	2.671	3.51
SPAC13G6.08	fzr2	viable	V	0.0	-0.308	-0.102	-0.189	-0.084
SPAC13G6.09	tsr402	viable	V	0.0	1.02	2.515	3.961	4.866
SPAC13G6.10c	asl1	viable	V	0.0	0.296	0.436	0.503	0.953
SPAC13G6.11c	erg12	inviable	E	0.0	1.86	4.36	5.602	6.101
SPAC13G6.12c	chs1	viable	V	0.0	0.036	-0.104	-0.021	-0.167
SPAC13G6.13	SPAC13G6.13	viable	V	0.0	-0.117	-0.017	-0.048	-0.113
SPAC13G6.14	aps1	viable	V	0.0	0.532	0.022	0.268	0.36
SPAC13G7.01c	erg7	inviable	E	0.0	1.615	4.231	5.899	6.329
SPAC13G7.02c	ssa1	viable	V	0.0	-0.066	0.154	0.131	0.092
SPAC13G7.04c	mac1	viable	V	0.0	-0.042	-0.08	-0.192	-0.079
SPAC13G7.05	are1	viable	V	0.0	-0.033	-0.152	-0.172	-0.114
SPAC13G7.06	met16	viable	V	0.0	0.439	0.703	0.542	0.564
SPAC13G7.07	arb2	viable	V	0.0	-0.136	-0.09	-0.046	0.164
SPAC13G7.08c	crb3	inviable	E	0.0	1.972	3.153	6.193	6.129
SPAC13G7.09c	SPAC13G7.09c	viable	V	0.0	0.516	0.029	0.324	-0.067
SPAC13G7.10	teb1	inviable	E	0.0	1.43	5.125	4.653	6.741
SPAC13G7.11	mba1	viable	V	0.0	0.043	0.19	0.055	0.12
SPAC13G7.12c	eki1	viable	V	0.0	0.157	2.175	0.155	0.044
SPAC13G7.13c	msa1	viable	V	0.0	0.124	-0.009	-0.342	-0.147
SPAC140.01	sdh2	viable	V	0.0	0.116	-0.195	-0.005	-0.157
SPAC140.03	arb1	viable	V	0.0	-0.038	0.007	-0.01	-0.011
SPAC140.04	ctr1	viable	V	0.0	0.326	-0.055	0.301	0.221
SPAC1420.01c	mks1	viable	V	0.0	0.078	-0.009	0.069	0.061
SPAC1420.02c	cct5	inviable	E	0.0	2.052	5.889	5.709	6.659
SPAC144.01	SPAC144.01	viable	V	0.0	0.17	0.508	0.053	0.137
SPAC144.02	iec1	viable	V	0.0	0.377	0.385	0.619	0.694
SPAC144.03	ade2	viable	V	0.0	0.147	0.003	0.088	0.098
SPAC144.04c	spe1	viable	V	0.0	0.609	0.474	1.179	1.078
SPAC144.05	irc20	viable	V	0.0	0.003	-0.053	0.321	-0.036
SPAC144.06	apl5	viable	V	0.0	0.183	0.234	0.537	0.852
SPAC144.07c	gpn2	inviable	E	0.0	1.509	3.851	4.965	5.698
SPAC144.08	jac1	condition-dependent	E	0.0	0.411	0.707	3.338	5.605
SPAC144.09c	sfc2	inviable	E	0.0	0.458	2.608	4.648	6.328
SPAC144.10c	gwt1	inviable	E	0.0	1.004	3.6	5.493	6.206
SPAC144.11	rps1102	viable	V	0.0	0.352	1.63	1.715	2.321
SPAC144.12	rki1	inviable	E	0.0	1.636	4.298	5.417	6.946
SPAC144.13c	srw1	viable	V	0.0	1.639	2.422	2.894	2.732
SPAC144.14	klp8	viable	V	0.0	0.147	0.167	0.173	0.071
SPAC144.15c	cog1	inviable	E	0.0	1.724	4.199	5.463	5.963
SPAC144.16	cia2	inviable	E	0.0	2.342	5.306	5.988	6.971
SPAC144.17c	SPAC144.17c	viable	V	0.0	-0.024	0.057	0.038	0.292
SPAC144.18	vrg4	inviable	E	0.0	0.223	0.966	2.254	4.667
SPAC144.19	prl46	viable	Not_determined	0.0	0.224	0.032	0.287	0.035
SPAC1486.01	sod2	viable	V	0.0	0.06	0.187	0.146	0.145
SPAC1486.02c	dsc2	viable	V	0.0	2.095	2.503	3.945	4.699
SPAC1486.03c	ntr1	inviable	E	0.0	2.07	4.327	5.394	5.894
SPAC1486.04c	alm1	viable	V	0.0	0.28	0.858	1.788	3.294
SPAC1486.05	nup189	inviable	E	0.0	2.822	5.247	5.579	6.187
SPAC1486.06	npt1	inviable	E	0.0	3.078	6.301	6.125	5.896
SPAC1486.07c	mrpl19	inviable	E	0.0	0.012	0.635	2.311	3.828
SPAC1486.08	cox16	viable	V	0.0	-0.028	0.114	0.423	1.365
SPAC1486.09	nob1	inviable	E	0.0	2.55	4.281	6.052	7.127
SPAC1486.10	thi1	viable	V	0.0	-0.021	-0.115	1.213	0.065
SPAC1486.11	fmc1	viable	Not_determined	0.0	-0.342	0.102	0.298	0.45
SPAC14C4.01c	atg43	viable	V	0.0	-0.125	-0.056	-0.211	0.48
SPAC14C4.02c	smc5	inviable	E	0.0	0.287	2.415	4.561	5.893
SPAC14C4.03	mek1	viable	V	0.0	-0.115	-0.177	-0.049	-0.146
SPAC14C4.04	SPAC14C4.04	viable	V	0.0	0.006	-0.16	-0.039	0.094
SPAC14C4.05c	man1	viable	V	0.0	0.257	0.16	0.041	0.288
SPAC14C4.06c	nab2	viable	V	0.0	0.274	0.555	1.239	1.983
SPAC14C4.07	SPAC14C4.07	viable	V	0.0	-0.161	-0.081	-0.123	-0.098
SPAC14C4.08	mug5	viable	V	0.0	-0.28	0.111	-0.255	-0.057
SPAC14C4.09	agn1	viable	V	0.0	-0.041	-0.303	0.272	-0.181
SPAC14C4.10c	SPAC14C4.10c	viable	V	0.0	0.035	-0.007	-0.138	0.081
SPAC14C4.11	vtc2	viable	V	0.0	0.363	0.541	0.636	1.027
SPAC14C4.12c	laf1	viable	V	0.0	0.425	0.282	0.395	0.199
SPAC14C4.13	rad17	viable	V	0.0	0.002	0.426	0.543	0.909
SPAC14C4.14	atp1	viable	V	0.0	0.323	0.897	1.217	1.694
SPAC14C4.15c	dpp1	viable	V	0.0	-0.125	-0.186	-0.136	-0.093
SPAC14C4.16	dad3	viable	V	0.0	0.161	0.328	0.805	1.1
SPAC1527.01	mok11	viable	V	0.0	0.029	0.127	-0.055	0.085
SPAC1527.02	sft2	viable	V	0.0	0.19	0.495	0.953	1.474
SPAC1527.03	slr1	viable	V	0.0	-0.038	-0.13	-0.398	-0.138
SPAC1556.01c	rad50	viable	V	0.0	0.353	1.446	2.877	4.294
SPAC1556.02c	sdh1	viable	V	0.0	0.236	-0.125	-0.129	-0.061
SPAC1556.03	azr1	viable	V	0.0	0.095	0.846	0.672	0.806
SPAC1556.04c	cdd1	viable	V	0.0	0.042	0.078	-0.094	-0.039
SPAC1556.05c	cgr1	viable	V	0.0	1.195	2.927	3.89	4.8
SPAC1556.06	meu1	viable	V	0.0	0.027	-0.013	0.005	0.123
SPAC1556.07	pmm1	inviable	E	0.0	2.663	6.115	6.929	6.978
SPAC1556.08c	cbs2	viable	V	0.0	0.372	1.013	0.864	0.837
SPAC1565.01	rcf2	viable	V	0.0	0.208	0.218	0.337	0.382
SPAC1565.02c	rga10	viable	V	0.0	-0.211	-0.092	-0.22	-0.058
SPAC1565.03	SPAC1565.03	viable	V	0.0	0.062	-0.002	0.086	0.151
SPAC1565.04c	ste4	viable	V	0.0	-0.148	-0.164	-0.011	-0.094
SPAC1565.05	utp8	inviable	E	0.0	1.539	5.158	6.113	6.749
SPAC1565.06c	spg1	inviable	E	0.0	0.342	3.145	6.275	5.544
SPAC1565.07c	knd1	viable	V	0.0	0.173	0.004	0.036	-0.032
SPAC1565.08	cdc48	inviable	E	0.0	1.138	5.153	5.558	5.777
SPAC15A10.01	atm1	condition-dependent	E	0.0	-0.074	0.118	2.237	4.727
SPAC15A10.02	taf12	inviable	E	0.0	2.444	4.168	6.522	6.79
SPAC15A10.03c	rad54	viable	V	0.0	0.778	2.879	3.724	5.381
SPAC15A10.04c	zpr1	inviable	E	0.0	2.067	5.314	5.917	6.276
SPAC15A10.05c	mug182	viable	V	0.0	0.14	-0.048	0.056	-0.034
SPAC15A10.06	nhx1	viable	V	0.0	0.102	0.208	0.181	0.11
SPAC15A10.07	SPAC15A10.07	viable	V	0.0	0.082	0.13	0.043	0.034
SPAC15A10.08	ain1	viable	V	0.0	0.166	0.055	0.15	-1.146
SPAC15A10.09c	pun1	viable	V	0.0	0.179	0.09	0.163	0.115
SPAC15A10.10	mde6	viable	V	0.0	-0.157	-0.086	-0.036	0.043
SPAC15A10.11	ubr11	viable	V	0.0	0.121	0.099	0.097	0.211
SPAC15A10.12c	tca17	inviable	E	0.0	0.122	2.023	4.446	5.549
SPAC15A10.13	ppk3	viable	V	0.0	-0.169	0.475	0.08	0.323
SPAC15A10.15	sgo2	viable	V	0.0	0.041	0.243	-0.068	0.062
SPAC15A10.16	bud6	viable	V	0.0	0.091	0.152	0.125	0.546
SPAC15E1.02c	SPAC15E1.02c	viable	V	0.0	-0.156	-0.226	-0.138	0.048
SPAC15E1.04	hal3	viable	V	0.0	1.534	4.631	4.925	5.808
SPAC15E1.05c	ect1	viable	V	0.0	-0.125	0.334	-0.35	-0.348
SPAC15E1.06	vps29	viable	V	0.0	-0.013	0.169	0.141	0.019
SPAC15E1.07c	moa1	viable	V	0.0	0.006	0.023	-0.081	-0.207
SPAC15E1.08	naa10	inviable	E	0.0	0.252	0.564	2.037	3.583
SPAC15E1.09	grx2	viable	V	0.0	0.037	-0.003	0.056	0.053
SPAC15E1.10	fub1	viable	V	0.0	0.031	0.115	0.209	1.689
SPAC15F9.01c	glm1	viable	V	0.0	-0.028	-0.021	-0.07	-0.034
SPAC15F9.02	seh1	viable	V	0.0	0.294	-0.048	0.354	0.212
SPAC15F9.03c	nxt2	inviable	E	0.0	1.824	4.069	6.359	6.919
SPAC16.01	rho2	viable	V	0.0	0.076	0.29	0.186	0.64
SPAC16.02c	srp2	inviable	E	0.0	0.683	3.567	3.957	5.315
SPAC16.03c	ura2	viable	V	0.0	0.319	0.867	0.809	1.236
SPAC16.04	dus3	viable	V	0.0	-0.028	0.288	0.175	0.075
SPAC16.05c	sfp1	viable	V	0.0	1.116	1.707	2.59	2.748
SPAC1610.01	saf5	viable	V	0.0	0.005	0.296	1.103	2.455
SPAC1610.02c	mrpl1	viable	V	0.0	0.54	0.482	1.262	2.46
SPAC1610.03c	crp79	viable	V	0.0	-0.023	-0.24	-0.12	-0.077
SPAC1610.04	mmc1	viable	V	0.0	0.109	0.161	0.112	0.266
SPAC1635.01	por1	viable	V	0.0	0.584	0.567	0.501	1.172
