Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4
SPAC1071.09c	djc9	viable	V	0.029	0.13	0.291	0.471	0.606
SPAC1071.10c	pma1	inviable	E	0.084	2.491	5.143	6.108	6.32
SPAC1071.12c	stp1	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC1071.13	SPAC1071.13	unknown	Not_determined	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC1093.01	ppr5	viable	V	0.0	0.052	0.348	0.547	0.598
SPAC1093.02	pdx3	viable	V	0.033	0.28	0.442	0.493	0.503
SPAC1093.03	fig4	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC1093.04c	cca1	inviable	E	0.021	1.775	4.569	5.718	5.979
SPAC1093.05	hca4	inviable	E	0.09	2.325	4.658	5.494	5.676
SPAC1093.06c	dhc1	viable	V	0.0	0.002	0.192	0.552	0.681
SPAC10F6.01c	sir1	viable	V	0.074	0.326	0.724	1.166	1.496
SPAC10F6.02c	prp22	inviable	E	0.021	1.783	4.615	5.784	6.048
SPAC10F6.03c	cts1	inviable	E	0.437	3.67	5.786	6.446	6.586
SPAC10F6.04	ats1	viable	V	0.066	0.276	0.601	0.96	1.227
SPAC10F6.05c	ubc6	viable	V	-0.005	-0.0	-0.0	-0.0	-0.0
SPAC10F6.06	vip1	viable	V	0.034	0.288	0.454	0.505	0.516
SPAC10F6.08c	nht1	viable	V	0.0	0.0	0.065	0.454	0.843
SPAC10F6.09c	psm3	condition-dependent	E	0.019	1.123	3.58	5.167	5.702
SPAC10F6.10	rio1	inviable	E	0.073	2.138	4.915	6.166	6.495
SPAC10F6.12c	mam4	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC10F6.13c	caa1	viable	V	0.065	0.74	2.229	3.886	4.95
SPAC10F6.14c	SPAC10F6.14c	viable	V	0.003	0.028	0.046	0.051	0.053
SPAC10F6.15	SPAC10F6.15	viable	V	-0.018	-0.002	-0.0	-0.0	-0.0
SPAC10F6.16	igo1	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC10F6.17c	ptc5	viable	V	0.004	0.0	0.0	0.0	0.0
SPAC110.01	ppk1	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC110.02	pds5	viable	V	0.013	0.057	0.125	0.2	0.255
SPAC110.03	cdc42	inviable	E	0.413	3.469	5.469	6.093	6.225
SPAC110.04c	pss1	condition-dependent	E	0.158	2.207	4.657	5.885	6.263
SPAC110.06	SPAC110.06	viable	Not_determined	-0.011	-0.093	-0.147	-0.164	-0.167
SPAC1142.01	rqc1	viable	V	0.029	0.247	0.389	0.433	0.443
SPAC1142.02c	sgt2	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC1142.03c	swi2	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC1142.04	noc201	inviable	E	0.035	2.145	5.191	6.401	6.673
SPAC1142.05	ctr5	viable	V	0.013	0.263	1.113	2.4	3.422
SPAC1142.06	get3	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC1142.07c	vps32	viable	V	0.182	0.835	1.893	3.084	3.972
SPAC1142.08	fhl1	viable	V	0.016	0.513	1.414	1.963	2.148
SPAC1142.09	SPAC1142.09	unknown	Not_determined	-0.003	-0.028	-0.043	-0.048	-0.05
SPAC11D3.02c	SPAC11D3.02c	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC11D3.03c	SPAC11D3.03c	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC11D3.04c	SPAC11D3.04c	viable	V	0.013	0.002	0.0	0.0	0.0
SPAC11D3.05	mfs2	viable	V	0.002	0.007	0.014	0.02	0.025
SPAC11D3.06	SPAC11D3.06	viable	V	0.0	0.0	0.0	0.063	0.828
SPAC11D3.07c	toe4	viable	V	0.004	0.001	0.0	0.0	0.0
SPAC11D3.08c	SPAC11D3.08c	viable	V	0.01	0.086	0.135	0.151	0.154
SPAC11D3.09	agm1	viable	V	0.015	0.087	0.159	0.2	0.215
SPAC11D3.10	SPAC11D3.10	viable	V	0.004	0.0	0.0	0.0	0.0
SPAC11D3.11c	SPAC11D3.11c	unknown	Not_determined	-0.003	-0.009	-0.017	-0.026	-0.032
SPAC11D3.13	hsp3104	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC11D3.14c	oxp2	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC11D3.15	oxp1	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC11D3.16c	SPAC11D3.16c	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC11D3.17	SPAC11D3.17	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC11D3.18c	SPAC11D3.18c	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC11D3.19	SPAC11D3.19	viable	Not_determined	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC11D3.20	SPAC11D3.20	unknown	Not_determined	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC11E3.01c	swr1	viable	V	0.047	0.307	0.544	0.662	0.7
SPAC11E3.02c	ync13	condition-dependent	E	0.0	0.056	0.764	2.158	3.072
SPAC11E3.03	csm1	viable	V	0.0	0.001	0.212	1.431	2.425
SPAC11E3.04c	ubc13	viable	V	0.027	0.084	0.161	0.242	0.301
SPAC11E3.05	sea3	viable	V	0.021	0.783	2.57	3.963	4.533
SPAC11E3.06	map1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC11E3.07	vma4	inviable	E	0.077	0.56	1.551	2.775	3.704
SPAC11E3.08c	nse6	viable	V	0.0	0.001	0.269	1.477	2.349
SPAC11E3.09	pyp3	viable	V	0.0	0.0	0.0	0.189	1.607
SPAC11E3.10	SPAC11E3.10	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC11E3.11c	syt22	viable	V	0.022	0.117	0.22	0.285	0.313
SPAC11E3.12	SPAC11E3.12	viable	V	0.002	0.0	0.0	0.0	0.0
SPAC11E3.13c	gas5	viable	V	0.027	0.226	0.356	0.396	0.405
SPAC11E3.14	SPAC11E3.14	viable	V	0.013	0.002	0.0	0.0	0.0
SPAC11G7.01	mtl2	viable	V	0.057	0.481	0.759	0.846	0.864
SPAC11G7.02	pub1	viable	V	0.192	1.58	3.216	4.196	4.568
SPAC11G7.03	idh1	viable	V	0.062	0.372	0.945	1.625	2.138
SPAC11G7.05c	mct1	viable	V	0.102	0.359	0.719	1.104	1.388
SPAC11G7.06c	mug132	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC11H11.01	sst6	viable	V	0.024	0.076	0.146	0.218	0.271
SPAC11H11.02c	mug162	viable	V	-0.012	-0.098	-0.154	-0.171	-0.175
SPAC11H11.03c	SPAC11H11.03c	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC11H11.04	mam2	viable	V	0.0	0.0	0.0	0.092	1.205
SPAC11H11.05c	fta6	viable	V	0.006	0.0	0.0	0.0	0.0
SPAC11H11.06	arp2	inviable	E	0.181	2.699	4.813	5.52	5.672
SPAC1250.01	snf21	inviable	E	0.057	0.776	2.531	4.59	5.947
SPAC1250.02	mug95	viable	V	-0.013	-0.105	-0.166	-0.185	-0.189
SPAC1250.03	ubc14	viable	V	0.003	0.0	0.0	0.0	0.0
SPAC1250.05	rpl3002	viable	V	0.0	0.067	0.27	0.376	0.401
SPAC1296.01c	SPAC1296.01c	viable	V	0.017	0.336	0.636	0.74	0.763
SPAC1296.02	cox4	viable	V	0.026	0.214	0.592	1.014	1.299
SPAC1296.03c	sxa2	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC1296.04	mug65	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC1296.05c	lcp1	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC1296.06	tah18	viable	V	0.024	0.766	2.811	4.834	5.869
SPAC12B10.01c	hul6	viable	V	0.0	0.0	0.0	0.338	1.92
SPAC12B10.02c	sdg1	condition-dependent	E	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC12B10.03	bun62	viable	V	-0.006	-0.043	-0.071	-0.081	-0.084
SPAC12B10.04	pby1	viable	V	-0.004	-0.0	-0.0	-0.0	-0.0
SPAC12B10.05	icp55	viable	V	0.008	0.0	0.0	0.0	0.0
SPAC12B10.06c	sdh5	viable	V	0.007	0.0	0.0	0.0	0.0
SPAC12B10.07	acp1	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC12B10.08c	til1	inviable	E	0.0	0.0	0.07	0.86	1.967
SPAC12B10.09	pet801	viable	V	0.002	0.007	0.014	0.021	0.027
SPAC12B10.10	nod1	viable	V	0.033	0.104	0.198	0.297	0.369
SPAC12B10.11	exg2	viable	V	0.001	0.008	0.013	0.015	0.015
SPAC12B10.12c	rhp41	viable	V	0.051	0.162	0.309	0.462	0.576
SPAC12B10.14c	tea5	viable	V	0.005	0.0	0.0	0.0	0.0
SPAC12B10.15c	rnh203	viable	V	-0.039	-0.124	-0.236	-0.353	-0.44
SPAC12B10.16c	mug157	viable	V	0.004	0.0	0.0	0.0	0.0
SPAC12G12.01c	sea4	viable	V	0.018	0.058	0.111	0.167	0.208
SPAC12G12.02	efg1	inviable	E	0.049	1.956	4.304	5.19	5.386
SPAC12G12.03	cip2	viable	V	0.003	0.044	0.159	0.301	0.395
SPAC12G12.04	mcp60	inviable	E	0.002	1.144	4.345	5.963	6.349
SPAC12G12.06c	rcl1	inviable	E	0.035	2.006	4.772	5.862	6.106
SPAC12G12.07c	cpn1	viable	V	0.034	0.171	0.4	0.663	0.859
SPAC12G12.09	eti1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC12G12.10	wdr21	viable	V	0.001	0.125	0.335	0.423	0.443
SPAC12G12.11c	miy1	viable	V	0.013	0.106	0.167	0.187	0.191
SPAC12G12.12	gms2	viable	V	0.02	0.064	0.122	0.183	0.228
SPAC12G12.13c	cid14	viable	V	0.001	0.706	3.282	4.885	5.325
SPAC12G12.14c	pfs2	inviable	E	0.006	0.79	3.172	4.951	5.588
SPAC12G12.15	sif3	viable	V	0.021	0.179	0.283	0.315	0.322
SPAC12G12.16c	SPAC12G12.16c	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC12G12.17	nce101	unknown	Not_determined	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC1327.01c	SPAC1327.01c	viable	V	0.003	0.0	0.0	0.0	0.0
SPAC139.01c	mkt1	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC139.02c	oac1	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC139.03	toe2	viable	V	0.003	0.0	0.0	0.0	0.0
SPAC139.04c	fap2	viable	V	-0.018	-0.002	-0.0	-0.0	-0.0
SPAC139.05	ssd2	viable	V	-0.007	-0.0	-0.0	-0.0	-0.0
SPAC139.06	hat1	viable	V	0.009	0.08	0.188	0.271	0.309
SPAC1399.01c	SPAC1399.01c	viable	V	-0.001	-0.008	-0.012	-0.014	-0.014
SPAC1399.02	SPAC1399.02	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC1399.03	fur4	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC1399.04c	uck2	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC1399.05c	toe1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC13A11.01c	rga8	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC13A11.02c	erg11	inviable	E	0.39	3.271	5.158	5.746	5.871
SPAC13A11.03	mcp7	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC13A11.04c	ubp8	viable	V	0.0	0.0	0.151	0.628	0.833
SPAC13A11.05	ysp2	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC13A11.06	pdc202	viable	V	0.014	0.121	0.191	0.213	0.218
SPAC13C5.01c	pre9	viable	V	0.19	2.533	4.88	5.866	6.126
SPAC13C5.02	dre4	viable	V	0.0	0.033	0.539	1.977	3.323
SPAC13C5.03	tht1	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC13C5.04	SPAC13C5.04	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC13C5.05c	SPAC13C5.05c	viable	V	0.0	0.42	2.837	4.872	5.544
SPAC13C5.07	mre11	viable	V	0.001	0.117	0.895	2.453	3.78
SPAC13D1.01c	Tf2-7	unknown	Not_determined	-0.039	-0.326	-0.514	-0.573	-0.585
SPAC13D6.01	pof14	viable	V	0.009	0.0	0.0	0.0	0.0
SPAC13D6.03c	trm9	viable	V	0.002	0.326	1.012	1.323	1.396
SPAC13D6.04c	btb3	viable	V	-0.017	-0.146	-0.23	-0.256	-0.262
SPAC13D6.05	alp11	inviable	E	0.009	0.523	2.41	4.537	5.679
SPAC13F5.01c	msh1	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC13F5.02c	taf7	inviable	E	0.005	0.476	2.448	4.675	5.819
SPAC13F5.03c	gld1	viable	V	0.042	0.005	0.0	0.0	0.0
SPAC13F5.05	mpd1	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC13F5.06c	sec10	inviable	E	0.023	1.219	3.811	5.483	6.05
SPAC13F5.07c	hpz2	viable	V	-0.009	-0.001	-0.0	-0.0	-0.0
SPAC13G6.01c	rad8	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC13G6.02c	rps101	viable	V	0.134	0.754	1.512	2.062	2.323
SPAC13G6.03	gpi7	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC13G6.05c	trs33	inviable	E	0.0	0.38	3.089	5.077	5.603
SPAC13G6.06c	gcv2	viable	V	0.002	0.0	0.0	0.0	0.0
SPAC13G6.07c	rps601	viable	V	0.261	1.039	2.016	2.871	3.38
SPAC13G6.08	fzr2	viable	V	-0.012	-0.097	-0.153	-0.17	-0.174
SPAC13G6.09	tsr402	viable	V	0.114	0.979	2.518	3.992	4.846
SPAC13G6.10c	asl1	viable	V	0.073	0.233	0.445	0.666	0.829
SPAC13G6.11c	erg12	inviable	E	0.073	1.841	4.331	5.567	5.925
SPAC13G6.12c	chs1	viable	V	0.004	0.001	0.0	0.0	0.0
SPAC13G6.13	SPAC13G6.13	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC13G6.14	aps1	viable	V	0.02	0.172	0.271	0.302	0.308
SPAC13G7.01c	erg7	inviable	E	0.057	1.594	4.261	5.872	6.417
SPAC13G7.02c	ssa1	viable	V	-0.004	-0.001	-0.0	-0.0	-0.0
SPAC13G7.04c	mac1	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC13G7.05	are1	viable	V	0.002	0.0	0.0	0.0	0.0
SPAC13G7.06	met16	viable	V	0.043	0.358	0.565	0.629	0.643
SPAC13G7.07	arb2	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC13G7.08c	crb3	inviable	E	0.202	1.611	3.763	5.53	6.428
SPAC13G7.09c	SPAC13G7.09c	viable	V	0.012	0.103	0.162	0.181	0.185
SPAC13G7.10	teb1	inviable	E	0.013	1.638	4.582	5.848	6.138
SPAC13G7.11	mba1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC13G7.12c	eki1	viable	V	0.034	0.285	0.449	0.5	0.511
SPAC13G7.13c	msa1	viable	V	0.01	0.001	0.0	0.0	0.0
SPAC140.01	sdh2	viable	V	0.014	0.002	0.0	0.0	0.0
SPAC140.03	arb1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC140.04	ctr1	viable	V	0.017	0.079	0.151	0.206	0.233
SPAC1420.01c	mks1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC1420.02c	cct5	inviable	E	0.054	2.332	5.212	6.308	6.551
SPAC144.01	SPAC144.01	viable	V	0.016	0.133	0.21	0.234	0.239
SPAC144.02	iec1	viable	V	0.043	0.293	0.511	0.61	0.64
SPAC144.03	ade2	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC144.04c	spe1	viable	V	0.084	0.378	0.729	1.001	1.142
SPAC144.05	irc20	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC144.06	apl5	viable	V	0.016	0.118	0.328	0.587	0.784
SPAC144.07c	gpn2	inviable	E	0.077	1.522	3.771	5.118	5.585
SPAC144.08	jac1	condition-dependent	E	0.0	0.034	0.799	3.302	5.731
SPAC144.09c	sfc2	inviable	E	0.019	0.586	2.456	4.79	6.267
SPAC144.10c	gwt1	inviable	E	0.012	1.007	3.628	5.481	6.135
SPAC144.11	rps1102	viable	V	0.001	0.421	1.488	2.008	2.131
SPAC144.12	rki1	inviable	E	0.175	1.682	4.027	5.851	6.714
SPAC144.13c	srw1	viable	V	0.17	1.546	2.481	2.775	2.838
SPAC144.14	klp8	viable	V	0.01	0.086	0.136	0.151	0.155
SPAC144.15c	cog1	inviable	E	0.058	1.723	4.198	5.439	5.797
SPAC144.16	cia2	inviable	E	0.087	2.365	5.193	6.392	6.694
SPAC144.17c	SPAC144.17c	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC144.18	vrg4	inviable	E	0.0	0.036	0.683	2.633	4.49
SPAC144.19	prl46	viable	Not_determined	0.011	0.09	0.141	0.158	0.161
SPAC1486.01	sod2	viable	V	0.011	0.089	0.14	0.156	0.16
SPAC1486.02c	dsc2	viable	V	0.344	1.478	2.861	3.989	4.61
SPAC1486.03c	ntr1	inviable	E	0.133	2.027	4.352	5.518	5.874
SPAC1486.04c	alm1	viable	V	0.002	0.119	0.786	2.036	3.083
SPAC1486.05	nup189	inviable	E	0.169	2.805	5.12	5.905	6.075
SPAC1486.06	npt1	inviable	E	0.283	3.259	5.5	6.227	6.382
SPAC1486.07c	mrpl19	inviable	E	0.0	0.036	0.636	2.316	3.824
SPAC1486.08	cox16	viable	V	0.0	0.0	0.004	0.383	1.359
SPAC1486.09	nob1	inviable	E	0.404	2.202	4.454	6.161	7.008
SPAC1486.10	thi1	viable	V	0.0	0.005	0.202	0.48	0.57
SPAC1486.11	fmc1	viable	Not_determined	0.0	0.003	0.108	0.326	0.429
SPAC14C4.01c	atg43	viable	V	0.009	0.033	0.066	0.102	0.129
SPAC14C4.02c	smc5	inviable	E	0.003	0.396	2.311	4.591	5.77
SPAC14C4.03	mek1	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC14C4.04	SPAC14C4.04	viable	V	0.002	0.0	0.0	0.0	0.0
SPAC14C4.05c	man1	viable	V	0.013	0.112	0.177	0.197	0.201
SPAC14C4.06c	nab2	viable	V	0.006	0.139	0.609	1.333	1.91
SPAC14C4.07	SPAC14C4.07	viable	V	0.003	0.0	0.0	0.0	0.0
SPAC14C4.08	mug5	viable	V	0.009	0.0	0.0	0.0	0.0
SPAC14C4.09	agn1	viable	V	-0.004	-0.037	-0.059	-0.066	-0.067
SPAC14C4.10c	SPAC14C4.10c	viable	V	0.006	0.001	0.0	0.0	0.0
SPAC14C4.11	vtc2	viable	V	0.085	0.269	0.514	0.77	0.959
SPAC14C4.12c	laf1	viable	V	0.023	0.196	0.309	0.344	0.351
SPAC14C4.13	rad17	viable	V	0.012	0.11	0.339	0.635	0.862
SPAC14C4.14	atp1	viable	V	0.065	0.353	0.821	1.313	1.647
SPAC14C4.15c	dpp1	viable	V	-0.004	-0.047	-0.107	-0.145	-0.159
SPAC14C4.16	dad3	viable	V	0.011	0.122	0.406	0.79	1.086
SPAC1527.01	mok11	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC1527.02	sft2	viable	V	0.012	0.15	0.518	1.025	1.418
SPAC1527.03	slr1	viable	V	-0.017	-0.093	-0.173	-0.223	-0.244
SPAC1556.01c	rad50	viable	V	0.018	0.343	1.404	2.986	4.238
SPAC1556.02c	sdh1	viable	V	0.026	0.003	0.0	0.0	0.0
SPAC1556.03	azr1	viable	V	0.002	0.234	0.624	0.787	0.824
SPAC1556.04c	cdd1	viable	V	0.011	0.002	0.0	0.0	0.0
SPAC1556.05c	cgr1	viable	V	0.12	1.196	2.845	4.089	4.658
SPAC1556.06	meu1	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC1556.07	pmm1	inviable	E	0.09	2.789	5.818	6.927	7.171
SPAC1556.08c	cbs2	viable	V	0.035	0.46	0.798	0.909	0.933
SPAC1565.01	rcf2	viable	V	0.025	0.148	0.27	0.338	0.364
SPAC1565.02c	rga10	viable	V	-0.01	-0.086	-0.136	-0.151	-0.155
SPAC1565.03	SPAC1565.03	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC1565.04c	ste4	viable	V	0.005	0.0	0.0	0.0	0.0
SPAC1565.05	utp8	inviable	E	0.011	1.666	4.886	6.307	6.634
SPAC1565.06c	spg1	inviable	E	0.0	0.391	3.327	5.53	6.116
SPAC1565.07c	knd1	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC1565.08	cdc48	inviable	E	0.011	1.557	4.462	5.728	6.019
SPAC15A10.01	atm1	condition-dependent	E	0.0	0.0	0.126	2.239	4.629
SPAC15A10.02	taf12	inviable	E	0.287	2.147	4.544	6.196	6.915
SPAC15A10.03c	rad54	viable	V	0.139	0.953	2.465	4.154	5.324
SPAC15A10.04c	zpr1	inviable	E	0.049	2.241	5.075	6.161	6.403
SPAC15A10.05c	mug182	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC15A10.06	nhx1	viable	V	0.011	0.096	0.152	0.169	0.173
SPAC15A10.07	SPAC15A10.07	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC15A10.08	ain1	viable	V	-0.0	-0.0	-0.0	-0.201	-0.708
SPAC15A10.09c	pun1	viable	V	0.01	0.085	0.134	0.149	0.152
SPAC15A10.10	mde6	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC15A10.11	ubr11	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC15A10.12c	tca17	inviable	E	0.0	0.142	2.004	4.497	5.54
SPAC15A10.13	ppk3	viable	V	0.0	0.064	0.205	0.27	0.285
SPAC15A10.15	sgo2	viable	V	-0.004	-0.0	-0.0	-0.0	-0.0
SPAC15A10.16	bud6	viable	V	0.033	0.105	0.2	0.3	0.373
SPAC15E1.02c	SPAC15E1.02c	viable	V	-0.004	-0.0	-0.0	-0.0	-0.0
SPAC15E1.04	hal3	viable	V	0.02	1.667	4.305	5.391	5.637
SPAC15E1.05c	ect1	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC15E1.06	vps29	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC15E1.07c	moa1	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC15E1.08	naa10	inviable	E	0.0	0.033	0.563	2.1	3.548
SPAC15E1.09	grx2	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC15E1.10	fub1	viable	V	0.0	0.0	0.001	0.349	1.686
SPAC15F9.01c	glm1	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC15F9.02	seh1	viable	V	0.021	0.081	0.157	0.227	0.271
SPAC15F9.03c	nxt2	inviable	E	0.152	1.714	4.204	6.079	6.923
SPAC16.01	rho2	viable	V	0.034	0.122	0.25	0.386	0.488
SPAC16.02c	srp2	inviable	E	0.001	0.819	3.28	4.56	4.868
SPAC16.03c	ura2	viable	V	0.063	0.364	0.735	1.004	1.131
SPAC16.04	dus3	viable	V	0.011	0.086	0.139	0.157	0.161
SPAC16.05c	sfp1	viable	V	0.163	0.956	1.876	2.494	2.766
SPAC1610.01	saf5	viable	V	0.0	0.002	0.171	1.205	2.413
SPAC1610.02c	mrpl1	viable	V	0.0	0.058	0.511	1.483	2.325
SPAC1610.03c	crp79	viable	V	0.004	0.0	0.0	0.0	0.0
