gene_systematic_id	gene_name	type	evidence	qualifier	extension	reference	taxon	date
SPAC1002.16c	tna1	RNA	expression microarray evidence	increased	in presence of(CHEBI:47600)	PMID:22840777	4896	2012-10-18
SPAC1002.16c	tna1	RNA	expression microarray evidence	increased	during(GO:1903832)	PMID:29432178	4896	2018-03-09
SPAC1002.17c	urg2	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1002.17c	urg2	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1002.17c	urg2	protein	high throughput evidence used in manual assertion	decreased	during(GO:0000747)	PMID:39705284	4896	2025-04-04
SPAC1002.17c	urg2	RNA	expression microarray evidence	decreased	in absence of(CHEBI:17568)	PMID:18197241	4896	2013-09-25
SPAC1002.17c	urg2	RNA	expression microarray evidence	decreased	in presence of(CHEBI:29016)	PMID:32896087	4896	2020-12-09
SPAC1002.17c	urg2	RNA	expression microarray evidence	increased	in presence of(CHEBI:17568)	PMID:18197241	4896	2013-09-25
SPAC1002.17c	urg2	RNA	expression microarray evidence	increased	in presence of(CHEBI:47600)	PMID:22840777	4896	2012-10-18
SPAC1002.17c	urg2	RNA	expression microarray evidence	increased	in presence of(CHEBI:3647)	PMID:23695302	4896	2015-02-12
SPAC1002.17c	urg2	RNA	expression microarray evidence	increased	in presence of(CHEBI:50292)	PMID:12529438	4896	2021-11-30
SPAC1002.17c	urg2	RNA	expression microarray evidence	increased	during(GO:0016036)	PMID:23231582	4896	2021-02-03
SPAC1002.17c	urg2	RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1002.18	urg3	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1002.18	urg3	RNA	expression microarray evidence	decreased	in absence of(CHEBI:17568)	PMID:18197241	4896	2013-09-25
SPAC1002.18	urg3	RNA	expression microarray evidence	increased	in presence of(CHEBI:3647)	PMID:23695302	4896	2015-02-12
SPAC1002.18	urg3	RNA	expression microarray evidence	increased	in presence of(CHEBI:17568)	PMID:18197241	4896	2013-09-25
SPAC1002.18	urg3	RNA	expression microarray evidence	increased	in presence of(CHEBI:50292)	PMID:12529438	4896	2021-11-30
SPAC1002.19	urg1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1002.19	urg1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1002.19	urg1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0000747)	PMID:39705284	4896	2025-04-04
SPAC1002.19	urg1	RNA	expression microarray evidence	decreased	in absence of(CHEBI:17568)	PMID:18197241	4896	2013-09-25
SPAC1002.19	urg1	RNA	expression microarray evidence	increased	in presence of(CHEBI:17568)	PMID:18197241	4896	2013-09-25
SPAC1002.19	urg1	RNA	expression microarray evidence	increased	in presence of(CHEBI:3647)	PMID:23695302	4896	2015-02-12
SPAC1002.19	urg1	RNA	expression microarray evidence	increased	in presence of(CHEBI:50292)	PMID:12529438	4896	2021-11-30
SPAC1002.19	urg1	RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1002.19	urg1	RNA	RNA-sequencing evidence	increased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC1002.19	urg1	RNA	in situ hybridization evidence used in manual assertion	increased	in presence of(CHEBI:17568)	PMID:32059768	4896	2021-03-31
SPAC1002.20		RNA	expression microarray evidence	increased	during(GO:0071470)	PMID:12529438	4896	2021-11-30
SPAC1002.20		RNA	RNA-sequencing evidence	increased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1002.20		RNA	RNA-sequencing evidence	increased	during(GO:0006970)	PMID:33313903	4896	2021-01-11
SPAC1006.01	psp3	protein	high throughput evidence used in manual assertion	increased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1006.01	psp3	RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1006.01	psp3	RNA	expression microarray evidence	increased	during(GO:1903832)	PMID:29432178	4896	2018-03-09
SPAC1006.01	psp3	RNA	RNA-sequencing evidence	increased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1006.01	psp3	RNA	northern assay evidence used in manual assertion	unchanged	during(GO:0006995)	PMID:21153812	4896	2016-02-03
SPAC1006.01	psp3	RNA	northern assay evidence used in manual assertion	present	during(GO:0072690)	PMID:21153812	4896	2016-02-03
SPAC1006.03c	red1	protein	western blot evidence used in manual assertion	present	during(GO:0051321)	PMID:23980030	4896	2013-12-02
SPAC1006.03c	red1	protein	western blot evidence used in manual assertion	present	during(GO:0072690)	PMID:23980030	4896	2013-12-02
SPAC1006.03c	red1	RNA	RNA-sequencing evidence	decreased	during(GO:0006970)	PMID:33313903	4896	2021-01-11
SPAC1006.04c	mcp3	protein	mass spectrometry evidence	increased	in presence of(CHEBI:15361),in absence of(CHEBI:17234)	PMID:31626996	4896	2021-01-31
SPAC1006.04c	mcp3	protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1006.04c	mcp3	RNA	RNA-sequencing evidence	decreased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC1006.04c	mcp3	RNA	RNA-sequencing evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1006.04c	mcp3	RNA	experimental evidence	increased	during(GO:0051321)	PMID:12161753	4896	
SPAC1006.04c	mcp3	RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1006.05c	och1	protein	Western blot evidence	constant	during(GO:0000278)	PMID:12784644	4896	2019-11-08
SPAC1006.05c	och1	RNA	Northern assay evidence	constant	during(GO:0000278)	PMID:12784644	4896	2019-11-08
SPAC1006.05c	och1	RNA	Northern assay evidence	increased	during(GO:0071472)	PMID:12784644	4896	2019-11-08
SPAC1006.05c	och1	RNA	Northern assay evidence	unchanged	during(GO:0034599)	PMID:12784644	4896	2019-11-08
SPAC1006.05c	och1	RNA	Northern assay evidence	unchanged	during(GO:0034605)	PMID:12784644	4896	2019-11-08
SPAC1006.06	rgf2	protein	high throughput evidence used in manual assertion	increased	during(GO:0007135)	PMID:39367033	4896	2024-11-01
SPAC1006.06	rgf2	RNA	expression microarray evidence	increased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1006.06	rgf2	RNA	Northern assay evidence	increased	during(GO:0098765)	PMID:19189958	4896	2022-01-06
SPAC1006.06	rgf2	RNA	Northern assay evidence	present	during(GO:0072690)	PMID:19189958	4896	2022-01-06
SPAC1006.07	tif1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1006.07	tif1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1006.07	tif1	ribosomal density	ribosome profiling evidence	decreased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC1006.07	tif1	ribosomal density	ribosome profiling evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1006.07	tif1	RNA	RNA-sequencing evidence	decreased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1006.08	etd1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1006.08	etd1	RNA	RNA-sequencing evidence	decreased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC1006.08	etd1	RNA	RNA-sequencing evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1006.09	win1	RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1039.01		RNA	RNA-sequencing evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1039.01		RNA	expression microarray evidence	increased	in presence of(CHEBI:50292)	PMID:12529438	4896	2021-11-30
SPAC1039.01		RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1039.02	efn2	protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1039.02	efn2	protein	Western blot evidence	increased	during(GO:0016036)	PMID:39660919	4896	2024-12-12
SPAC1039.02	efn2	RNA	expression microarray evidence	decreased	in presence of(CHEBI:29016)	PMID:32896087	4896	2020-12-09
SPAC1039.02	efn2	RNA	expression microarray evidence	decreased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1039.02	efn2	RNA	RNA-sequencing evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1039.02	efn2	RNA	RNA-sequencing evidence	decreased	in presence of(CHEBI:40036)	PMID:36478272	4896	2025-05-21
SPAC1039.02	efn2	RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1039.02	efn2	RNA	RNA-sequencing evidence	increased	in presence of(CHEBI:9168)	PMID:38269097	4896	2024-03-27
SPAC1039.02	efn2	RNA	RNA-sequencing evidence	increased	during(GO:0016036)	PMID:36794724	4896	2023-08-11
SPAC1039.03		protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1039.03		protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1039.03		RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1039.04		RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1039.05c	klf1	protein	western blot evidence used in manual assertion	increased	during(GO:0006995)	PMID:24167631	4896	2013-12-02
SPAC1039.05c	klf1	protein	mass spectrometry evidence	increased	in presence of(CHEBI:15361),in absence of(CHEBI:17234)	PMID:31626996	4896	2021-01-31
SPAC1039.05c	klf1	RNA	RNA-sequencing evidence	decreased	during(GO:0006970)	PMID:33313903	4896	2021-01-11
SPAC1039.05c	klf1	RNA	expression microarray evidence	increased	during(GO:0006995)	PMID:24167631	4896	2013-12-02
SPAC1039.05c	klf1	RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1039.06		protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1039.06		RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1039.06		RNA	expression microarray evidence	increased	during(GO:1903832)	PMID:29432178	4896	2018-03-09
SPAC1039.07c		protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1039.07c		RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1039.08		RNA	expression microarray evidence	decreased	in presence of(CHEBI:29016)	PMID:32896087	4896	2020-12-09
SPAC1039.08		RNA	RNA-sequencing evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1039.08		RNA	expression microarray evidence	increased	in presence of(CHEBI:47600)	PMID:22840777	4896	2012-10-18
SPAC1039.08		RNA	expression microarray evidence	increased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1039.08		RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1039.09	isp5	protein	mass spectrometry evidence	decreased	in presence of(CHEBI:15361),in absence of(CHEBI:17234)	PMID:31626996	4896	2021-01-31
SPAC1039.09	isp5	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007135)	PMID:39367033	4896	2024-11-01
SPAC1039.09	isp5	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1039.09	isp5	protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1039.09	isp5	RNA	northern assay evidence used in manual assertion	absent	during(GO:0072752)	PMID:15466417	4896	2014-06-09
SPAC1039.09	isp5	RNA	northern assay evidence used in manual assertion	absent	during(GO:0072690)	PMID:7954893	4896	2014-05-08
SPAC1039.09	isp5	RNA	expression microarray evidence	decreased	in presence of(CHEBI:29016)	PMID:32896087	4896	2020-12-09
SPAC1039.09	isp5	RNA	RNA-sequencing evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1039.09	isp5	RNA	RNA-sequencing evidence	decreased	in presence of(CHEBI:40036)	PMID:36478272	4896	2025-05-21
SPAC1039.09	isp5	RNA	RNA-sequencing evidence	decreased	in presence of(CHEBI:28938)	PMID:38780300	4896	2024-09-18
SPAC1039.09	isp5	RNA	RNA-sequencing evidence	decreased	in presence of(CHEBI:171741)	PMID:38780300	4896	2024-09-18
SPAC1039.09	isp5	RNA	northern assay evidence used in manual assertion	increased	during(GO:0006995)	PMID:15466417	4896	2014-06-09
SPAC1039.09	isp5	RNA	reporter gene assay evidence	increased	during(GO:0006995)	PMID:23934889	4896	2013-09-16
SPAC1039.09	isp5	RNA	northern assay evidence used in manual assertion	increased	during(GO:0051321)	PMID:7954893	4896	2014-05-08
SPAC1039.09	isp5	RNA	reporter gene assay evidence	increased	during(GO:0006995)	PMID:27227887	4896	2017-09-27
SPAC1039.09	isp5	RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1039.10	mmf2	protein	mass spectrometry evidence	decreased	in presence of(CHEBI:15361),in absence of(CHEBI:17234)	PMID:31626996	4896	2021-01-31
SPAC1039.10	mmf2	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1039.10	mmf2	protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1039.10	mmf2	RNA	expression microarray evidence	increased	in presence of(CHEBI:50292)	PMID:12529438	4896	2021-11-30
SPAC1039.10	mmf2	RNA	RNA-sequencing evidence	increased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1039.11c	gto1	protein	mass spectrometry evidence	increased	in presence of(CHEBI:15361),in absence of(CHEBI:17234)	PMID:31626996	4896	2021-01-31
SPAC1039.11c	gto1	protein	high throughput evidence used in manual assertion	increased	during(GO:0007135)	PMID:39367033	4896	2024-11-01
SPAC105.01c	kha1	RNA	RNA-sequencing evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC105.01c	kha1	RNA	expression microarray evidence	increased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC105.02c	ank1	protein	mass spectrometry evidence	decreased	in presence of(CHEBI:15361),in absence of(CHEBI:17234)	PMID:31626996	4896	2021-01-31
SPAC105.02c	ank1	RNA	expression microarray evidence	increased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC105.03c	dal81	ribosomal density	ribosome profiling evidence	decreased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC105.03c	dal81	RNA	RNA-sequencing evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1071.03c	sil1	RNA	expression microarray evidence	decreased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1071.04c	spc2	RNA	expression microarray evidence	increased	in presence of(CHEBI:17634)	PMID:34460892	4896	2021-09-22
SPAC1071.05	hpm1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1071.05	hpm1	RNA	RNA-sequencing evidence	decreased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1071.07c	rps1502	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1071.07c	rps1502	ribosomal density	ribosome profiling evidence	decreased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC1071.07c	rps1502	ribosomal density	ribosome profiling evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1071.07c	rps1502	RNA	RNA-sequencing evidence	decreased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1071.07c	rps1502	RNA	RNA-sequencing evidence	decreased	in presence of(CHEBI:40036)	PMID:36478272	4896	2025-05-21
SPAC1071.08	rpp203	RNA	RNA-sequencing evidence	decreased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1071.08	rpp203	RNA	RNA-sequencing evidence	decreased	in presence of(CHEBI:40036)	PMID:36478272	4896	2025-05-21
SPAC1071.09c	djc9	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1071.10c	pma1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1071.10c	pma1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1071.10c	pma1	RNA	RNA-sequencing evidence	decreased	in presence of(CHEBI:9168)	PMID:38269097	4896	2024-03-27
SPAC1071.11	coq12	RNA	RNA-sequencing evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1071.12c	stp1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1071.12c	stp1	RNA	expression microarray evidence	decreased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1093.01	ppr5	RNA	expression microarray evidence	increased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1093.02	pdx3	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1093.02	pdx3	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC1093.02	pdx3	RNA	RNA-sequencing evidence	increased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC1093.02	pdx3	RNA	RNA-sequencing evidence	increased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC1093.05	hca4	protein	mass spectrometry evidence	decreased	in presence of(CHEBI:15361),in absence of(CHEBI:17234)	PMID:31626996	4896	2021-01-31
SPAC1093.05	hca4	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC1093.05	hca4	RNA	expression microarray evidence	decreased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC1093.05	hca4	RNA	RNA-sequencing evidence	decreased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC1093.05	hca4	RNA	RNA-sequencing evidence	decreased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC10F6.01c	sir1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC10F6.01c	sir1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC10F6.01c	sir1	RNA	RNA protection assay evidence	decreased	during(GO:0010106)	PMID:18223116	4896	2019-05-23
SPAC10F6.01c	sir1	RNA	RNA-sequencing evidence	decreased	during(GO:0044838)	PMID:27984744	4896	2021-07-14
SPAC10F6.01c	sir1	RNA	expression microarray evidence	increased	during(GO:0071456)	PMID:16537923	4896	2020-12-07
SPAC10F6.03c	cts1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC10F6.03c	cts1	protein	high throughput evidence used in manual assertion	decreased	during(GO:0006995)	PMID:39705284	4896	2025-04-04
SPAC10F6.03c	cts1	ribosomal density	ribosome profiling evidence	decreased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC10F6.03c	cts1	ribosomal density	ribosome profiling evidence	decreased	during(GO:0042542)	PMID:33313903	4896	2021-01-11
SPAC10F6.03c	cts1	ribosomal density	ribosome profiling evidence	decreased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC10F6.03c	cts1	ribosomal density	ribosome profiling evidence	decreased	in presence of(CHEBI:40036)	PMID:36478272	4896	2025-05-21
SPAC10F6.03c	cts1	RNA	expression microarray evidence	decreased	during(GO:0034599)	PMID:12529438	4896	2021-11-30
SPAC10F6.03c	cts1	RNA	expression microarray evidence	decreased	during(GO:0034605)	PMID:12529438	4896	2021-11-30
SPAC10F6.03c	cts1	RNA	expression microarray evidence	decreased	during(GO:0071470)	PMID:12529438	4896	2021-11-30
SPAC10F6.03c	cts1	RNA	expression microarray evidence	decreased	in presence of(CHEBI:50292)	PMID:12529438	4896	2021-11-30
SPAC10F6.03c	cts1	RNA	expression microarray evidence	decreased	in presence of(CHEBI:25255)	PMID:12529438	4896	2021-11-30
SPAC10F6.03c	cts1	RNA	RNA-sequencing evidence	decreased	during(GO:0071276)	PMID:33313903	4896	2021-01-11
SPAC10F6.04	ats1	RNA	expression microarray evidence	increased	in presence of(CHEBI:46345)	PMID:24223771	4896	2024-12-06
SPAC10F6.05c	ubc6	protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC10F6.05c	ubc6	protein	high throughput evidence used in manual assertion	increased	during(GO:0007135)	PMID:39367033	4896	2024-11-01
SPAC10F6.05c	ubc6	RNA	RNA-sequencing evidence	increased	during(GO:0009408)	PMID:33313903	4896	2021-01-11
SPAC10F6.06	vip1	protein	high throughput evidence used in manual assertion	increased	during(GO:0007127)	PMID:39367033	4896	2024-11-01
SPAC10F6.06	vip1	RNA	expression microarray evidence	increased	during(GO:0034599)	PMID:12529438	4896	2021-11-30
SPAC10F6.06	vip1	RNA	expression microarray evidence	increased	during(GO:0034605)	PMID:12529438	4896	2021-11-30
SPAC10F6.06	vip1	RNA	expression microarray evidence	increased	during(GO:0071470)	PMID:12529438	4896	2021-11-30
SPAC10F6.06	vip1	RNA	expression microarray evidence	increased	in presence of(CHEBI:50292)	PMID:12529438	4896	2021-11-30
