Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4	YES5	YES6
SPAC1002.20	SPAC1002.20	viable	V	0.0	0.029	0.144	0.062	-0.144	-0.12	-0.067
SPAC1006.01	psp3	viable	V	0.0	0.578	0.518	0.668	0.703	0.932	0.73
SPAC1006.02	asa1	inviable	E	0.0	0.82	1.529	1.284	1.917	1.917	1.552
SPAC1006.03c	red1	viable	V	0.0	0.524	1.459	1.766	2.002	2.097	2.274
SPAC1006.04c	mcp3	viable	V	0.0	0.029	0.344	0.241	0.564	0.474	0.432
SPAC1006.05c	och1	viable	V	0.0	0.285	0.875	2.228	3.218	2.727	3.353
SPAC1006.06	rgf2	viable	V	0.0	-0.078	-0.209	-0.064	-0.018	0.004	-0.268
SPAC1006.07	tif1	inviable	E	0.0	1.628	2.06	1.827	1.75	1.827	2.06
SPAC1006.08	etd1	condition-dependent	E	0.0	1.643	3.791	4.441	4.104	4.357	4.417
SPAC1006.09	win1	viable	V	0.0	0.08	0.141	0.485	0.54	0.657	0.583
SPAC1039.01	SPAC1039.01	viable	V	0.0	-0.388	-0.387	-0.068	-0.239	0.886	1.618
SPAC1039.02	efn2	viable	V	0.0	0.287	0.045	0.753	0.417	0.308	0.212
SPAC1039.03	SPAC1039.03	viable	V	0.0	0.072	0.591	0.967	-0.051	0.199	-0.334
SPAC1039.04	SPAC1039.04	viable	V	0.0	0.092	-0.029	-0.194	-0.674	-0.086	-0.422
SPAC1039.05c	klf1	viable	V	0.0	-0.172	-0.066	-0.138	-0.043	0.09	0.281
SPAC1039.06	SPAC1039.06	viable	V	0.0	-0.022	0.102	-0.072	0.245	0.238	-0.094
SPAC1039.07c	SPAC1039.07c	viable	V	0.0	-0.184	-0.101	-0.194	0.043	-0.049	-0.06
SPAC1039.08	SPAC1039.08	viable	V	0.0	0.473	-0.03	0.712	0.439	0.299	0.448
SPAC1039.09	isp5	viable	V	0.0	-0.197	0.256	0.314	0.157	0.193	0.361
SPAC1039.10	mmf2	viable	V	0.0	-0.27	-0.301	-0.428	-0.323	-0.51	-0.049
SPAC1039.11c	gto1	viable	V	0.0	-0.184	-0.043	-0.301	-0.197	-0.411	-0.369
SPAC105.01c	kha1	viable	V	0.0	0.396	0.591	0.31	0.83	1.456	1.156
SPAC105.03c	dal81	viable	V	0.0	0.394	0.89	0.849	0.608	0.846	0.674
SPAC1071.01c	pta1	inviable	E	0.0	1.684	3.544	4.749	4.855	5.207	4.877
SPAC1071.02	mms19	viable	V	0.0	0.587	1.196	2.086	2.68	3.283	3.7
SPAC1071.03c	sil1	viable	V	0.0	0.343	0.311	0.489	0.651	0.477	0.231
SPAC1071.04c	spc2	viable	V	0.0	-0.286	0.05	0.607	0.781	2.081	3.109
SPAC1071.05	hpm1	viable	V	0.0	0.643	0.879	1.173	0.215	1.236	1.04
SPAC1071.06	arp9	viable	V	0.0	-0.173	0.347	0.728	0.915	1.423	1.78
SPAC1071.09c	djc9	viable	V	0.0	-0.316	-0.015	0.38	0.078	0.312	0.681
SPAC1071.10c	pma1	inviable	E	0.0	1.549	3.916	4.252	3.981	4.182	4.209
SPAC1071.11	coq12	condition-dependent	V	0.0	0.138	-0.318	0.673	0.695	1.156	1.3
SPAC1071.12c	stp1	viable	V	0.0	0.085	-0.026	-0.101	-0.1	0.048	-0.04
SPAC1071.13	SPAC1071.13	unknown	Not_determined	0.0	0.083	-0.609	-0.177	0.564	0.076	0.464
SPAC1093.01	ppr5	viable	V	0.0	0.147	0.284	0.073	0.746	0.445	0.416
SPAC1093.02	pdx3	viable	V	0.0	0.229	0.548	0.757	0.314	1.293	0.657
SPAC1093.03	fig4	viable	V	0.0	0.47	0.506	1.121	0.769	1.072	0.613
SPAC1093.04c	cca1	inviable	E	0.0	1.709	3.045	3.731	3.849	4.041	3.774
SPAC1093.05	hca4	inviable	E	0.0	1.35	2.671	2.617	3.047	2.571	2.775
SPAC1093.06c	dhc1	viable	V	0.0	-0.002	0.029	0.187	0.146	0.274	0.18
SPAC10F6.01c	sir1	viable	V	0.0	0.35	0.525	0.453	0.715	0.985	1.036
SPAC10F6.02c	prp22	inviable	E	0.0	1.364	2.64	3.783	4.011	3.943	3.926
SPAC10F6.03c	cts1	inviable	E	0.0	2.097	3.653	4.093	4.227	4.507	4.593
SPAC10F6.04	ats1	viable	V	0.0	0.096	0.245	0.74	0.99	1.092	1.363
SPAC10F6.05c	ubc6	viable	V	0.0	-0.004	0.116	-0.084	-0.187	-0.251	-0.051
SPAC10F6.06	vip1	viable	V	0.0	0.046	0.081	-0.503	-0.38	0.082	-0.078
SPAC10F6.08c	nht1	viable	V	0.0	0.289	0.397	0.654	0.867	1.337	1.8
SPAC10F6.09c	psm3	condition-dependent	E	0.0	1.183	2.983	3.544	3.77	4.048	4.074
SPAC10F6.10	rio1	inviable	E	0.0	1.771	3.637	4.272	4.453	4.388	4.602
SPAC10F6.11c	atg17	viable	V	0.0	-0.35	0.557	0.531	1.031	1.094	-0.32
SPAC10F6.12c	mam4	viable	V	0.0	0.299	0.093	0.195	0.094	0.345	0.215
SPAC10F6.13c	caa1	viable	V	0.0	1.056	1.917	3.218	3.895	4.359	4.351
SPAC10F6.14c	SPAC10F6.14c	viable	V	0.0	0.177	-0.143	-0.038	-0.147	0.111	0.172
SPAC10F6.15	SPAC10F6.15	viable	V	0.0	0.267	0.31	0.28	0.184	0.248	-0.306
SPAC10F6.16	igo1	viable	V	0.0	-0.091	-0.046	-0.007	-0.466	-0.172	0.391
SPAC10F6.17c	ptc5	viable	V	0.0	0.095	0.176	0.312	0.345	0.321	0.457
SPAC110.01	ppk1	viable	V	0.0	-0.226	-0.183	-0.28	0.235	0.244	-0.083
SPAC110.02	pds5	viable	V	0.0	0.306	0.326	0.517	0.585	0.708	0.978
SPAC110.03	cdc42	inviable	E	0.0	1.93	3.667	4.758	4.312	4.34	4.372
SPAC110.04c	pss1	condition-dependent	E	0.0	2.103	3.151	4.041	3.918	4.006	3.948
SPAC110.06	SPAC110.06	viable	Not_determined	0.0	-0.946	-0.241	-0.692	-0.816	-0.11	-0.353
SPAC1142.01	rqc1	viable	V	0.0	-0.511	-0.24	-0.319	-0.45	-0.061	-0.132
SPAC1142.02c	sgt2	viable	V	0.0	0.033	-0.34	-0.012	-0.037	-0.449	0.189
SPAC1142.03c	swi2	viable	V	0.0	-0.088	-0.188	-0.604	-0.655	-0.434	-0.121
SPAC1142.04	noc201	inviable	E	0.0	1.983	3.587	3.976	4.117	4.392	4.343
SPAC1142.05	ctr5	viable	V	0.0	0.076	0.951	2.529	2.154	3.073	3.218
SPAC1142.06	get3	viable	V	0.0	-0.384	-0.593	-0.244	-0.236	0.071	-0.504
SPAC1142.07c	vps32	viable	V	0.0	0.449	1.589	2.445	2.152	2.479	3.173
SPAC1142.08	fhl1	viable	V	0.0	0.72	1.441	2.064	2.677	2.762	2.849
SPAC1142.09	SPAC1142.09	unknown	Not_determined	0.0	0.038	0.036	0.128	-0.15	-0.243	-0.019
SPAC11D3.02c	SPAC11D3.02c	viable	V	0.0	0.832	1.358	0.534	1.332	0.523	0.979
SPAC11D3.03c	SPAC11D3.03c	viable	V	0.0	0.218	-0.56	-0.566	-0.147	-0.384	-0.4
SPAC11D3.04c	SPAC11D3.04c	viable	V	0.0	-0.118	-0.298	-0.096	-0.067	-0.192	-0.271
SPAC11D3.05	mfs2	viable	V	0.0	-0.063	0.46	0.327	0.167	0.918	0.553
SPAC11D3.06	SPAC11D3.06	viable	V	0.0	0.231	0.078	0.417	0.29	0.508	0.612
SPAC11D3.07c	toe4	viable	V	0.0	0.208	0.433	0.336	0.743	0.349	0.642
SPAC11D3.08c	SPAC11D3.08c	viable	V	0.0	-0.284	-0.316	-0.326	-0.014	-0.261	-0.214
SPAC11D3.09	agm1	viable	V	0.0	0.061	-0.045	-0.13	-0.27	-0.015	-0.258
SPAC11D3.10	SPAC11D3.10	viable	V	0.0	0.052	-0.364	-0.028	-0.128	-0.241	-0.102
SPAC11D3.11c	SPAC11D3.11c	unknown	Not_determined	0.0	-0.269	-0.124	0.57	0.226	-0.539	0.086
SPAC11D3.13	hsp3104	viable	V	0.0	-0.398	-0.347	-0.411	-0.478	-0.463	-0.317
SPAC11D3.14c	oxp2	viable	V	0.0	0.162	0.199	0.185	0.041	0.072	0.216
SPAC11D3.15	oxp1	viable	V	0.0	0.191	0.248	0.053	0.125	-0.035	-0.039
SPAC11D3.16c	SPAC11D3.16c	viable	V	0.0	0.115	-0.129	-0.168	-0.582	-0.965	-0.843
SPAC11D3.17	SPAC11D3.17	viable	V	0.0	-0.017	0.072	0.336	0.659	0.599	0.608
SPAC11D3.18c	SPAC11D3.18c	viable	V	0.0	0.301	0.467	0.537	0.327	0.419	0.461
SPAC11D3.19	SPAC11D3.19	viable	Not_determined	0.0	0.019	-0.283	-0.069	-0.413	-0.425	-0.085
SPAC11D3.20	SPAC11D3.20	unknown	Not_determined	0.0	0.092	0.338	0.837	0.273	0.214	0.278
SPAC11E3.01c	swr1	viable	V	0.0	0.272	0.484	0.74	1.01	1.219	1.273
SPAC11E3.02c	ync13	condition-dependent	E	0.0	0.214	0.546	1.928	2.901	3.379	3.448
SPAC11E3.03	csm1	viable	V	0.0	-0.134	0.446	1.686	2.134	2.942	2.404
SPAC11E3.04c	ubc13	viable	V	0.0	0.598	0.605	0.705	0.49	0.561	0.802
SPAC11E3.05	sea3	viable	V	0.0	0.885	1.715	2.745	3.597	3.715	3.884
SPAC11E3.06	map1	viable	V	0.0	0.411	0.262	0.54	0.476	0.385	0.461
SPAC11E3.07	vma4	inviable	E	0.0	0.943	1.902	2.504	3.32	3.203	3.819
SPAC11E3.08c	nse6	viable	V	0.0	0.109	0.656	1.459	2.974	3.298	3.231
SPAC11E3.09	pyp3	viable	V	0.0	0.106	0.186	0.257	0.22	0.288	0.277
SPAC11E3.10	SPAC11E3.10	viable	V	0.0	0.474	1.066	0.519	0.88	0.825	0.927
SPAC11E3.11c	syt22	viable	V	0.0	0.141	0.195	0.352	0.431	0.9	0.866
SPAC11E3.12	SPAC11E3.12	viable	V	0.0	-0.205	-0.88	-0.267	-0.267	-0.245	-0.468
SPAC11E3.13c	gas5	viable	V	0.0	0.116	0.944	0.914	0.911	1.239	0.528
SPAC11E3.14	SPAC11E3.14	viable	V	0.0	0.188	-0.067	0.088	0.785	0.566	0.032
SPAC11G7.01	mtl2	viable	V	0.0	0.773	1.076	0.967	1.168	0.943	1.138
SPAC11G7.02	pub1	viable	V	0.0	1.231	2.282	3.237	3.232	3.596	3.531
SPAC11G7.03	idh1	viable	V	0.0	0.365	0.732	1.533	2.635	3.077	3.947
SPAC11G7.05c	mct1	viable	V	0.0	0.202	0.018	0.436	1.304	2.475	3.758
SPAC11G7.06c	mug132	viable	V	0.0	0.047	-0.063	0.047	0.102	0.454	0.275
SPAC11H11.01	sst6	viable	V	0.0	0.166	0.142	-0.115	0.088	0.279	-0.108
SPAC11H11.02c	mug162	viable	V	0.0	0.193	0.499	0.608	-0.07	0.562	0.522
SPAC11H11.03c	SPAC11H11.03c	viable	V	0.0	-0.0	-0.987	0.404	0.516	0.213	0.347
SPAC11H11.04	mam2	viable	V	0.0	0.116	0.085	0.925	0.735	0.305	0.486
SPAC11H11.05c	fta6	viable	V	0.0	0.272	0.513	0.238	0.414	0.114	0.048
SPAC11H11.06	arp2	inviable	E	0.0	1.49	2.518	2.571	3.178	3.178	2.874
SPAC1250.01	snf21	inviable	E	0.0	0.924	2.124	3.391	4.27	4.358	4.406
SPAC1250.02	mug95	viable	V	0.0	-0.377	0.041	0.002	0.546	-0.081	-0.031
SPAC1250.03	ubc14	viable	V	0.0	1.056	0.613	0.951	0.698	0.576	0.105
SPAC1250.05	rpl3002	viable	V	0.0	-0.134	0.119	0.347	0.659	1.07	0.867
SPAC1296.01c	SPAC1296.01c	viable	V	0.0	-0.402	-0.422	0.08	-0.112	0.197	0.075
SPAC1296.02	cox4	viable	V	0.0	0.393	0.4	0.817	0.839	0.876	1.288
SPAC1296.03c	sxa2	viable	V	0.0	-0.58	-0.22	-0.607	-0.815	-0.893	-0.788
SPAC1296.04	mug65	viable	V	0.0	0.145	0.169	0.13	0.281	0.221	-0.283
SPAC1296.05c	lcp1	viable	V	0.0	-0.043	-0.095	-0.06	-0.027	-0.054	-0.082
SPAC1296.06	tah18	viable	V	0.0	0.766	2.433	4.097	4.381	5.021	4.499
SPAC12B10.01c	hul6	viable	V	0.0	0.113	0.032	0.38	0.41	0.132	0.151
SPAC12B10.02c	sdg1	condition-dependent	E	0.0	-0.8	-0.241	1.072	0.068	0.302	0.127
SPAC12B10.03	bun62	viable	V	0.0	-0.087	-0.0	0.055	0.426	0.857	0.32
SPAC12B10.04	pby1	viable	V	0.0	-0.002	0.224	0.426	0.324	0.597	0.847
SPAC12B10.05	icp55	viable	V	0.0	0.188	0.399	0.388	0.965	0.401	0.374
SPAC12B10.06c	sdh5	viable	V	0.0	0.048	0.169	0.461	0.045	0.172	0.283
SPAC12B10.07	acp1	viable	V	0.0	-0.073	0.542	0.849	0.541	0.551	0.791
SPAC12B10.08c	til1	inviable	E	0.0	0.201	0.163	0.895	1.96	3.471	3.838
SPAC12B10.09	pet801	viable	V	0.0	0.092	0.018	0.064	0.282	0.379	0.539
SPAC12B10.10	nod1	viable	V	0.0	0.05	0.902	0.939	0.14	0.363	0.659
SPAC12B10.11	exg2	viable	V	0.0	0.12	0.31	0.087	0.484	0.727	0.813
SPAC12B10.12c	rhp41	viable	V	0.0	-0.131	-0.088	0.63	0.776	1.149	1.279
SPAC12B10.13	gid8	viable	V	0.0	-0.369	-0.663	-0.631	-0.334	-0.253	-0.274
SPAC12B10.14c	tea5	viable	V	0.0	0.993	1.19	1.229	1.265	1.653	1.083
SPAC12B10.16c	mug157	viable	V	0.0	-0.475	-0.146	-0.181	-0.51	-0.55	-0.461
SPAC12G12.01c	sea4	viable	V	0.0	-0.32	0.242	-0.136	0.286	0.328	-0.005
SPAC12G12.02	efg1	inviable	E	0.0	1.964	3.641	4.153	4.249	4.145	4.476
SPAC12G12.03	cip2	viable	V	0.0	0.222	0.375	0.666	0.643	0.994	1.023
SPAC12G12.04	mcp60	inviable	E	0.0	1.176	3.196	3.973	3.859	3.934	4.202
SPAC12G12.05c	taf9	inviable	E	0.0	0.112	0.035	-0.069	0.09	0.008	0.168
SPAC12G12.06c	rcl1	inviable	E	0.0	1.859	3.383	4.338	4.379	4.344	4.168
SPAC12G12.07c	cpn1	viable	V	0.0	0.185	0.101	0.302	0.067	0.893	0.881
SPAC12G12.08	mrpl6	inviable	E	0.0	0.524	1.078	2.286	1.79	2.053	2.357
SPAC12G12.09	eti1	viable	V	0.0	-0.109	0.304	0.48	0.648	0.948	0.668
SPAC12G12.10	wdr21	viable	V	0.0	-0.084	1.758	2.134	1.408	1.181	0.491
SPAC12G12.11c	miy1	viable	V	0.0	-0.819	-0.142	-1.063	-0.524	-0.744	-1.074
SPAC12G12.12	gms2	viable	V	0.0	-0.0	0.075	0.391	0.152	0.153	0.115
SPAC12G12.13c	cid14	viable	V	0.0	1.566	2.907	3.469	3.732	4.023	3.973
SPAC12G12.14c	pfs2	inviable	E	0.0	0.608	2.032	3.608	4.056	3.597	3.518
SPAC12G12.15	sif3	viable	V	0.0	0.277	0.613	0.791	0.554	0.725	0.908
SPAC12G12.16c	SPAC12G12.16c	viable	V	0.0	0.065	0.017	0.395	1.028	2.23	3.634
SPAC12G12.17	nce101	unknown	Not_determined	0.0	0.047	0.681	0.13	0.317	0.189	0.118
SPAC1327.01c	SPAC1327.01c	viable	V	0.0	-0.174	-0.465	-0.284	-0.357	-0.266	-0.597
SPAC139.01c	mkt1	viable	V	0.0	0.027	0.611	0.123	0.147	0.074	0.182
SPAC139.02c	oac1	viable	V	0.0	-0.015	-0.034	-0.564	-0.327	-0.172	-0.277
SPAC139.03	toe2	viable	V	0.0	-0.271	-0.3	-0.589	-0.392	-0.466	-0.721
SPAC139.04c	fap2	viable	V	0.0	-0.303	-0.017	0.574	0.087	-0.606	0.316
SPAC139.05	ssd2	viable	V	0.0	0.362	0.431	0.47	0.277	0.302	0.521
SPAC139.06	hat1	viable	V	0.0	-0.073	0.137	0.286	0.291	0.542	0.702
SPAC1399.01c	SPAC1399.01c	viable	V	0.0	-0.568	-0.331	-0.142	-0.348	-0.712	-0.109
SPAC1399.02	SPAC1399.02	viable	V	0.0	0.231	-0.248	0.033	0.155	0.284	0.188
SPAC1399.03	fur4	viable	V	0.0	-0.012	0.118	-0.217	-0.614	-0.462	-0.39
SPAC1399.04c	uck2	viable	V	0.0	-0.184	-0.509	-0.353	-0.383	-0.264	-0.288
SPAC1399.05c	toe1	viable	V	0.0	-0.003	-0.278	0.115	-0.175	-0.105	0.041
SPAC13A11.01c	rga8	viable	V	0.0	0.168	-0.172	-0.069	0.777	0.452	0.885
SPAC13A11.02c	erg11	inviable	E	0.0	2.32	3.637	4.145	4.524	4.674	5.239
SPAC13A11.03	mcp7	viable	V	0.0	0.009	-0.067	0.665	0.285	-0.16	0.129
SPAC13A11.04c	ubp8	viable	V	0.0	0.051	0.098	0.064	0.54	0.796	1.191
SPAC13A11.05	ysp2	viable	V	0.0	-0.072	-0.111	0.375	0.57	0.153	0.305
SPAC13A11.06	pdc202	viable	V	0.0	0.157	0.298	-0.013	-0.19	0.459	-0.051
SPAC13C5.01c	pre9	viable	V	0.0	1.996	2.999	3.437	3.66	3.863	4.031
SPAC13C5.02	dre4	viable	V	0.0	0.157	0.738	1.677	2.821	3.642	4.059
SPAC13C5.03	tht1	viable	V	0.0	0.084	0.137	0.167	0.212	0.159	0.274
SPAC13C5.04	SPAC13C5.04	viable	V	0.0	0.272	0.083	0.112	0.198	0.554	0.398
SPAC13C5.05c	SPAC13C5.05c	viable	V	0.0	0.343	2.247	3.584	4.107	4.377	4.347
SPAC13C5.06c	mug121	viable	V	0.0	-0.453	0.455	0.025	-1.071	-1.414	-0.638
SPAC13C5.07	mre11	viable	V	0.0	0.328	1.033	2.16	3.065	3.684	3.692
SPAC13D1.01c	Tf2-7	unknown	Not_determined	0.0	0.817	0.781	-0.206	0.698	0.198	-0.868
SPAC13D6.01	pof14	viable	V	0.0	0.973	1.008	0.091	0.745	0.864	1.008
SPAC13D6.03c	trm9	viable	V	0.0	0.094	0.227	0.684	0.728	0.931	1.296
SPAC13D6.04c	btb3	viable	V	0.0	1.141	1.864	1.261	0.739	2.802	1.388
SPAC13D6.05	alp11	inviable	E	0.0	0.328	1.447	2.58	3.634	3.378	3.933
SPAC13F5.01c	msh1	viable	V	0.0	0.206	0.121	-0.132	0.052	0.001	0.156
SPAC13F5.02c	taf7	inviable	E	0.0	0.58	3.071	4.755	5.017	4.791	4.938
SPAC13F5.03c	gld1	viable	V	0.0	0.267	-0.146	-0.002	-0.262	0.503	0.365
SPAC13F5.04c	vta1	viable	V	0.0	0.521	1.286	2.536	2.473	1.254	0.72
SPAC13F5.05	mpd1	viable	V	0.0	0.206	0.234	-0.055	-0.045	-0.092	0.262
SPAC13F5.06c	sec10	inviable	E	0.0	1.153	3.391	4.257	4.937	4.794	4.616
SPAC13F5.07c	hpz2	viable	V	0.0	-0.274	0.713	1.405	1.561	-0.165	0.444
SPAC13G6.01c	rad8	viable	V	0.0	0.57	0.339	0.588	0.693	0.465	0.477
SPAC13G6.02c	rps101	viable	V	0.0	0.817	1.407	2.183	2.463	3.275	3.64
SPAC13G6.03	gpi7	viable	V	0.0	-0.154	-0.002	-0.165	-0.621	-0.358	-0.275
SPAC13G6.04	tim8	viable	V	0.0	0.976	0.714	0.447	1.048	1.329	1.372
SPAC13G6.05c	trs33	inviable	E	0.0	0.201	1.873	3.304	4.539	4.245	4.833
SPAC13G6.06c	gcv2	viable	V	0.0	-0.123	-0.125	-0.295	-0.297	-0.03	-0.133
SPAC13G6.07c	rps601	viable	V	0.0	1.072	2.102	2.834	3.156	3.562	3.44
SPAC13G6.08	fzr2	viable	V	0.0	-0.01	-0.025	-0.093	-0.239	-0.144	-0.121
SPAC13G6.09	tsr402	viable	V	0.0	1.13	2.473	2.902	3.564	4.59	4.342
SPAC13G6.10c	asl1	viable	V	0.0	0.512	0.15	1.29	1.3	1.273	1.915
SPAC13G6.11c	erg12	inviable	E	0.0	1.716	3.54	4.059	3.723	3.834	3.925
SPAC13G6.12c	chs1	viable	V	0.0	-0.117	-0.009	0.114	-0.055	0.262	0.321
SPAC13G6.13	SPAC13G6.13	viable	V	0.0	0.233	0.739	0.491	0.127	1.225	0.692
SPAC13G6.14	aps1	viable	V	0.0	0.313	0.475	0.378	0.28	0.102	0.425
SPAC13G7.01c	erg7	inviable	E	0.0	1.478	3.312	4.25	4.584	4.64	4.54
SPAC13G7.02c	ssa1	viable	V	0.0	0.161	0.256	0.232	0.201	0.287	0.207
SPAC13G7.04c	mac1	viable	V	0.0	0.139	-0.284	0.242	0.119	0.366	0.522
SPAC13G7.05	are1	viable	V	0.0	0.493	-0.38	0.168	-0.035	-0.335	-0.117
SPAC13G7.06	met16	viable	V	0.0	0.611	1.06	0.797	1.74	1.167	0.763
SPAC13G7.07	arb2	viable	V	0.0	0.688	-0.212	0.417	0.876	0.51	0.442
SPAC13G7.08c	crb3	inviable	E	0.0	0.887	2.3	3.821	3.644	4.143	4.158
SPAC13G7.09c	SPAC13G7.09c	viable	V	0.0	0.215	-0.207	0.683	0.932	0.389	-0.225
SPAC13G7.10	teb1	inviable	E	0.0	1.563	2.435	4.177	3.321	3.747	4.177
SPAC13G7.11	mba1	viable	V	0.0	0.198	0.349	0.026	0.292	0.265	0.107
SPAC13G7.12c	eki1	viable	V	0.0	0.25	-0.018	1.048	0.88	0.623	1.068
SPAC13G7.13c	msa1	viable	V	0.0	0.957	0.5	-0.122	0.804	1.131	0.979
SPAC140.01	sdh2	viable	V	0.0	-0.284	-0.797	1.452	0.367	1.452	-0.251
SPAC140.02	gar2	viable	V	0.0	0.706	1.365	2.186	3.354	4.354	4.354
SPAC140.03	arb1	viable	V	0.0	0.013	0.101	0.337	0.395	0.553	0.674
SPAC140.04	ctr1	viable	V	0.0	0.103	0.185	0.442	0.626	0.81	1.142
SPAC1420.01c	mks1	viable	V	0.0	0.181	-0.111	-0.673	-0.439	-0.516	-0.659
SPAC1420.02c	cct5	inviable	E	0.0	2.058	3.322	3.728	3.786	3.286	4.034
SPAC144.01	SPAC144.01	viable	V	0.0	0.303	0.832	0.44	1.293	1.444	1.154
SPAC144.02	iec1	viable	V	0.0	0.157	0.382	0.864	1.051	1.397	1.691
SPAC144.03	ade2	viable	V	0.0	-0.03	-0.425	0.074	0.132	0.209	0.589
SPAC144.04c	spe1	viable	V	0.0	0.078	0.386	0.607	0.69	0.995	0.998
SPAC144.05	irc20	viable	V	0.0	0.063	0.826	0.843	0.904	0.891	1.055
SPAC144.06	apl5	viable	V	0.0	0.245	0.32	0.455	0.736	0.874	1.333
SPAC144.07c	gpn2	inviable	E	0.0	0.986	3.693	4.311	4.174	4.383	4.104
SPAC144.08	jac1	condition-dependent	E	0.0	0.107	1.21	2.303	3.667	4.0	3.956
SPAC144.09c	sfc2	inviable	E	0.0	1.114	1.98	4.311	3.9	4.464	4.619
SPAC144.10c	gwt1	inviable	E	0.0	1.276	3.106	4.088	4.285	4.388	4.447
SPAC144.11	rps1102	viable	V	0.0	0.863	1.474	2.243	2.393	2.522	2.86
SPAC144.12	rki1	inviable	E	0.0	2.213	3.398	5.101	5.019	5.937	5.969
SPAC144.13c	srw1	viable	V	0.0	1.306	2.569	2.99	3.348	3.636	2.971
SPAC144.14	klp8	viable	V	0.0	0.257	0.011	0.024	0.033	0.519	0.112
SPAC144.15c	cog1	inviable	E	0.0	1.783	3.237	4.157	4.231	4.183	4.156
SPAC144.16	cia2	inviable	E	0.0	1.175	3.617	3.034	4.535	3.598	3.67
SPAC144.17c	SPAC144.17c	viable	V	0.0	0.156	-0.04	0.816	1.827	1.948	1.023
SPAC144.18	vrg4	inviable	E	0.0	-0.283	0.887	2.255	3.713	5.581	4.757
SPAC144.19	prl46	viable	Not_determined	0.0	1.118	0.46	0.708	0.863	1.084	1.155
SPAC1486.01	sod2	viable	V	0.0	-0.311	-0.597	0.537	0.309	0.809	0.722
SPAC1486.02c	dsc2	viable	V	0.0	0.523	1.378	1.4	0.992	0.88	1.095
SPAC1486.03c	ntr1	inviable	E	0.0	1.576	3.007	3.791	4.193	4.508	4.076
SPAC1486.04c	alm1	viable	V	0.0	0.219	0.736	1.905	2.834	3.306	3.581
SPAC1486.05	nup189	inviable	E	0.0	1.33	2.686	3.47	3.625	3.626	3.569
SPAC1486.06	npt1	inviable	E	0.0	2.601	3.457	3.982	3.948	3.625	3.901
SPAC1486.07c	mrpl19	inviable	E	0.0	-0.042	0.919	0.968	4.847	3.347	3.983
SPAC1486.08	cox16	viable	V	0.0	0.275	0.473	0.788	0.912	0.614	0.882
SPAC1486.09	nob1	inviable	E	0.0	1.207	2.735	2.774	2.961	3.043	2.749
SPAC1486.10	thi1	viable	V	0.0	0.208	0.232	0.51	0.71	0.341	0.53
SPAC1486.11	fmc1	viable	Not_determined	0.0	0.221	0.357	0.319	0.637	0.658	1.005
SPAC14C4.01c	atg43	viable	V	0.0	0.014	0.11	0.165	1.0	1.863	3.265
SPAC14C4.02c	smc5	inviable	E	0.0	0.447	2.165	3.834	4.164	4.039	4.214
SPAC14C4.03	mek1	viable	V	0.0	-0.154	0.295	0.081	0.48	0.13	0.4
SPAC14C4.04	SPAC14C4.04	viable	V	0.0	-0.114	0.265	0.091	0.345	-0.21	0.121
SPAC14C4.05c	man1	viable	V	0.0	0.2	0.003	0.26	0.187	0.364	0.209
