Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	R2	RMSE	normalized_RMSE	AIC	BIC
SPAC1039.03	SPAC1039.03	viable	V	0.26	0.043	-0.0	0.364	3.001	7.138	6.773	2.196	0.096	4.298	0.041781	0.396	0.304363	-6.97	-7.132
SPAC1039.04	SPAC1039.04	viable	V	0.038	-0.006	0.0	-0.364	-3.0	-7.137	-6.772	-2.196	0.014	0.002	-0.559216	0.313	0.40889	-10.252	-10.415
SPAC1039.05c	klf1	viable	V	-0.18	0.008	0.0	-1.4	-11.527	-27.418	-26.018	-8.435	-0.066	-0.028	0.003393	0.142	0.313395	-21.33	-21.492
SPAC1039.06	SPAC1039.06	viable	V	-0.027	0.002	0.0	-1.065	-8.769	-20.857	-19.792	-6.417	-0.01	-0.003	-0.189073	0.142	0.419509	-21.306	-21.468
SPAC1039.07c	SPAC1039.07c	viable	V	0.111	-0.011	0.0	-0.642	-5.287	-12.576	-11.934	-3.869	0.041	0.008	-0.902527	0.113	0.477451	-24.506	-24.668
SPAC1039.08	SPAC1039.08	viable	V	0.419	0.07	-0.0	0.364	3.001	7.138	6.773	2.196	0.154	6.931	0.260123	0.214	0.287818	-15.614	-15.776
SPAC1039.09	isp5	viable	V	0.272	0.046	3.246	3.611	6.247	10.384	6.773	5.442	0.1	3.627	0.60126	0.114	0.203918	-24.428	-24.59
SPAC1039.10	mmf2	viable	V	-0.339	-0.057	-0.0	0.364	3.001	7.138	6.773	2.196	-0.125	-5.609	0.386316	0.135	0.26482	-22.029	-22.191
SPAC1039.11c	gto1	viable	V	-0.149	0.007	0.0	-1.255	-10.332	-24.576	-23.321	-7.561	-0.055	-0.021	-2.203058	0.259	0.630218	-12.912	-13.074
SPAC105.01c	kha1	viable	V	1.616	0.072	0.609	1.98	11.895	27.453	25.474	8.868	0.595	13.424	0.786435	0.217	0.148828	-15.41	-15.572
SPAC105.03c	dal81	viable	V	0.782	0.131	0.078	0.443	3.079	7.216	6.773	2.274	0.288	12.89	0.841272	0.118	0.132585	-23.919	-24.081
SPAC1071.01c	pta1	inviable	E	5.064	0.702	1.375	1.816	5.003	10.004	8.189	4.03	1.863	73.42	0.99582	0.119	0.022861	-23.797	-23.959
SPAC1071.02	mms19	viable	V	4.362	0.243	1.949	3.046	10.98	23.429	20.383	8.558	1.605	38.21	0.998012	0.057	0.015525	-33.997	-34.16
SPAC1071.03c	sil1	viable	V	0.454	0.076	-0.0	0.364	3.001	7.138	6.773	2.196	0.167	7.517	0.596552	0.123	0.189443	-23.301	-23.463
SPAC1071.04c	spc2	viable	V	4.238	0.343	10.696	11.451	16.911	25.479	14.028	15.244	1.559	15.429	0.96794	0.207	0.060833	-16.082	-16.245
SPAC1071.05	hpm1	viable	V	0.941	0.158	-0.0	0.364	3.001	7.138	6.773	2.196	0.346	15.583	0.496637	0.314	0.254447	-10.195	-10.357
SPAC1071.06	arp9	viable	V	2.28	0.13	5.475	6.549	14.315	26.501	19.952	11.944	0.839	13.911	0.969515	0.116	0.059598	-24.111	-24.273
SPAC1071.09c	djc9	viable	V	0.697	0.043	6.7	7.699	14.924	26.261	18.563	12.718	0.256	3.848	0.61278	0.187	0.187609	-17.47	-17.632
SPAC1071.10c	pma1	inviable	E	4.28	0.717	1.277	1.642	4.278	8.415	6.773	3.473	1.575	65.557	0.981048	0.216	0.050698	-15.483	-15.645
SPAC1071.11	coq12	condition-dependent	V	1.28	0.159	7.538	8.03	11.592	17.18	9.15	10.504	0.471	10.188	0.88554	0.189	0.116835	-17.321	-17.483
SPAC1071.12c	stp1	viable	V	-0.082	0.014	0.0	-0.366	-3.014	-7.169	-6.802	-2.205	-0.03	-0.003	-0.08812	0.068	0.363707	-31.708	-31.87
SPAC1071.13	SPAC1071.13	unknown	Not_determined	0.378	0.063	9.26	9.625	12.261	16.398	6.773	11.456	0.139	2.786	0.332525	0.297	0.253227	-10.995	-11.157
SPAC1093.01	ppr5	viable	V	0.587	0.033	0.0	1.078	8.876	21.111	20.033	6.495	0.216	6.149	0.51457	0.166	0.222859	-19.119	-19.282
SPAC1093.02	pdx3	viable	V	0.9	0.068	0.0	0.812	6.684	15.899	15.087	4.892	0.331	11.224	0.552607	0.261	0.201986	-12.796	-12.959
SPAC1093.03	fig4	viable	V	0.876	0.117	0.09	0.549	3.867	9.074	8.526	2.854	0.322	13.636	0.719768	0.189	0.168521	-17.331	-17.493
SPAC1093.04c	cca1	inviable	E	3.915	0.582	0.853	1.264	4.236	8.9	7.636	3.329	1.44	59.876	0.996055	0.087	0.021589	-28.147	-28.309
SPAC1093.05	hca4	inviable	E	2.827	0.474	0.687	1.052	3.688	7.825	6.773	2.883	1.04	44.94	0.970227	0.174	0.057131	-18.476	-18.638
SPAC1093.06c	dhc1	viable	V	0.264	0.013	0.0	1.229	10.121	24.074	22.845	7.407	0.097	2.513	0.754169	0.05	0.179924	-36.036	-36.198
SPAC10F6.01c	sir1	viable	V	1.332	0.058	-0.0	1.408	11.592	27.573	26.165	8.483	0.49	11.4	0.920496	0.095	0.09193	-26.919	-27.081
SPAC10F6.02c	prp22	inviable	E	4.042	0.524	1.252	1.723	5.131	10.478	8.755	4.091	1.487	57.923	0.993891	0.114	0.028459	-24.383	-24.546
SPAC10F6.03c	cts1	inviable	E	4.44	0.674	0.664	1.066	3.977	8.545	7.479	3.088	1.633	69.076	0.994772	0.113	0.02459	-24.533	-24.695
SPAC10F6.04	ats1	viable	V	1.467	0.104	3.809	4.671	10.912	20.704	16.033	9.007	0.54	12.695	0.985166	0.06	0.044305	-33.298	-33.46
SPAC10F6.05c	ubc6	viable	V	0.102	-0.011	0.0	-0.574	-4.727	-11.243	-10.669	-3.459	0.038	0.007	-0.335094	0.132	0.358457	-22.397	-22.559
SPAC10F6.06	vip1	viable	V	0.128	-0.006	0.0	-1.397	-11.502	-27.359	-25.962	-8.417	0.047	0.02	-0.238566	0.245	0.418102	-13.714	-13.877
SPAC10F6.08c	nht1	viable	V	2.128	0.112	3.987	5.152	13.575	26.792	21.641	11.003	0.783	14.469	0.954998	0.123	0.068552	-23.293	-23.456
SPAC10F6.09c	psm3	condition-dependent	E	3.994	0.579	1.608	2.03	5.078	9.861	7.831	4.147	1.469	57.708	0.996209	0.091	0.022244	-27.615	-27.777
SPAC10F6.10	rio1	inviable	E	4.499	0.745	1.339	1.708	4.376	8.562	6.854	3.562	1.655	68.44	0.998766	0.057	0.012406	-34.083	-34.245
SPAC10F6.11c	atg17	viable	V	0.625	0.105	3.5	3.864	6.501	10.638	6.773	5.696	0.23	8.18	0.304673	0.462	0.320264	-4.797	-4.959
SPAC10F6.12c	mam4	viable	V	0.217	0.036	-0.0	0.364	3.001	7.138	6.773	2.196	0.08	3.588	0.225003	0.1	0.289577	-26.25	-26.412
SPAC10F6.13c	caa1	viable	V	4.66	0.375	1.406	2.164	7.646	16.247	14.084	5.972	1.714	54.214	0.995166	0.111	0.025419	-24.8	-24.962
SPAC10F6.14c	SPAC10F6.14c	viable	V	-0.087	0.008	0.0	-0.64	-5.269	-12.533	-11.893	-3.856	-0.032	-0.006	-0.022287	0.129	0.398671	-22.653	-22.815
SPAC10F6.15	SPAC10F6.15	viable	V	0.164	0.028	-0.0	0.364	3.001	7.138	6.773	2.196	0.06	2.721	-0.003087	0.206	0.334915	-16.097	-16.26
SPAC10F6.16	igo1	viable	V	0.11	-0.012	0.0	-0.543	-4.467	-10.625	-10.082	-3.269	0.04	0.007	-0.056402	0.242	0.282441	-13.86	-14.023
SPAC10F6.17c	ptc5	viable	V	0.571	0.025	0.0	1.387	11.419	27.161	25.775	8.356	0.21	4.945	0.927922	0.04	0.086706	-39.196	-39.359
SPAC110.01	ppk1	viable	V	0.109	-0.01	0.0	-0.653	-5.379	-12.794	-12.141	-3.936	0.04	0.008	-0.045908	0.202	0.384635	-16.397	-16.56
SPAC110.02	pds5	viable	V	1.135	0.049	0.0	1.408	11.592	27.573	26.165	8.483	0.418	9.716	0.932975	0.076	0.077235	-30.107	-30.269
SPAC110.03	cdc42	inviable	E	4.488	0.752	1.123	1.488	4.124	8.261	6.773	3.319	1.651	69.418	0.985882	0.192	0.040346	-17.106	-17.269
SPAC110.04c	pss1	condition-dependent	E	3.997	0.629	0.528	0.916	3.723	8.127	7.212	2.866	1.47	63.263	0.991299	0.13	0.032247	-22.53	-22.692
SPAC110.06	SPAC110.06	viable	Not_determined	-0.536	-0.09	-0.0	0.364	3.001	7.138	6.773	2.196	-0.197	-8.878	0.054331	0.331	0.34962	-9.49	-9.652
SPAC1142.01	rqc1	viable	V	-0.382	0.017	0.0	-1.401	-11.537	-27.442	-26.04	-8.443	-0.14	-0.06	-1.839507	0.302	0.591121	-10.76	-10.922
SPAC1142.02c	sgt2	viable	V	-0.126	-0.021	0.0	0.364	3.001	7.138	6.773	2.196	-0.046	-2.083	0.045703	0.203	0.317675	-16.346	-16.508
SPAC1142.03c	swi2	viable	V	-0.437	-0.073	2.455	2.819	5.456	9.593	6.773	4.651	-0.161	-6.185	0.508273	0.171	0.260959	-18.731	-18.893
SPAC1142.04	noc201	inviable	E	4.278	0.687	0.847	1.228	3.978	8.293	7.066	3.138	1.574	66.691	0.99646	0.09	0.020507	-27.701	-27.863
SPAC1142.05	ctr5	viable	V	3.098	0.367	4.128	4.643	8.367	14.212	9.569	7.23	1.14	34.346	0.95352	0.272	0.084629	-12.21	-12.372
SPAC1142.06	get3	viable	V	-1.0	0.043	0.0	-1.408	-11.592	-27.573	-26.165	-8.483	-0.368	-0.159	-1.379917	0.351	0.529143	-8.644	-8.806
SPAC1142.07c	vps32	viable	V	2.782	0.313	2.055	2.598	6.53	12.699	10.101	5.329	1.024	35.814	0.942752	0.255	0.080521	-13.104	-13.266
SPAC1142.08	fhl1	viable	V	2.981	0.252	1.128	1.851	7.077	15.279	13.428	5.482	1.097	36.332	0.995175	0.071	0.025067	-30.949	-31.111
SPAC1142.09	SPAC1142.09	unknown	Not_determined	0.088	-0.004	0.0	-1.408	-11.592	-27.573	-26.165	-8.483	0.032	0.014	-0.065674	0.12	0.3237	-23.673	-23.835
SPAC11D3.02c	SPAC11D3.02c	viable	V	0.991	0.166	-0.0	0.364	3.001	7.138	6.773	2.196	0.365	16.413	0.429373	0.34	0.250068	-9.12	-9.282
SPAC11D3.03c	SPAC11D3.03c	viable	V	0.094	-0.016	0.0	-0.368	-3.029	-7.205	-6.837	-2.217	0.035	0.004	-0.916113	0.38	0.484642	-7.548	-7.71
SPAC11D3.04c	SPAC11D3.04c	viable	V	-0.177	0.008	0.0	-1.405	-11.568	-27.515	-26.11	-8.465	-0.065	-0.028	-2.15583	0.18	0.603025	-18.03	-18.193
SPAC11D3.05	mfs2	viable	V	0.836	0.037	0.477	1.856	11.829	27.479	25.623	8.785	0.307	6.988	0.559466	0.21	0.214246	-15.837	-16.0
SPAC11D3.06	SPAC11D3.06	viable	V	0.714	0.031	-0.0	1.408	11.592	27.573	26.165	8.483	0.263	6.111	0.796347	0.093	0.152209	-27.229	-27.392
SPAC11D3.07c	toe4	viable	V	0.548	0.061	0.0	0.553	4.55	10.822	10.269	3.329	0.201	8.087	0.685072	0.131	0.175916	-22.487	-22.65
SPAC11D3.08c	SPAC11D3.08c	viable	V	-0.749	0.033	0.0	-1.4	-11.528	-27.421	-26.021	-8.436	-0.276	-0.118	-2.449611	0.238	0.729826	-14.101	-14.264
SPAC11D3.09	agm1	viable	V	0.123	-0.008	0.0	-0.993	-8.176	-19.448	-18.455	-5.983	0.045	0.014	-0.61227	0.152	0.460038	-20.349	-20.511
SPAC11D3.10	SPAC11D3.10	viable	V	-0.158	-0.023	0.0	0.411	3.387	8.055	7.644	2.478	-0.058	-2.546	0.226375	0.118	0.28467	-23.869	-24.031
SPAC11D3.11c	SPAC11D3.11c	unknown	Not_determined	-0.327	0.014	0.0	-1.387	-11.419	-27.162	-25.775	-8.357	-0.12	-0.051	0.002367	0.329	0.297013	-9.547	-9.71
SPAC11D3.13	hsp3104	viable	V	-0.432	-0.072	-0.0	0.364	3.001	7.138	6.773	2.196	-0.159	-7.154	0.764462	0.073	0.152824	-30.633	-30.795
SPAC11D3.14c	oxp2	viable	V	0.156	0.026	0.0	0.364	3.001	7.138	6.773	2.196	0.057	2.586	0.255006	0.069	0.317587	-31.513	-31.675
SPAC11D3.15	oxp1	viable	V	0.091	0.015	-0.0	0.364	3.001	7.138	6.773	2.196	0.033	1.502	-0.057258	0.108	0.375386	-25.144	-25.307
SPAC11D3.16c	SPAC11D3.16c	viable	V	-0.944	-0.143	9.06	9.462	12.37	16.933	7.47	11.482	-0.347	-6.843	0.955531	0.083	0.077179	-28.785	-28.948
SPAC11D3.17	SPAC11D3.17	viable	V	0.641	0.096	6.16	6.567	9.51	14.129	7.562	8.611	0.236	6.445	0.973879	0.045	0.067222	-37.278	-37.441
SPAC11D3.18c	SPAC11D3.18c	viable	V	0.457	0.077	-0.0	0.364	3.001	7.138	6.773	2.196	0.168	7.57	0.837797	0.066	0.123763	-31.956	-32.118
SPAC11D3.19	SPAC11D3.19	viable	Not_determined	-0.279	-0.029	0.746	1.33	5.551	12.174	10.844	4.262	-0.103	-3.848	0.389322	0.138	0.310791	-21.728	-21.89
SPAC11D3.20	SPAC11D3.20	unknown	Not_determined	0.394	0.066	1.019	1.384	4.02	8.157	6.773	3.215	0.145	6.13	0.357908	0.199	0.237561	-16.614	-16.776
SPAC11E3.01c	swr1	viable	V	1.525	0.082	0.837	1.975	10.207	23.126	21.151	7.694	0.561	14.348	0.993988	0.035	0.027375	-40.983	-41.146
SPAC11E3.02c	ync13	condition-dependent	E	3.583	0.425	5.73	6.244	9.964	15.801	9.557	8.828	1.318	34.124	0.996935	0.078	0.022511	-29.783	-29.946
SPAC11E3.03	csm1	viable	V	2.665	0.376	5.844	6.277	9.406	14.316	8.039	8.451	0.981	27.01	0.973362	0.187	0.060878	-17.454	-17.616
SPAC11E3.04c	ubc13	viable	V	0.674	0.113	-0.0	0.364	3.001	7.138	6.773	2.196	0.248	11.151	0.745298	0.12	0.150039	-23.645	-23.807
SPAC11E3.05	sea3	viable	V	4.101	0.337	1.537	2.281	7.659	16.099	13.819	6.017	1.509	47.687	0.994456	0.105	0.02711	-25.514	-25.676
SPAC11E3.06	map1	viable	V	0.456	0.076	-0.0	0.364	3.001	7.138	6.773	2.196	0.168	7.549	0.725635	0.088	0.163325	-27.995	-28.157
SPAC11E3.07	vma4	inviable	E	3.805	0.293	0.71	1.504	7.246	16.255	14.751	5.493	1.4	45.582	0.983017	0.167	0.043682	-19.072	-19.234
SPAC11E3.08c	nse6	viable	V	3.524	0.391	5.827	6.378	10.363	16.617	10.239	9.146	1.296	32.138	0.983173	0.177	0.053778	-18.214	-18.376
SPAC11E3.09	pyp3	viable	V	0.258	0.04	0.0	0.397	3.271	7.78	7.382	2.394	0.095	4.195	0.890554	0.032	0.09859	-42.256	-42.419
SPAC11E3.10	SPAC11E3.10	viable	V	0.864	0.145	0.001	0.365	3.002	7.139	6.773	2.197	0.318	14.309	0.745737	0.171	0.160022	-18.759	-18.922
SPAC11E3.11c	syt22	viable	V	1.141	0.058	3.505	4.699	13.335	26.886	22.187	10.699	0.42	8.014	0.932702	0.084	0.093623	-28.634	-28.796
SPAC11E3.12	SPAC11E3.12	viable	V	-0.421	-0.07	-0.0	0.364	3.001	7.138	6.773	2.196	-0.155	-6.964	0.275052	0.219	0.248341	-15.291	-15.453
SPAC11E3.13c	gas5	viable	V	0.947	0.159	1.993	2.358	4.994	9.131	6.773	4.189	0.349	13.834	0.736198	0.221	0.17811	-15.155	-15.317
SPAC11E3.14	SPAC11E3.14	viable	V	0.406	0.031	1.036	1.842	7.675	16.828	14.985	5.894	0.15	4.707	0.234073	0.261	0.306471	-12.799	-12.961
SPAC11G7.01	mtl2	viable	V	1.099	0.184	-0.0	0.364	3.001	7.138	6.773	2.196	0.404	18.197	0.931164	0.098	0.08422	-26.466	-26.629
SPAC11G7.02	pub1	viable	V	3.568	0.41	0.875	1.406	5.247	11.273	9.867	4.074	1.312	50.445	0.993281	0.104	0.028872	-25.711	-25.873
SPAC11G7.03	idh1	viable	V	5.049	0.27	4.358	5.5	13.759	26.72	21.22	11.238	1.857	33.461	0.99172	0.126	0.031939	-22.994	-23.156
SPAC11G7.05c	mct1	viable	V	5.092	0.401	10.356	11.132	16.742	25.545	14.414	15.029	1.873	19.344	0.991103	0.127	0.033662	-22.945	-23.107
SPAC11G7.06c	mug132	viable	V	0.357	0.016	1.011	2.357	12.095	27.375	25.018	9.122	0.131	2.902	0.538529	0.113	0.218958	-24.5	-24.662
SPAC11H11.01	sst6	viable	V	-0.014	0.002	-0.0	-0.364	-3.001	-7.138	-6.773	-2.196	-0.005	-0.001	-0.226244	0.15	0.38155	-20.529	-20.691
SPAC11H11.02c	mug162	viable	V	0.425	0.071	0.0	0.364	3.001	7.138	6.773	2.196	0.156	7.033	0.323202	0.216	0.319127	-15.431	-15.593
SPAC11H11.03c	SPAC11H11.03c	viable	V	0.401	0.067	7.48	7.844	10.481	14.618	6.773	9.676	0.148	3.665	0.276728	0.398	0.264944	-6.891	-7.053
SPAC11H11.04	mam2	viable	V	0.595	0.1	3.813	4.178	6.814	10.951	6.773	6.009	0.219	7.613	0.537271	0.221	0.23927	-15.114	-15.276
SPAC11H11.05c	fta6	viable	V	0.28	0.047	-0.0	0.364	3.001	7.138	6.773	2.196	0.103	4.637	0.159852	0.161	0.313306	-19.593	-19.755
SPAC11H11.06	arp2	inviable	E	3.016	0.45	0.496	0.905	3.865	8.509	7.604	2.961	1.109	47.217	0.975583	0.166	0.052321	-19.117	-19.28
SPAC1250.01	snf21	inviable	E	4.604	0.45	1.971	2.596	7.119	14.216	11.62	5.739	1.694	56.272	0.995953	0.106	0.023994	-25.458	-25.62
SPAC1250.02	mug95	viable	V	-0.287	0.013	0.0	-1.377	-11.337	-26.966	-25.589	-8.296	-0.106	-0.045	0.002709	0.253	0.273723	-13.261	-13.423
SPAC1250.03	ubc14	viable	V	0.683	0.114	-0.0	0.364	3.001	7.138	6.773	2.196	0.251	11.314	0.107335	0.346	0.327994	-8.844	-9.006
SPAC1250.05	rpl3002	viable	V	1.042	0.106	6.597	7.195	11.525	18.318	11.123	10.203	0.383	8.338	0.948252	0.096	0.080117	-26.741	-26.903
SPAC1296.01c	SPAC1296.01c	viable	V	-0.075	-0.012	-0.0	0.364	3.001	7.138	6.773	2.196	-0.027	-1.233	-0.05676	0.231	0.373646	-14.497	-14.66
SPAC1296.02	cox4	viable	V	1.444	0.067	-0.0	1.316	10.836	25.774	24.458	7.93	0.531	13.039	0.910725	0.117	0.090791	-24.046	-24.208
SPAC1296.03c	sxa2	viable	V	-0.916	-0.065	-0.0	0.867	7.136	16.974	16.107	5.222	-0.337	-11.021	0.718184	0.163	0.182467	-19.417	-19.579
SPAC1296.04	mug65	viable	V	0.117	0.02	0.0	0.365	3.001	7.138	6.773	2.196	0.043	1.932	0.017527	0.172	0.305542	-18.617	-18.779
SPAC1296.05c	lcp1	viable	V	0.104	-0.013	0.0	-0.48	-3.955	-9.408	-8.928	-2.894	0.038	0.006	-2.998059	0.06	0.627692	-33.474	-33.636
SPAC1296.06	tah18	viable	V	4.797	0.611	2.736	3.216	6.682	12.122	8.907	5.624	1.765	61.34	0.990424	0.18	0.035898	-17.988	-18.151
SPAC12B10.01c	hul6	viable	V	0.245	0.028	0.0	0.537	4.418	10.508	9.971	3.233	0.09	3.656	0.359964	0.119	0.289971	-23.814	-23.976
SPAC12B10.02c	sdg1	condition-dependent	E	0.348	0.058	5.042	5.407	8.043	12.18	6.773	7.238	0.128	4.019	0.204912	0.467	0.249422	-4.662	-4.825
SPAC12B10.03	bun62	viable	V	0.599	0.1	9.026	9.391	12.027	16.164	6.773	11.222	0.22	4.556	0.741932	0.158	0.167274	-19.841	-20.003
SPAC12B10.04	pby1	viable	V	0.962	0.048	2.858	4.091	13.013	27.013	22.922	10.289	0.354	7.045	0.878876	0.102	0.117327	-25.933	-26.095
SPAC12B10.05	icp55	viable	V	0.544	0.067	0.343	0.839	4.423	10.047	9.208	3.329	0.2	8.151	0.517383	0.19	0.19695	-17.261	-17.423
SPAC12B10.06c	sdh5	viable	V	0.232	0.031	0.0	0.462	3.807	9.056	8.594	2.786	0.085	3.618	0.339483	0.122	0.263891	-23.492	-23.654
SPAC12B10.07	acp1	viable	V	0.708	0.119	2.991	3.356	5.992	10.129	6.773	5.187	0.26	9.635	0.82779	0.138	0.150059	-21.691	-21.853
SPAC12B10.08c	til1	inviable	E	4.72	0.397	8.265	8.992	14.249	22.498	13.506	12.644	1.736	26.702	0.993503	0.121	0.031406	-23.621	-23.784
SPAC12B10.09	pet801	viable	V	0.639	0.037	5.933	6.979	14.543	26.411	19.432	12.233	0.235	3.761	0.911557	0.057	0.105695	-34.113	-34.276
SPAC12B10.10	nod1	viable	V	0.589	0.099	0.918	1.283	3.919	8.056	6.773	3.114	0.217	9.228	0.362199	0.295	0.313639	-11.114	-11.277
SPAC12B10.11	exg2	viable	V	0.999	0.051	3.424	4.623	13.295	26.902	22.28	10.647	0.368	7.057	0.847596	0.116	0.142843	-24.142	-24.305
SPAC12B10.12c	rhp41	viable	V	1.297	0.146	7.002	7.544	11.46	17.606	10.062	10.265	0.477	10.468	0.960116	0.11	0.077798	-24.941	-25.103
SPAC12B10.13	gid8	viable	V	-0.448	-0.075	-0.0	0.364	3.001	7.138	6.773	2.196	-0.165	-7.423	0.371562	0.168	0.253422	-18.972	-19.134
SPAC12B10.14c	tea5	viable	V	1.343	0.225	-0.0	0.364	3.001	7.138	6.773	2.196	0.494	22.225	0.862567	0.175	0.106136	-18.366	-18.528
SPAC12B10.16c	mug157	viable	V	-0.414	-0.069	-0.0	0.364	3.001	7.138	6.773	2.196	-0.152	-6.846	0.362798	0.161	0.292297	-19.59	-19.752
SPAC12G12.01c	sea4	viable	V	-0.097	0.004	0.0	-1.389	-11.439	-27.208	-25.818	-8.371	-0.036	-0.015	-0.062118	0.229	0.353884	-14.617	-14.779
SPAC12G12.02	efg1	inviable	E	4.314	0.723	0.991	1.356	3.992	8.129	6.773	3.187	1.587	67.302	0.996456	0.091	0.02041	-27.502	-27.665
