Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4	YES5	YES6
SPAC1093.04c	cca1	inviable	E	0.084	1.669	3.111	3.691	3.853	3.9	3.911
SPAC1093.05	hca4	inviable	E	0.069	1.429	2.42	2.733	2.805	2.822	2.826
SPAC1093.06c	dhc1	viable	V	0.017	0.051	0.091	0.134	0.17	0.201	0.219
SPAC10F6.01c	sir1	viable	V	0.088	0.231	0.403	0.596	0.769	0.927	1.032
SPAC10F6.02c	prp22	inviable	E	0.059	1.294	2.812	3.618	3.9	4.0	4.027
SPAC10F6.03c	cts1	inviable	E	0.125	2.056	3.628	4.221	4.381	4.426	4.436
SPAC10F6.04	ats1	viable	V	0.005	0.093	0.334	0.676	0.967	1.188	1.302
SPAC10F6.05c	ubc6	viable	V	0.007	0.0	0.0	0.0	0.0	0.0	0.0
SPAC10F6.06	vip1	viable	V	0.008	0.002	0.0	0.0	0.0	0.0	0.0
SPAC10F6.08c	nht1	viable	V	0.018	0.126	0.36	0.708	1.062	1.399	1.616
SPAC10F6.09c	psm3	condition-dependent	E	0.024	1.225	2.874	3.66	3.897	3.97	3.987
SPAC10F6.10	rio1	inviable	E	0.031	1.775	3.625	4.29	4.449	4.488	4.496
SPAC10F6.11c	atg17	viable	V	0.0	0.054	0.357	0.553	0.607	0.621	0.624
SPAC10F6.12c	mam4	viable	V	0.014	0.132	0.193	0.211	0.215	0.216	0.217
SPAC10F6.13c	caa1	viable	V	0.115	0.907	2.086	3.172	3.854	4.27	4.452
SPAC10F6.14c	SPAC10F6.14c	viable	V	-0.006	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC10F6.15	SPAC10F6.15	viable	V	0.011	0.099	0.146	0.16	0.163	0.164	0.164
SPAC10F6.16	igo1	viable	V	0.007	0.0	0.0	0.0	0.0	0.0	0.0
SPAC10F6.17c	ptc5	viable	V	0.038	0.1	0.175	0.259	0.334	0.402	0.446
SPAC110.01	ppk1	viable	V	0.007	0.0	0.0	0.0	0.0	0.0	0.0
SPAC110.02	pds5	viable	V	0.075	0.196	0.342	0.506	0.652	0.787	0.875
SPAC110.03	cdc42	inviable	E	0.048	1.953	3.712	4.307	4.445	4.479	4.485
SPAC110.04c	pss1	condition-dependent	E	0.133	1.999	3.362	3.837	3.956	3.988	3.995
SPAC110.06	SPAC110.06	viable	Not_determined	-0.035	-0.326	-0.479	-0.523	-0.533	-0.536	-0.536
SPAC1142.01	rqc1	viable	V	-0.025	-0.006	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC1142.02c	sgt2	viable	V	-0.008	-0.076	-0.112	-0.123	-0.125	-0.126	-0.126
SPAC1142.03c	swi2	viable	V	-0.0	-0.096	-0.309	-0.406	-0.43	-0.436	-0.437
SPAC1142.04	noc201	inviable	E	0.084	1.971	3.545	4.097	4.233	4.268	4.275
SPAC1142.05	ctr5	viable	V	0.0	0.14	1.044	2.145	2.719	2.972	3.049
SPAC1142.06	get3	viable	V	-0.066	-0.015	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC1142.07c	vps32	viable	V	0.017	0.543	1.518	2.24	2.565	2.707	2.751
SPAC1142.08	fhl1	viable	V	0.088	0.667	1.465	2.148	2.549	2.782	2.878
SPAC1142.09	SPAC1142.09	unknown	Not_determined	0.006	0.001	0.0	0.0	0.0	0.0	0.0
SPAC11D3.02c	SPAC11D3.02c	viable	V	0.065	0.602	0.885	0.967	0.986	0.99	0.991
SPAC11D3.03c	SPAC11D3.03c	viable	V	0.006	0.0	0.0	0.0	0.0	0.0	0.0
SPAC11D3.04c	SPAC11D3.04c	viable	V	-0.012	-0.003	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC11D3.05	mfs2	viable	V	0.047	0.133	0.241	0.365	0.476	0.579	0.646
SPAC11D3.06	SPAC11D3.06	viable	V	0.047	0.124	0.216	0.32	0.412	0.497	0.553
SPAC11D3.07c	toe4	viable	V	0.036	0.225	0.392	0.485	0.523	0.539	0.544
SPAC11D3.08c	SPAC11D3.08c	viable	V	-0.049	-0.011	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC11D3.09	agm1	viable	V	0.008	0.001	0.0	0.0	0.0	0.0	0.0
SPAC11D3.10	SPAC11D3.10	viable	V	-0.01	-0.086	-0.134	-0.152	-0.156	-0.158	-0.158
SPAC11D3.11c	SPAC11D3.11c	unknown	Not_determined	-0.022	-0.005	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC11D3.13	hsp3104	viable	V	-0.029	-0.262	-0.386	-0.422	-0.43	-0.432	-0.432
SPAC11D3.14c	oxp2	viable	V	0.01	0.095	0.139	0.152	0.155	0.156	0.156
SPAC11D3.15	oxp1	viable	V	0.006	0.055	0.081	0.088	0.09	0.091	0.091
SPAC11D3.16c	SPAC11D3.16c	viable	V	-0.0	-0.0	-0.001	-0.189	-0.617	-0.856	-0.917
SPAC11D3.17	SPAC11D3.17	viable	V	0.0	0.0	0.091	0.391	0.561	0.622	0.636
SPAC11D3.18c	SPAC11D3.18c	viable	V	0.03	0.278	0.408	0.446	0.455	0.457	0.457
SPAC11D3.19	SPAC11D3.19	viable	Not_determined	-0.01	-0.087	-0.176	-0.234	-0.26	-0.272	-0.276
SPAC11D3.20	SPAC11D3.20	unknown	Not_determined	0.005	0.178	0.328	0.378	0.39	0.393	0.393
SPAC11E3.01c	swr1	viable	V	0.071	0.256	0.501	0.771	0.996	1.182	1.292
SPAC11E3.02c	ync13	condition-dependent	E	0.0	0.02	0.579	1.937	2.882	3.343	3.489
SPAC11E3.03	csm1	viable	V	0.0	0.006	0.456	1.64	2.314	2.57	2.634
SPAC11E3.04c	ubc13	viable	V	0.044	0.409	0.601	0.657	0.67	0.673	0.673
SPAC11E3.05	sea3	viable	V	0.089	0.773	1.827	2.8	3.405	3.77	3.926
SPAC11E3.06	map1	viable	V	0.03	0.277	0.407	0.445	0.453	0.455	0.456
SPAC11E3.07	vma4	inviable	E	0.163	0.895	1.826	2.646	3.161	3.483	3.628
SPAC11E3.08c	nse6	viable	V	0.0	0.021	0.513	1.751	2.704	3.217	3.395
SPAC11E3.09	pyp3	viable	V	0.021	0.09	0.166	0.23	0.268	0.292	0.303
SPAC11E3.10	SPAC11E3.10	viable	V	0.056	0.52	0.764	0.835	0.851	0.855	0.856
SPAC11E3.11c	syt22	viable	V	0.014	0.082	0.213	0.398	0.582	0.757	0.869
SPAC11E3.12	SPAC11E3.12	viable	V	-0.028	-0.255	-0.375	-0.41	-0.418	-0.42	-0.421
SPAC11E3.13c	gas5	viable	V	0.001	0.275	0.715	0.891	0.934	0.945	0.947
SPAC11E3.14	SPAC11E3.14	viable	V	0.027	0.103	0.191	0.271	0.325	0.362	0.381
SPAC11G7.01	mtl2	viable	V	0.073	0.667	0.981	1.073	1.093	1.098	1.099
SPAC11G7.02	pub1	viable	V	0.1	1.169	2.381	3.098	3.388	3.507	3.544
SPAC11G7.03	idh1	viable	V	0.03	0.256	0.786	1.614	2.472	3.295	3.826
SPAC11G7.05c	mct1	viable	V	0.0	0.0	0.019	0.332	1.292	2.679	3.621
SPAC11G7.06c	mug132	viable	V	0.016	0.051	0.097	0.151	0.2	0.245	0.275
SPAC11H11.01	sst6	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC11H11.02c	mug162	viable	V	0.028	0.258	0.379	0.415	0.422	0.424	0.425
SPAC11H11.03c	SPAC11H11.03c	viable	V	0.0	0.0	0.013	0.191	0.338	0.388	0.398
SPAC11H11.04	mam2	viable	V	0.0	0.035	0.312	0.518	0.577	0.592	0.594
SPAC11H11.05c	fta6	viable	V	0.018	0.17	0.25	0.273	0.278	0.279	0.28
SPAC11H11.06	arp2	inviable	E	0.109	1.447	2.477	2.868	2.975	3.006	3.013
SPAC1250.01	snf21	inviable	E	0.047	0.835	2.238	3.427	4.06	4.384	4.502
SPAC1250.02	mug95	viable	V	-0.019	-0.004	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC1250.03	ubc14	viable	V	0.045	0.415	0.61	0.667	0.68	0.683	0.683
SPAC1250.05	rpl3002	viable	V	0.0	0.003	0.09	0.397	0.702	0.898	0.976
SPAC1296.01c	SPAC1296.01c	viable	V	-0.005	-0.045	-0.067	-0.073	-0.074	-0.075	-0.075
SPAC1296.02	cox4	viable	V	0.095	0.264	0.467	0.69	0.883	1.054	1.162
SPAC1296.03c	sxa2	viable	V	-0.061	-0.241	-0.447	-0.628	-0.748	-0.828	-0.866
SPAC1296.04	mug65	viable	V	0.008	0.071	0.104	0.114	0.116	0.117	0.117
SPAC1296.05c	lcp1	viable	V	0.007	0.0	0.0	0.0	0.0	0.0	0.0
SPAC1296.06	tah18	viable	V	0.004	0.696	2.561	3.944	4.499	4.708	4.765
SPAC12B10.01c	hul6	viable	V	0.016	0.104	0.179	0.219	0.235	0.242	0.244
SPAC12B10.02c	sdg1	condition-dependent	E	0.0	0.002	0.112	0.272	0.329	0.344	0.347
SPAC12B10.03	bun62	viable	V	0.0	0.0	0.001	0.133	0.423	0.559	0.588
SPAC12B10.04	pby1	viable	V	0.018	0.086	0.2	0.352	0.499	0.636	0.725
SPAC12B10.05	icp55	viable	V	0.026	0.226	0.405	0.495	0.527	0.539	0.543
SPAC12B10.06c	sdh5	viable	V	0.015	0.113	0.185	0.217	0.227	0.23	0.231
SPAC12B10.07	acp1	viable	V	0.0	0.101	0.454	0.643	0.693	0.705	0.707
SPAC12B10.08c	til1	inviable	E	0.0	0.002	0.122	0.867	2.095	3.288	3.927
SPAC12B10.09	pet801	viable	V	0.001	0.013	0.064	0.165	0.284	0.403	0.479
SPAC12B10.10	nod1	viable	V	0.009	0.276	0.495	0.567	0.584	0.588	0.589
SPAC12B10.11	exg2	viable	V	0.013	0.074	0.189	0.352	0.512	0.664	0.762
SPAC12B10.12c	rhp41	viable	V	0.0	0.001	0.083	0.487	0.901	1.147	1.234
SPAC12B10.13	gid8	viable	V	-0.03	-0.272	-0.4	-0.438	-0.446	-0.448	-0.448
SPAC12B10.14c	tea5	viable	V	0.089	0.815	1.198	1.31	1.335	1.341	1.342
SPAC12B10.16c	mug157	viable	V	-0.027	-0.251	-0.369	-0.404	-0.411	-0.413	-0.413
SPAC12G12.01c	sea4	viable	V	-0.006	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC12G12.02	efg1	inviable	E	0.06	1.971	3.608	4.151	4.276	4.307	4.312
SPAC12G12.03	cip2	viable	V	0.085	0.228	0.4	0.592	0.764	0.921	1.023
SPAC12G12.04	mcp60	inviable	E	0.006	1.242	3.109	3.845	4.023	4.066	4.074
SPAC12G12.05c	taf9	inviable	E	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC12G12.06c	rcl1	inviable	E	0.053	1.82	3.518	4.142	4.298	4.339	4.347
SPAC12G12.07c	cpn1	viable	V	0.0	0.0	0.014	0.129	0.383	0.705	0.919
SPAC12G12.08	mrpl6	inviable	E	0.009	0.456	1.301	1.863	2.087	2.173	2.197
SPAC12G12.09	eti1	viable	V	0.0	0.032	0.25	0.533	0.69	0.763	0.786
SPAC12G12.10	wdr21	viable	V	0.002	0.434	1.077	1.329	1.39	1.405	1.408
SPAC12G12.11c	miy1	viable	V	-0.052	-0.475	-0.699	-0.764	-0.779	-0.782	-0.783
SPAC12G12.12	gms2	viable	V	0.012	0.067	0.119	0.151	0.165	0.171	0.173
SPAC12G12.13c	cid14	viable	V	0.135	1.519	2.876	3.571	3.821	3.913	3.939
SPAC12G12.14c	pfs2	inviable	E	0.0	0.454	2.273	3.374	3.687	3.771	3.787
SPAC12G12.15	sif3	viable	V	0.035	0.321	0.577	0.703	0.748	0.764	0.769
SPAC12G12.16c	SPAC12G12.16c	viable	V	0.0	0.0	0.004	0.183	1.025	2.464	3.48
SPAC12G12.17	nce101	unknown	Not_determined	0.018	0.165	0.242	0.265	0.27	0.271	0.271
SPAC1327.01c	SPAC1327.01c	viable	V	-0.026	-0.225	-0.345	-0.386	-0.396	-0.399	-0.4
SPAC139.01c	mkt1	viable	V	0.014	0.129	0.19	0.207	0.211	0.212	0.213
SPAC139.02c	oac1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC139.03	toe2	viable	V	-0.039	-0.187	-0.343	-0.461	-0.525	-0.561	-0.576
SPAC139.04c	fap2	viable	V	-0.018	-0.004	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC139.05	ssd2	viable	V	0.028	0.257	0.378	0.413	0.421	0.423	0.423
SPAC139.06	hat1	viable	V	0.004	0.037	0.122	0.259	0.404	0.545	0.635
SPAC1399.01c	SPAC1399.01c	viable	V	-0.025	-0.231	-0.34	-0.372	-0.379	-0.38	-0.381
SPAC1399.02	SPAC1399.02	viable	V	0.016	0.041	0.072	0.106	0.136	0.165	0.183
SPAC1399.03	fur4	viable	V	-0.0	-0.0	-0.024	-0.26	-0.43	-0.486	-0.497
SPAC1399.04c	uck2	viable	V	-0.024	-0.218	-0.32	-0.35	-0.356	-0.358	-0.358
SPAC1399.05c	toe1	viable	V	0.001	0.0	0.0	0.0	0.0	0.0	0.0
SPAC13A11.01c	rga8	viable	V	0.0	0.0	0.0	0.132	0.52	0.723	0.768
SPAC13A11.02c	erg11	inviable	E	0.295	2.115	3.634	4.398	4.68	4.787	4.818
SPAC13A11.03	mcp7	viable	V	0.012	0.081	0.136	0.162	0.172	0.175	0.176
SPAC13A11.04c	ubp8	viable	V	0.0	0.0	0.018	0.161	0.477	0.877	1.142
SPAC13A11.05	ysp2	viable	V	0.0	0.0	0.074	0.258	0.337	0.359	0.363
SPAC13A11.06	pdc202	viable	V	0.008	0.07	0.103	0.112	0.114	0.115	0.115
SPAC13C5.01c	pre9	viable	V	0.21	1.839	3.073	3.598	3.763	3.817	3.83
SPAC13C5.02	dre4	viable	V	0.004	0.143	0.716	1.752	2.772	3.621	4.083
SPAC13C5.03	tht1	viable	V	0.021	0.061	0.108	0.16	0.204	0.242	0.265
SPAC13C5.04	SPAC13C5.04	viable	V	0.035	0.092	0.161	0.239	0.308	0.372	0.413
SPAC13C5.05c	SPAC13C5.05c	viable	V	0.0	0.391	2.199	3.628	4.145	4.315	4.356
SPAC13C5.06c	mug121	viable	V	-0.0	-0.0	-0.002	-0.26	-0.733	-0.94	-0.984
SPAC13C5.07	mre11	viable	V	0.006	0.249	1.081	2.203	3.031	3.564	3.798
SPAC13D1.01c	Tf2-7	unknown	Not_determined	0.014	0.131	0.192	0.21	0.214	0.215	0.215
SPAC13D6.01	pof14	viable	V	0.054	0.498	0.732	0.801	0.816	0.82	0.82
SPAC13D6.03c	trm9	viable	V	0.022	0.121	0.303	0.556	0.804	1.038	1.189
SPAC13D6.04c	btb3	viable	V	0.108	0.991	1.457	1.593	1.623	1.63	1.632
SPAC13D6.05	alp11	inviable	E	0.002	0.311	1.452	2.683	3.36	3.689	3.801
SPAC13F5.01c	msh1	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC13F5.02c	taf7	inviable	E	0.0	0.62	3.116	4.529	4.903	4.997	5.015
SPAC13F5.03c	gld1	viable	V	0.018	0.048	0.084	0.124	0.16	0.193	0.214
SPAC13F5.04c	vta1	viable	V	0.006	0.621	1.375	1.653	1.719	1.735	1.738
SPAC13F5.05	mpd1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC13F5.06c	sec10	inviable	E	0.005	1.163	3.359	4.4	4.686	4.764	4.78
SPAC13F5.07c	hpz2	viable	V	0.0	0.132	0.545	0.757	0.812	0.826	0.828
SPAC13G6.01c	rad8	viable	V	0.037	0.339	0.498	0.545	0.555	0.558	0.558
SPAC13G6.02c	rps101	viable	V	0.228	0.723	1.361	2.077	2.697	3.24	3.578
SPAC13G6.03	gpi7	viable	V	-0.031	-0.095	-0.173	-0.253	-0.318	-0.371	-0.402
SPAC13G6.04	tim8	viable	V	0.07	0.643	0.945	1.033	1.053	1.057	1.058
SPAC13G6.05c	trs33	inviable	E	0.0	0.263	1.801	3.466	4.256	4.577	4.669
SPAC13G6.06c	gcv2	viable	V	-0.01	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC13G6.07c	rps601	viable	V	0.125	1.022	2.099	2.862	3.238	3.423	3.49
SPAC13G6.08	fzr2	viable	V	0.008	0.0	0.0	0.0	0.0	0.0	0.0
SPAC13G6.09	tsr402	viable	V	0.244	1.11	2.176	3.149	3.799	4.234	4.442
SPAC13G6.10c	asl1	viable	V	0.087	0.297	0.589	0.94	1.263	1.562	1.757
SPAC13G6.11c	erg12	inviable	E	0.057	1.821	3.321	3.816	3.93	3.958	3.963
SPAC13G6.12c	chs1	viable	V	0.016	0.042	0.074	0.11	0.141	0.171	0.19
SPAC13G6.13	SPAC13G6.13	viable	V	0.049	0.256	0.464	0.609	0.683	0.721	0.736
SPAC13G6.14	aps1	viable	V	0.023	0.213	0.312	0.342	0.348	0.35	0.35
SPAC13G7.01c	erg7	inviable	E	0.036	1.467	3.341	4.241	4.52	4.607	4.628
SPAC13G7.02c	ssa1	viable	V	0.016	0.148	0.218	0.238	0.243	0.244	0.244
SPAC13G7.04c	mac1	viable	V	0.0	0.001	0.021	0.101	0.232	0.379	0.474
SPAC13G7.05	are1	viable	V	0.094	0.021	0.003	0.0	0.0	0.0	0.0
SPAC13G7.06	met16	viable	V	0.042	0.622	0.994	1.108	1.133	1.14	1.141
SPAC13G7.07	arb2	viable	V	0.041	0.164	0.303	0.426	0.506	0.56	0.585
SPAC13G7.08c	crb3	inviable	E	0.014	0.838	2.451	3.515	3.928	4.084	4.127
SPAC13G7.09c	SPAC13G7.09c	viable	V	0.008	0.121	0.254	0.33	0.359	0.37	0.373
SPAC13G7.10	teb1	inviable	E	0.115	1.424	2.796	3.53	3.8	3.902	3.931
SPAC13G7.11	mba1	viable	V	0.014	0.133	0.196	0.214	0.218	0.219	0.22
SPAC13G7.12c	eki1	viable	V	0.0	0.002	0.229	0.699	0.886	0.938	0.948
SPAC13G7.13c	msa1	viable	V	0.049	0.454	0.667	0.729	0.743	0.746	0.747
SPAC140.01	sdh2	viable	V	0.0	0.0	0.108	0.481	0.66	0.712	0.722
SPAC140.02	gar2	viable	V	0.098	0.562	1.37	2.393	3.303	4.081	4.542
SPAC140.03	arb1	viable	V	0.013	0.068	0.167	0.302	0.433	0.557	0.637
SPAC140.04	ctr1	viable	V	0.009	0.072	0.217	0.441	0.672	0.893	1.036
SPAC1420.01c	mks1	viable	V	-0.0	-0.005	-0.202	-0.472	-0.564	-0.589	-0.594
SPAC1420.02c	cct5	inviable	E	0.135	2.041	3.269	3.645	3.731	3.752	3.755
SPAC144.01	SPAC144.01	viable	V	0.093	0.324	0.602	0.877	1.083	1.238	1.322
SPAC144.02	iec1	viable	V	0.034	0.176	0.43	0.777	1.116	1.434	1.64
SPAC144.03	ade2	viable	V	0.0	0.0	0.001	0.027	0.147	0.347	0.488
SPAC144.04c	spe1	viable	V	0.031	0.158	0.355	0.583	0.772	0.925	1.011
SPAC144.05	irc20	viable	V	0.0	0.193	0.67	0.895	0.951	0.966	0.968
SPAC144.06	apl5	viable	V	0.028	0.135	0.316	0.556	0.788	1.005	1.146
SPAC144.07c	gpn2	inviable	E	0.005	1.254	3.294	4.12	4.32	4.369	4.378
SPAC144.08	jac1	condition-dependent	E	0.0	0.141	1.107	2.536	3.449	3.925	4.093
SPAC144.09c	sfc2	inviable	E	0.036	0.902	2.46	3.661	4.233	4.495	4.582
SPAC144.10c	gwt1	inviable	E	0.021	1.274	3.126	4.039	4.319	4.406	4.426
SPAC144.11	rps1102	viable	V	0.129	0.782	1.549	2.142	2.469	2.649	2.721
SPAC144.12	rki1	inviable	E	0.328	1.925	3.633	4.838	5.45	5.766	5.885
SPAC144.13c	srw1	viable	V	0.055	1.297	2.558	3.096	3.253	3.3	3.31
SPAC144.14	klp8	viable	V	0.011	0.101	0.148	0.162	0.165	0.165	0.165
SPAC144.15c	cog1	inviable	E	0.067	1.739	3.358	4.001	4.176	4.225	4.236
SPAC144.16	cia2	inviable	E	0.015	1.393	3.063	3.677	3.822	3.858	3.864
SPAC144.17c	SPAC144.17c	viable	V	0.0	0.0	0.104	0.908	1.438	1.606	1.639
SPAC144.18	vrg4	inviable	E	0.0	0.031	0.666	2.402	3.927	4.862	5.223
SPAC144.19	prl46	viable	Not_determined	0.063	0.579	0.852	0.931	0.949	0.953	0.954
SPAC1486.01	sod2	viable	V	0.0	0.0	0.016	0.312	0.586	0.682	0.701
SPAC1486.02c	dsc2	viable	V	0.054	0.661	1.02	1.127	1.152	1.158	1.159
SPAC1486.03c	ntr1	inviable	E	0.111	1.521	3.042	3.854	4.152	4.263	4.294
SPAC1486.04c	alm1	viable	V	0.001	0.126	0.801	1.909	2.778	3.339	3.58
SPAC1486.05	nup189	inviable	E	0.04	1.309	2.753	3.39	3.575	3.631	3.644
SPAC1486.06	npt1	inviable	E	0.258	2.377	3.494	3.82	3.893	3.911	3.914
SPAC1486.07c	mrpl19	inviable	E	0.0	0.0	0.04	1.509	3.253	3.912	4.047
SPAC1486.08	cox16	viable	V	0.03	0.279	0.548	0.712	0.782	0.813	0.822
SPAC1486.09	nob1	inviable	E	0.036	1.317	2.463	2.848	2.937	2.959	2.963
SPAC1486.10	thi1	viable	V	0.036	0.194	0.348	0.45	0.498	0.522	0.531
SPAC1486.11	fmc1	viable	Not_determined	0.062	0.175	0.317	0.48	0.626	0.761	0.85
SPAC14C4.01c	atg43	viable	V	0.0	0.0	0.002	0.138	0.861	2.163	3.095
SPAC14C4.02c	smc5	inviable	E	0.0	0.345	2.298	3.671	4.082	4.194	4.217
SPAC14C4.03	mek1	viable	V	0.011	0.069	0.152	0.228	0.276	0.307	0.321
SPAC14C4.04	SPAC14C4.04	viable	V	0.007	0.055	0.086	0.098	0.102	0.103	0.103
SPAC14C4.05c	man1	viable	V	0.02	0.074	0.136	0.194	0.235	0.263	0.278
SPAC14C4.06c	nab2	viable	V	0.021	0.29	0.949	1.835	2.578	3.144	3.438
