Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	0h	YES0	YES1	YES2	YES3	YES4	YES5	YES6
SPAC12B10.16c	mug157	viable	V	0.0	0.583	0.398	0.055	0.455	0.326	0.214	0.251
SPAC12G12.01c	sea4	viable	V	0.0	0.342	0.388	1.079	1.026	1.102	1.443	1.061
SPAC12G12.02	efg1	inviable	E	0.0	1.427	0.73	0.794	1.177	1.975	1.641	2.778
SPAC12G12.03	cip2	viable	V	0.0	-0.02	0.087	0.198	0.192	0.486	0.599	0.671
SPAC12G12.05c	taf9	inviable	E	0.0	-0.118	-0.097	-0.136	0.028	-0.193	-0.316	-0.274
SPAC12G12.06c	rcl1	inviable	E	0.0	-0.428	1.932	1.673	0.235	0.784	0.414	0.709
SPAC12G12.07c	cpn1	viable	V	0.0	-0.39	-0.032	-0.312	-0.318	-0.02	0.037	0.648
SPAC12G12.08	mrpl6	inviable	E	0.0	0.46	-0.153	2.187	1.276	0.913	1.233	2.927
SPAC12G12.09	eti1	viable	V	0.0	0.058	-0.14	-0.181	-0.16	0.211	-0.023	-0.16
SPAC12G12.10	wdr21	viable	V	0.0	-0.218	0.243	0.701	0.665	0.745	0.578	0.166
SPAC12G12.11c	miy1	viable	V	0.0	0.209	1.07	0.392	2.25	1.253	0.618	1.074
SPAC12G12.12	gms2	viable	V	0.0	0.49	1.458	0.375	0.932	1.458	1.131	0.691
SPAC12G12.13c	cid14	viable	V	0.0	0.228	0.536	1.598	1.765	1.885	2.131	2.457
SPAC12G12.15	sif3	viable	V	0.0	0.114	0.044	-0.196	0.363	0.315	0.19	0.305
SPAC12G12.16c	SPAC12G12.16c	viable	V	0.0	-0.2	0.427	2.167	2.916	3.159	3.426	3.44
SPAC12G12.17	nce101	unknown	Not_determined	0.0	0.02	0.203	0.363	0.14	0.462	0.524	0.493
SPAC1327.01c	SPAC1327.01c	viable	V	0.0	-0.012	0.087	-0.134	0.168	-0.006	0.192	0.093
SPAC139.01c	mkt1	viable	V	0.0	0.182	0.163	-0.369	-0.818	-0.217	-0.839	-0.495
SPAC139.02c	oac1	viable	V	0.0	-0.053	-0.125	-0.376	-0.712	-0.655	-0.969	-0.755
SPAC139.03	toe2	viable	V	0.0	-0.087	0.076	0.347	-0.551	0.035	-0.15	-0.129
SPAC139.04c	fap2	viable	V	0.0	1.1	-0.557	0.27	-0.812	-0.037	0.211	0.326
SPAC139.05	ssd2	viable	V	0.0	-0.305	-0.688	-0.326	-0.402	0.385	-0.013	0.543
SPAC139.06	hat1	viable	V	0.0	0.18	0.479	0.346	0.97	0.946	1.092	1.302
SPAC1399.01c	SPAC1399.01c	viable	V	0.0	-0.108	0.136	0.004	0.24	-0.608	-0.202	-0.679
SPAC1399.02	SPAC1399.02	viable	V	0.0	0.06	-0.113	-0.491	0.432	0.757	0.504	0.47
SPAC1399.03	fur4	viable	V	0.0	0.133	-0.183	-0.496	-0.231	-0.344	-0.309	-0.369
SPAC1399.04c	uck2	viable	V	0.0	0.199	-0.036	-0.545	-0.303	-0.483	-0.119	-0.286
SPAC1399.05c	toe1	viable	V	0.0	0.015	-0.204	0.01	0.32	0.369	0.622	0.458
SPAC13A11.01c	rga8	viable	V	0.0	-0.016	0.167	0.281	0.321	0.431	0.439	0.486
SPAC13A11.03	mcp7	viable	V	0.0	0.468	0.365	0.213	0.414	0.729	0.18	0.845
SPAC13A11.04c	ubp8	viable	V	0.0	-0.182	0.026	0.258	0.166	0.51	0.398	0.608
SPAC13A11.05	ysp2	viable	V	0.0	0.69	0.167	0.592	0.885	1.089	1.134	1.025
SPAC13A11.06	pdc202	viable	V	0.0	0.341	-0.13	0.474	0.5	0.631	0.211	0.486
SPAC13C5.01c	pre9	viable	V	0.0	-0.016	1.031	1.078	2.221	1.678	1.678	2.221
SPAC13C5.02	dre4	viable	V	0.0	-0.263	0.33	1.087	2.147	2.696	3.306	3.957
SPAC13C5.03	tht1	viable	V	0.0	0.157	0.008	-0.206	-0.154	-0.33	-0.176	-0.117
SPAC13C5.04	SPAC13C5.04	viable	V	0.0	-0.048	0.417	0.306	0.536	0.408	0.319	0.058
SPAC13C5.05c	SPAC13C5.05c	viable	V	0.0	0.546	1.578	1.709	1.179	1.696	1.544	1.82
SPAC13C5.06c	mug121	viable	V	0.0	0.222	-0.355	0.93	0.863	0.214	0.075	0.262
SPAC13C5.07	mre11	viable	V	0.0	0.849	1.626	2.522	2.879	2.933	2.861	2.93
SPAC13D1.01c	Tf2-7	unknown	Not_determined	0.0	1.783	0.857	-0.054	0.198	1.105	0.297	0.719
SPAC13D6.01	pof14	viable	V	0.0	0.198	0.195	-0.291	-0.003	-0.041	0.205	0.262
SPAC13D6.03c	trm9	viable	V	0.0	0.086	0.155	0.505	1.05	1.204	1.481	1.674
SPAC13D6.04c	btb3	viable	V	0.0	0.086	0.528	0.236	0.832	1.426	1.154	0.948
SPAC13D6.05	alp11	inviable	E	0.0	0.019	0.695	1.63	2.302	3.257	3.176	3.11
SPAC13F5.01c	msh1	viable	V	0.0	0.026	0.392	-0.035	0.435	-0.084	0.245	0.202
SPAC13F5.02c	taf7	inviable	E	0.0	0.594	1.269	2.246	2.467	2.609	3.294	3.145
SPAC13F5.03c	gld1	viable	V	0.0	0.771	0.108	0.95	0.601	0.096	0.849	1.491
SPAC13F5.04c	vta1	viable	V	0.0	-0.13	1.427	0.963	1.608	1.49	0.569	1.183
SPAC13F5.05	mpd1	viable	V	0.0	-0.06	0.461	0.529	0.494	0.895	1.032	0.583
SPAC13F5.06c	sec10	inviable	E	0.0	1.357	0.314	2.755	1.754	1.625	2.079	2.129
SPAC13F5.07c	hpz2	viable	V	0.0	-0.23	0.114	0.591	0.488	0.44	0.481	0.712
SPAC13G6.01c	rad8	viable	V	0.0	-0.158	0.107	-0.123	0.321	0.01	0.162	0.833
SPAC13G6.02c	rps101	viable	V	0.0	0.156	0.14	0.886	1.314	1.815	2.677	2.721
SPAC13G6.03	gpi7	viable	V	0.0	0.424	0.259	-0.212	-0.037	-0.141	-0.039	-0.348
SPAC13G6.04	tim8	viable	V	0.0	0.394	-0.033	0.914	0.061	0.722	0.326	0.152
SPAC13G6.06c	gcv2	viable	V	0.0	-0.195	0.072	0.14	0.176	0.013	0.302	0.42
SPAC13G6.07c	rps601	viable	V	0.0	0.39	0.616	1.787	2.049	2.908	2.843	3.365
SPAC13G6.08	fzr2	viable	V	0.0	0.342	-0.03	-0.226	-0.001	0.531	0.125	0.168
SPAC13G6.09	tsr402	viable	V	0.0	0.586	1.05	2.851	2.842	2.93	2.93	2.93
SPAC13G6.10c	asl1	viable	V	0.0	-0.126	0.347	0.358	0.953	1.196	1.706	1.753
SPAC13G6.11c	erg12	inviable	E	0.0	0.23	2.018	-0.384	0.433	2.018	-0.66	0.954
SPAC13G6.12c	chs1	viable	V	0.0	0.059	0.177	0.654	1.257	0.45	0.834	0.926
SPAC13G6.13	SPAC13G6.13	viable	V	0.0	0.054	-0.318	-0.166	-0.515	-0.504	-0.186	-0.154
SPAC13G6.14	aps1	viable	V	0.0	0.524	0.286	0.293	-0.338	0.577	-0.39	2.236
SPAC13G7.02c	ssa1	viable	V	0.0	0.174	0.562	0.054	-0.407	-0.244	-0.247	0.115
SPAC13G7.03	upf3	viable	V	0.0	0.348	0.281	0.485	1.274	1.918	1.363	1.906
SPAC13G7.04c	mac1	viable	V	0.0	-0.045	0.537	0.044	0.631	0.775	0.874	0.881
SPAC13G7.05	are1	viable	V	0.0	0.354	0.082	0.321	0.783	0.78	0.353	0.726
SPAC13G7.06	met16	viable	V	0.0	-0.312	-1.085	-0.836	-0.217	0.297	1.105	-0.115
SPAC13G7.07	arb2	viable	V	0.0	0.261	0.705	1.33	1.966	2.921	3.351	3.775
SPAC13G7.09c	SPAC13G7.09c	viable	V	0.0	-0.239	-0.638	-0.67	-0.63	-1.129	-0.677	-0.84
SPAC13G7.10	teb1	inviable	E	0.0	0.608	0.662	2.122	2.465	1.836	2.821	3.663
SPAC13G7.11	mba1	viable	V	0.0	-0.031	0.187	0.298	0.287	0.628	0.397	0.76
SPAC13G7.12c	eki1	viable	V	0.0	0.79	-0.364	-0.189	-0.238	0.161	0.23	0.118
SPAC13G7.13c	msa1	viable	V	0.0	-0.237	0.145	-0.026	-0.012	-0.452	-0.226	-0.383
SPAC140.01	sdh2	viable	V	0.0	-0.843	-0.556	-0.328	-1.221	-0.556	-1.349	-1.28
SPAC140.02	gar2	viable	V	0.0	0.69	1.504	2.379	2.713	3.282	3.006	3.419
SPAC140.03	arb1	viable	V	0.0	0.184	0.524	1.107	1.682	2.534	3.323	3.504
SPAC140.04	ctr1	viable	V	0.0	-0.524	-0.203	-0.369	-0.379	-0.116	-0.214	0.11
SPAC1420.01c	mks1	viable	V	0.0	-0.103	0.105	-0.448	-0.609	-0.496	-0.584	-0.551
SPAC144.01	SPAC144.01	viable	V	0.0	-0.32	-0.752	-0.347	-1.293	-0.27	-0.478	-0.742
SPAC144.02	iec1	viable	V	0.0	0.278	0.363	0.729	1.102	1.755	1.887	2.278
SPAC144.03	ade2	viable	V	0.0	0.651	1.635	1.481	2.012	1.929	1.343	1.534
SPAC144.04c	spe1	viable	V	0.0	-0.2	-0.355	-0.165	0.309	0.866	1.164	1.354
SPAC144.05	irc20	viable	V	0.0	-0.103	0.086	-0.019	0.195	-0.005	-0.053	-0.023
SPAC144.06	apl5	viable	V	0.0	0.236	0.37	0.322	0.557	0.75	1.095	1.256
SPAC144.07c	gpn2	inviable	E	0.0	1.26	0.638	2.123	2.123	1.445	1.445	2.123
SPAC144.08	jac1	condition-dependent	E	0.0	0.305	0.719	1.53	1.969	2.006	1.862	2.058
SPAC144.09c	sfc2	inviable	E	0.0	0.761	2.145	1.765	2.889	2.541	2.36	3.643
SPAC144.10c	gwt1	inviable	E	0.0	0.135	1.901	1.304	1.376	2.023	1.452	1.726
SPAC144.11	rps1102	viable	V	0.0	0.16	0.268	0.777	1.23	1.967	2.272	2.685
SPAC144.13c	srw1	viable	V	0.0	0.266	0.68	0.699	0.681	1.285	1.405	1.181
SPAC144.14	klp8	viable	V	0.0	0.344	0.51	-0.274	-0.195	-0.308	-0.418	-0.244
SPAC144.15c	cog1	inviable	E	0.0	0.884	1.838	3.782	5.218	5.297	5.357	5.191
SPAC144.16	cia2	inviable	E	0.0	1.156	2.018	2.018	2.018	2.018	2.018	2.018
SPAC144.17c	SPAC144.17c	viable	V	0.0	-0.445	-0.005	-0.053	-0.615	-0.686	-1.05	-0.653
SPAC144.19	prl46	viable	Not_determined	0.0	-0.167	0.598	0.111	1.005	0.851	0.541	1.783
SPAC1486.01	sod2	viable	V	0.0	0.348	0.332	0.612	1.259	0.328	0.465	0.933
SPAC1486.02c	dsc2	viable	V	0.0	0.257	0.336	0.02	0.19	0.252	0.006	0.122
SPAC1486.03c	ntr1	inviable	E	0.0	-0.326	0.762	1.524	1.626	2.2	2.191	2.59
SPAC1486.04c	alm1	viable	V	0.0	0.588	1.212	2.169	2.958	3.208	3.402	3.741
SPAC1486.05	nup189	inviable	E	0.0	-0.073	0.368	1.283	2.252	2.194	2.469	2.34
SPAC1486.07c	mrpl19	inviable	E	0.0	-0.077	0.297	1.94	1.536	1.94	1.94	1.94
SPAC1486.08	cox16	viable	V	0.0	0.169	0.159	0.083	0.188	0.985	1.337	1.308
