Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	0h	YES0	YES1	YES2	YES3	YES4	YES5	YES6
SPAC1006.09	win1	viable	V	0.027	0.054	0.201	0.643	0.842	0.909	0.928	0.932
SPAC1039.01	SPAC1039.01	viable	V	0.058	0.105	0.306	0.708	0.831	0.863	0.871	0.872
SPAC1039.02	efn2	viable	V	-0.109	-0.092	-0.054	-0.009	-0.001	-0.0	-0.0	-0.0
SPAC1039.03	SPAC1039.03	viable	V	0.008	0.009	0.014	0.029	0.046	0.062	0.077	0.088
SPAC1039.04	SPAC1039.04	viable	V	0.017	0.02	0.032	0.066	0.103	0.14	0.175	0.198
SPAC1039.05c	klf1	viable	V	0.006	0.011	0.032	0.074	0.087	0.091	0.091	0.092
SPAC1039.06	SPAC1039.06	viable	V	0.037	0.067	0.196	0.452	0.531	0.551	0.556	0.557
SPAC1039.07c	SPAC1039.07c	viable	V	0.006	0.008	0.012	0.025	0.039	0.053	0.066	0.075
SPAC1039.08	SPAC1039.08	viable	V	-0.01	-0.019	-0.055	-0.127	-0.149	-0.154	-0.156	-0.156
SPAC1039.09	isp5	viable	V	0.062	0.108	0.299	0.72	0.877	0.925	0.938	0.941
SPAC1039.10	mmf2	viable	V	0.006	0.02	0.147	0.705	0.953	1.023	1.04	1.043
SPAC1039.11c	gto1	viable	V	0.017	0.02	0.031	0.066	0.102	0.14	0.173	0.197
SPAC105.01c	kha1	viable	V	0.0	0.0	0.0	0.009	0.072	0.224	0.417	0.554
SPAC105.02c	ank1	viable	V	0.0	0.0	0.0	0.074	0.387	0.574	0.627	0.637
SPAC105.03c	dal81	viable	V	0.0	0.0	0.0	0.0	0.0	0.016	0.493	1.294
SPAC1071.01c	pta1	inviable	E	0.06	0.109	0.317	0.732	0.86	0.893	0.901	0.902
SPAC1071.02	mms19	viable	V	0.106	0.164	0.411	1.226	1.82	2.161	2.322	2.382
SPAC1071.03c	sil1	viable	V	0.264	0.23	0.147	0.033	0.004	0.0	0.0	0.0
SPAC1071.04c	spc2	viable	V	0.067	0.123	0.406	1.354	1.902	2.136	2.218	2.242
SPAC1071.05	hpm1	viable	V	0.041	0.074	0.216	0.498	0.585	0.608	0.613	0.614
SPAC1071.06	arp9	viable	V	0.21	0.283	0.554	1.387	2.084	2.583	2.885	3.028
SPAC1071.08	rpp203	viable	V	-0.269	-0.259	-0.221	-0.061	-0.0	-0.0	-0.0	-0.0
SPAC1071.09c	djc9	viable	V	0.039	0.05	0.088	0.225	0.388	0.563	0.724	0.836
SPAC1071.11	coq12	condition-dependent	V	0.0	0.0	0.0	0.0	0.01	0.34	0.745	0.862
SPAC1071.12c	stp1	viable	V	-0.256	-0.256	-0.254	-0.243	-0.204	-0.088	-0.001	-0.0
SPAC1071.13	SPAC1071.13	unknown	Not_determined	-0.011	-0.028	-0.144	-0.521	-0.666	-0.707	-0.716	-0.718
SPAC1093.01	ppr5	viable	V	0.0	0.0	0.007	0.157	0.287	0.331	0.341	0.343
SPAC1093.02	pdx3	viable	V	-0.059	-0.109	-0.316	-0.73	-0.858	-0.891	-0.899	-0.9
SPAC1093.03	fig4	viable	V	-0.038	-0.07	-0.203	-0.468	-0.549	-0.571	-0.576	-0.576
SPAC1093.06c	dhc1	viable	V	0.023	0.028	0.046	0.101	0.158	0.213	0.259	0.29
SPAC10F6.01c	sir1	viable	V	-0.0	-0.0	-0.003	-0.233	-0.525	-0.636	-0.664	-0.669
SPAC10F6.02c	prp22	inviable	E	0.138	0.184	0.365	1.029	1.762	2.451	2.99	3.31
SPAC10F6.04	ats1	viable	V	0.172	0.231	0.449	1.119	1.687	2.099	2.353	2.474
SPAC10F6.05c	ubc6	viable	V	0.017	0.031	0.091	0.21	0.246	0.256	0.258	0.258
SPAC10F6.06	vip1	viable	V	0.157	0.129	0.07	0.01	0.001	0.0	0.0	0.0
SPAC10F6.07c	mug94	viable	V	-0.067	-0.032	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC10F6.08c	nht1	viable	V	0.203	0.273	0.533	1.332	2.004	2.488	2.784	2.923
SPAC10F6.09c	psm3	condition-dependent	E	0.003	0.011	0.112	0.714	1.019	1.109	1.13	1.134
SPAC10F6.10	rio1	inviable	E	0.147	0.269	0.783	1.808	2.123	2.205	2.224	2.228
SPAC10F6.11c	atg17	viable	V	-0.053	-0.098	-0.284	-0.655	-0.769	-0.799	-0.806	-0.807
SPAC10F6.12c	mam4	viable	V	-0.064	-0.053	-0.029	-0.004	-0.0	-0.0	-0.0	-0.0
SPAC10F6.13c	caa1	viable	V	0.0	0.0	0.022	0.993	2.063	2.455	2.552	2.57
SPAC10F6.14c	SPAC10F6.14c	viable	V	0.021	0.025	0.039	0.082	0.127	0.174	0.216	0.245
SPAC10F6.15	SPAC10F6.15	viable	V	0.071	0.13	0.378	0.872	1.024	1.064	1.073	1.075
SPAC10F6.16	igo1	viable	V	0.0	0.0	0.0	0.0	0.028	0.282	0.472	0.519
SPAC10F6.17c	ptc5	viable	V	0.0	0.0	0.004	0.305	0.699	0.852	0.89	0.897
SPAC110.01	ppk1	viable	V	0.048	0.068	0.147	0.405	0.62	0.767	0.851	0.888
SPAC110.02	pds5	viable	V	0.138	0.246	0.697	1.647	1.971	2.064	2.087	2.092
SPAC110.04c	pss1	condition-dependent	E	0.138	0.253	0.734	1.695	1.991	2.068	2.086	2.089
SPAC110.06	SPAC110.06	viable	Not_determined	0.074	0.136	0.395	0.912	1.07	1.112	1.122	1.123
SPAC1142.01	rqc1	viable	V	-0.046	-0.085	-0.246	-0.568	-0.667	-0.693	-0.699	-0.7
SPAC1142.02c	sgt2	viable	V	-0.03	-0.054	-0.154	-0.361	-0.429	-0.449	-0.453	-0.454
SPAC1142.03c	swi2	viable	V	0.032	0.025	0.012	0.001	0.0	0.0	0.0	0.0
SPAC1142.05	ctr5	viable	V	0.142	0.198	0.426	1.232	2.001	2.601	2.989	3.18
SPAC1142.06	get3	viable	V	0.044	0.084	0.261	0.634	0.752	0.783	0.79	0.791
SPAC1142.07c	vps32	viable	V	0.199	0.264	0.501	1.236	1.878	2.365	2.677	2.832
SPAC1142.08	fhl1	viable	V	0.0	0.0	0.0	0.112	0.694	1.38	1.768	1.907
SPAC1142.09	SPAC1142.09	unknown	Not_determined	0.076	0.036	0.001	0.0	0.0	0.0	0.0	0.0
SPAC11D3.02c	SPAC11D3.02c	viable	V	-0.004	-0.006	-0.013	-0.033	-0.047	-0.055	-0.059	-0.061
SPAC11D3.03c	SPAC11D3.03c	viable	V	-0.025	-0.013	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC11D3.04c	SPAC11D3.04c	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC11D3.05	mfs2	viable	V	-0.027	-0.049	-0.142	-0.328	-0.385	-0.4	-0.403	-0.404
SPAC11D3.06	SPAC11D3.06	viable	V	0.024	0.034	0.076	0.195	0.277	0.323	0.345	0.353
SPAC11D3.07c	toe4	viable	V	0.01	0.014	0.027	0.083	0.156	0.238	0.315	0.368
SPAC11D3.08c	SPAC11D3.08c	viable	V	0.0	0.0	0.0	0.0	0.0	0.0	0.103	0.709
SPAC11D3.09	agm1	viable	V	0.021	0.038	0.11	0.255	0.299	0.311	0.313	0.314
SPAC11D3.10	SPAC11D3.10	viable	V	0.071	0.085	0.132	0.277	0.431	0.588	0.731	0.831
SPAC11D3.11c	SPAC11D3.11c	unknown	Not_determined	-0.0	-0.001	-0.01	-0.048	-0.065	-0.07	-0.071	-0.071
SPAC11D3.13	hsp3104	viable	V	0.0	0.0	0.0	0.0	0.0	0.003	0.347	1.139
SPAC11D3.14c	oxp2	viable	V	-0.042	-0.023	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC11D3.15	oxp1	viable	V	0.012	0.021	0.062	0.144	0.169	0.175	0.177	0.177
SPAC11D3.16c	SPAC11D3.16c	viable	V	0.043	0.051	0.079	0.167	0.259	0.354	0.44	0.5
SPAC11D3.17	SPAC11D3.17	viable	V	-0.03	-0.054	-0.158	-0.366	-0.429	-0.446	-0.45	-0.451
SPAC11D3.18c	SPAC11D3.18c	viable	V	0.014	0.025	0.073	0.169	0.199	0.206	0.208	0.209
SPAC11D3.19	SPAC11D3.19	viable	Not_determined	0.0	0.0	0.0	0.0	0.0	0.07	0.574	0.846
SPAC11D3.20	SPAC11D3.20	unknown	Not_determined	0.012	0.014	0.023	0.048	0.075	0.102	0.126	0.142
SPAC11E3.01c	swr1	viable	V	0.101	0.138	0.275	0.693	1.034	1.271	1.41	1.474
SPAC11E3.02c	ync13	condition-dependent	E	0.179	0.286	0.721	1.828	2.378	2.603	2.681	2.702
SPAC11E3.03	csm1	viable	V	0.161	0.271	0.76	2.173	2.941	3.269	3.386	3.42
SPAC11E3.04c	ubc13	viable	V	-0.044	-0.081	-0.235	-0.543	-0.638	-0.663	-0.669	-0.67
SPAC11E3.05	sea3	viable	V	0.245	0.449	1.304	3.012	3.537	3.674	3.706	3.712
SPAC11E3.06	map1	viable	V	-0.302	-0.299	-0.287	-0.205	-0.052	-0.0	-0.0	-0.0
SPAC11E3.08c	nse6	viable	V	0.217	0.309	0.66	1.697	2.446	2.897	3.125	3.216
SPAC11E3.09	pyp3	viable	V	0.016	0.022	0.048	0.171	0.347	0.552	0.746	0.88
SPAC11E3.10	SPAC11E3.10	viable	V	0.03	0.055	0.161	0.371	0.436	0.453	0.456	0.457
SPAC11E3.11c	syt22	viable	V	0.004	0.006	0.02	0.123	0.319	0.581	0.842	1.022
SPAC11E3.12	SPAC11E3.12	viable	V	0.047	0.025	0.002	0.0	0.0	0.0	0.0	0.0
SPAC11E3.13c	gas5	viable	V	0.011	0.02	0.058	0.135	0.158	0.164	0.166	0.166
SPAC11E3.14	SPAC11E3.14	viable	V	0.051	0.067	0.13	0.381	0.703	1.059	1.391	1.621
SPAC11E3.15	rpl22	viable	V	0.059	0.071	0.11	0.23	0.358	0.488	0.607	0.69
SPAC11G7.01	mtl2	viable	V	0.013	0.024	0.07	0.162	0.19	0.198	0.199	0.2
SPAC11G7.02	pub1	viable	V	0.195	0.263	0.515	1.289	1.938	2.404	2.686	2.819
SPAC11G7.03	idh1	viable	V	0.038	0.058	0.158	0.635	1.209	1.721	2.08	2.267
SPAC11G7.06c	mug132	viable	V	-0.023	-0.012	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC11H11.01	sst6	viable	V	0.054	0.099	0.289	0.667	0.783	0.813	0.82	0.822
SPAC11H11.02c	mug162	viable	V	-0.02	-0.031	-0.075	-0.193	-0.26	-0.291	-0.304	-0.307
SPAC11H11.03c	SPAC11H11.03c	viable	V	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPAC11H11.04	mam2	viable	V	0.009	0.015	0.039	0.147	0.263	0.356	0.416	0.444
SPAC11H11.05c	fta6	viable	V	-0.193	-0.169	-0.109	-0.025	-0.003	-0.0	-0.0	-0.0
SPAC1250.02	mug95	viable	V	0.011	0.021	0.065	0.16	0.19	0.198	0.2	0.2
SPAC1250.03	ubc14	viable	V	0.05	0.091	0.265	0.613	0.72	0.748	0.754	0.755
SPAC1250.04c	atl1	viable	V	0.0	0.0	0.0	0.022	0.258	0.465	0.53	0.542
SPAC1250.05	rpl3002	viable	V	0.054	0.079	0.178	0.461	0.646	0.746	0.792	0.808
SPAC1296.01c	SPAC1296.01c	viable	V	0.062	0.083	0.164	0.424	0.655	0.83	0.941	0.996
SPAC1296.02	cox4	viable	V	-0.592	-0.591	-0.589	-0.576	-0.523	-0.332	-0.029	-0.0
SPAC1296.03c	sxa2	viable	V	-0.2	-0.175	-0.112	-0.025	-0.003	-0.0	-0.0	-0.0
SPAC1296.04	mug65	viable	V	0.101	0.124	0.205	0.457	0.714	0.957	1.158	1.286
SPAC1296.05c	lcp1	viable	V	-0.176	-0.153	-0.096	-0.02	-0.002	-0.0	-0.0	-0.0
SPAC1296.06	tah18	viable	V	0.212	0.389	1.131	2.611	3.066	3.186	3.213	3.218
SPAC12B10.01c	hul6	viable	V	0.103	0.127	0.211	0.474	0.741	0.99	1.194	1.321
SPAC12B10.02c	sdg1	condition-dependent	E	0.035	0.06	0.162	0.395	0.489	0.52	0.529	0.531
SPAC12B10.03	bun62	viable	V	0.17	0.312	0.906	2.091	2.455	2.551	2.573	2.577
SPAC12B10.04	pby1	viable	V	-0.008	-0.004	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC12B10.05	icp55	viable	V	-0.056	-0.046	-0.025	-0.004	-0.0	-0.0	-0.0	-0.0
SPAC12B10.06c	sdh5	viable	V	-0.056	-0.103	-0.299	-0.69	-0.81	-0.841	-0.848	-0.85
SPAC12B10.07	acp1	viable	V	0.019	0.034	0.1	0.231	0.272	0.282	0.285	0.285
SPAC12B10.08c	til1	inviable	E	0.0	0.001	0.057	1.479	2.938	3.512	3.668	3.701
SPAC12B10.09	pet801	viable	V	-0.052	-0.043	-0.023	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC12B10.10	nod1	viable	V	0.021	0.039	0.127	0.424	0.596	0.671	0.697	0.705
SPAC12B10.11	exg2	viable	V	-0.244	-0.244	-0.243	-0.239	-0.222	-0.155	-0.023	-0.0
SPAC12B10.12c	rhp41	viable	V	0.015	0.022	0.054	0.222	0.482	0.795	1.093	1.299
SPAC12B10.13	gid8	viable	V	-0.027	-0.032	-0.05	-0.105	-0.163	-0.223	-0.277	-0.315
SPAC12B10.14c	tea5	viable	V	0.051	0.061	0.096	0.204	0.319	0.434	0.537	0.608
SPAC12B10.15c	rnh203	viable	V	0.049	0.06	0.097	0.216	0.348	0.485	0.609	0.696
SPAC12B10.16c	mug157	viable	V	0.021	0.038	0.111	0.256	0.3	0.312	0.314	0.315
SPAC12G12.01c	sea4	viable	V	0.079	0.145	0.422	0.974	1.144	1.188	1.198	1.2
SPAC12G12.02	efg1	inviable	E	0.214	0.256	0.397	0.832	1.295	1.768	2.197	2.498
SPAC12G12.03	cip2	viable	V	0.031	0.04	0.07	0.179	0.309	0.448	0.576	0.665
SPAC12G12.05c	taf9	inviable	E	-0.024	-0.028	-0.044	-0.092	-0.144	-0.196	-0.244	-0.277
SPAC12G12.06c	rcl1	inviable	E	0.055	0.1	0.291	0.672	0.789	0.82	0.827	0.828
SPAC12G12.07c	cpn1	viable	V	-0.179	-0.155	-0.097	-0.021	-0.002	-0.0	-0.0	-0.0
SPAC12G12.08	mrpl6	inviable	E	0.053	0.115	0.449	1.306	1.604	1.684	1.702	1.706
SPAC12G12.09	eti1	viable	V	0.01	0.005	0.0	0.0	0.0	0.0	0.0	0.0
SPAC12G12.10	wdr21	viable	V	0.035	0.065	0.197	0.472	0.558	0.581	0.586	0.587
SPAC12G12.11c	miy1	viable	V	0.08	0.147	0.428	0.989	1.161	1.207	1.217	1.219
SPAC12G12.12	gms2	viable	V	0.07	0.129	0.375	0.866	1.016	1.056	1.065	1.067
SPAC12G12.13c	cid14	viable	V	0.136	0.217	0.548	1.43	1.898	2.1	2.173	2.195
SPAC12G12.15	sif3	viable	V	0.02	0.027	0.051	0.127	0.193	0.242	0.273	0.288
SPAC12G12.16c	SPAC12G12.16c	viable	V	0.016	0.05	0.391	2.112	2.997	3.278	3.349	3.363
SPAC12G12.17	nce101	unknown	Not_determined	0.037	0.048	0.089	0.214	0.329	0.422	0.485	0.519
SPAC1327.01c	SPAC1327.01c	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC139.01c	mkt1	viable	V	-0.0	-0.002	-0.039	-0.351	-0.536	-0.592	-0.606	-0.608
SPAC139.02c	oac1	viable	V	-0.034	-0.053	-0.137	-0.422	-0.635	-0.759	-0.818	-0.84
SPAC139.03	toe2	viable	V	-0.008	-0.005	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC139.04c	fap2	viable	V	0.459	0.325	0.067	0.0	0.0	0.0	0.0	0.0
SPAC139.05	ssd2	viable	V	-0.365	-0.363	-0.358	-0.317	-0.192	-0.018	-0.0	-0.0
SPAC139.06	hat1	viable	V	0.089	0.116	0.215	0.521	0.8	1.021	1.17	1.248
SPAC1399.01c	SPAC1399.01c	viable	V	-0.0	-0.0	-0.0	-0.0	-0.058	-0.338	-0.501	-0.538
SPAC1399.02	SPAC1399.02	viable	V	0.0	0.0	0.0	0.031	0.308	0.53	0.598	0.611
SPAC1399.03	fur4	viable	V	0.065	0.031	0.001	0.0	0.0	0.0	0.0	0.0
SPAC1399.04c	uck2	viable	V	0.109	0.071	0.014	0.0	0.0	0.0	0.0	0.0
SPAC1399.05c	toe1	viable	V	0.0	0.0	0.001	0.078	0.287	0.44	0.503	0.521
SPAC13A11.01c	rga8	viable	V	0.031	0.045	0.101	0.262	0.366	0.422	0.447	0.456
SPAC13A11.03	mcp7	viable	V	0.046	0.061	0.112	0.273	0.419	0.534	0.611	0.651
SPAC13A11.04c	ubp8	viable	V	0.016	0.022	0.051	0.165	0.294	0.41	0.495	0.542
SPAC13A11.05	ysp2	viable	V	0.075	0.11	0.244	0.629	0.888	1.032	1.099	1.124
SPAC13A11.06	pdc202	viable	V	0.031	0.055	0.158	0.372	0.443	0.463	0.468	0.469
SPAC13C5.01c	pre9	viable	V	0.127	0.223	0.621	1.489	1.803	1.898	1.923	1.929
SPAC13C5.02	dre4	viable	V	0.064	0.098	0.262	1.043	1.992	2.851	3.463	3.786
SPAC13C5.03	tht1	viable	V	0.113	0.088	0.037	0.002	0.0	0.0	0.0	0.0
SPAC13C5.04	SPAC13C5.04	viable	V	0.024	0.043	0.126	0.291	0.342	0.355	0.358	0.359
SPAC13C5.05c	SPAC13C5.05c	viable	V	0.115	0.211	0.613	1.415	1.662	1.726	1.741	1.744
SPAC13C5.06c	mug121	viable	V	0.022	0.042	0.137	0.346	0.414	0.432	0.436	0.437
SPAC13C5.07	mre11	viable	V	0.199	0.365	1.062	2.451	2.878	2.991	3.016	3.021
SPAC13D1.01c	Tf2-7	unknown	Not_determined	0.066	0.079	0.123	0.258	0.402	0.549	0.683	0.776
SPAC13D6.01	pof14	viable	V	0.012	0.014	0.022	0.045	0.07	0.096	0.119	0.136
SPAC13D6.03c	trm9	viable	V	0.053	0.076	0.172	0.55	0.948	1.281	1.51	1.628
SPAC13D6.04c	btb3	viable	V	0.08	0.111	0.228	0.58	0.854	1.033	1.131	1.174
SPAC13D6.05	alp11	inviable	E	0.105	0.174	0.497	1.656	2.5	2.962	3.168	3.24
SPAC13F5.01c	msh1	viable	V	0.013	0.023	0.067	0.154	0.181	0.188	0.19	0.19
SPAC13F5.02c	taf7	inviable	E	0.196	0.345	0.966	2.303	2.776	2.917	2.954	2.961
SPAC13F5.03c	gld1	viable	V	0.055	0.101	0.293	0.677	0.795	0.826	0.833	0.834
SPAC13F5.04c	vta1	viable	V	0.085	0.155	0.452	1.043	1.225	1.273	1.284	1.286
SPAC13F5.05	mpd1	viable	V	0.052	0.086	0.226	0.563	0.711	0.765	0.782	0.786
SPAC13F5.06c	sec10	inviable	E	0.14	0.257	0.747	1.724	2.025	2.104	2.122	2.125
SPAC13F5.07c	hpz2	viable	V	0.012	0.028	0.128	0.423	0.533	0.562	0.569	0.57
SPAC13G6.01c	rad8	viable	V	0.0	0.0	0.0	0.0	0.0	0.0	0.186	0.828
SPAC13G6.02c	rps101	viable	V	0.085	0.116	0.241	0.745	1.355	1.969	2.479	2.796
SPAC13G6.03	gpi7	viable	V	0.211	0.174	0.094	0.013	0.001	0.0	0.0	0.0
SPAC13G6.04	tim8	viable	V	0.029	0.052	0.152	0.351	0.412	0.428	0.432	0.433
SPAC13G6.06c	gcv2	viable	V	0.026	0.031	0.049	0.102	0.158	0.216	0.269	0.306
SPAC13G6.07c	rps601	viable	V	0.217	0.3	0.613	1.557	2.298	2.789	3.063	3.183
SPAC13G6.08	fzr2	viable	V	0.019	0.023	0.036	0.075	0.117	0.16	0.198	0.226
SPAC13G6.09	tsr402	viable	V	0.2	0.367	1.066	2.462	2.891	3.004	3.029	3.034
SPAC13G6.10c	asl1	viable	V	0.043	0.061	0.138	0.471	0.881	1.284	1.605	1.794
SPAC13G6.11c	erg12	inviable	E	0.048	0.065	0.128	0.321	0.481	0.594	0.662	0.694
SPAC13G6.12c	chs1	viable	V	0.029	0.061	0.235	0.671	0.822	0.862	0.871	0.873
SPAC13G6.13	SPAC13G6.13	viable	V	-0.039	-0.024	-0.004	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC13G6.14	aps1	viable	V	0.0	0.0	0.0	0.0	0.0	0.0	0.197	2.183
SPAC13G7.02c	ssa1	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC13G7.03	upf3	viable	V	0.0	0.0	0.004	0.512	1.318	1.65	1.734	1.75
SPAC13G7.04c	mac1	viable	V	0.071	0.089	0.153	0.352	0.548	0.724	0.862	0.944
SPAC13G7.05	are1	viable	V	0.044	0.07	0.177	0.448	0.581	0.636	0.654	0.66
SPAC13G7.06	met16	viable	V	-0.559	-0.557	-0.547	-0.474	-0.264	-0.016	-0.0	-0.0
SPAC13G7.07	arb2	viable	V	0.225	0.289	0.52	1.293	2.093	2.828	3.404	3.749
SPAC13G7.09c	SPAC13G7.09c	viable	V	-0.057	-0.104	-0.302	-0.698	-0.82	-0.852	-0.859	-0.86
SPAC13G7.10	teb1	inviable	E	0.198	0.295	0.679	1.753	2.423	2.767	2.916	2.967
SPAC13G7.11	mba1	viable	V	0.05	0.062	0.105	0.239	0.372	0.495	0.593	0.654
SPAC13G7.12c	eki1	viable	V	0.32	0.217	0.054	0.0	0.0	0.0	0.0	0.0
SPAC13G7.13c	msa1	viable	V	-0.066	-0.049	-0.017	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC140.01	sdh2	viable	V	-0.066	-0.107	-0.273	-0.689	-0.887	-0.964	-0.99	-0.997
SPAC140.02	gar2	viable	V	0.208	0.382	1.11	2.562	3.009	3.126	3.153	3.158
SPAC140.03	arb1	viable	V	0.161	0.209	0.391	1.051	1.803	2.551	3.18	3.579
SPAC140.04	ctr1	viable	V	-0.294	-0.294	-0.293	-0.288	-0.267	-0.186	-0.027	-0.0
SPAC1420.01c	mks1	viable	V	-0.002	-0.007	-0.066	-0.377	-0.527	-0.571	-0.581	-0.583
SPAC144.01	SPAC144.01	viable	V	-0.047	-0.085	-0.248	-0.572	-0.672	-0.698	-0.704	-0.705
SPAC144.02	iec1	viable	V	0.154	0.191	0.321	0.739	1.185	1.621	1.993	2.235
SPAC144.03	ade2	viable	V	0.121	0.221	0.642	1.482	1.74	1.808	1.823	1.826
SPAC144.04c	spe1	viable	V	0.0	0.0	0.0	0.013	0.299	0.86	1.206	1.32
SPAC144.05	irc20	viable	V	-0.034	-0.018	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC144.06	apl5	viable	V	0.102	0.122	0.19	0.399	0.621	0.847	1.053	1.197
SPAC144.07c	gpn2	inviable	E	0.128	0.235	0.684	1.578	1.854	1.926	1.942	1.945
SPAC144.08	jac1	condition-dependent	E	0.132	0.238	0.687	1.6	1.892	1.971	1.99	1.993
SPAC144.09c	sfc2	inviable	E	0.19	0.348	1.013	2.338	2.745	2.852	2.876	2.881
SPAC144.10c	gwt1	inviable	E	0.115	0.21	0.61	1.408	1.653	1.718	1.732	1.735
SPAC144.11	rps1102	viable	V	0.1	0.132	0.259	0.743	1.309	1.876	2.351	2.649
SPAC144.13c	srw1	viable	V	0.089	0.125	0.26	0.664	0.97	1.165	1.269	1.313
SPAC144.14	klp8	viable	V	0.262	0.223	0.132	0.024	0.002	0.0	0.0	0.0
SPAC144.15c	cog1	inviable	E	0.353	0.61	1.677	4.058	4.964	5.252	5.33	5.347
SPAC144.16	cia2	inviable	E	0.146	0.267	0.777	1.793	2.106	2.188	2.206	2.21
SPAC144.17c	SPAC144.17c	viable	V	-0.064	-0.081	-0.14	-0.325	-0.507	-0.667	-0.79	-0.862
SPAC144.19	prl46	viable	Not_determined	0.091	0.111	0.18	0.406	0.655	0.915	1.151	1.316
SPAC1486.01	sod2	viable	V	0.05	0.092	0.268	0.619	0.727	0.756	0.762	0.763
SPAC1486.02c	dsc2	viable	V	0.01	0.019	0.054	0.125	0.147	0.153	0.154	0.154
SPAC1486.03c	ntr1	inviable	E	0.097	0.162	0.451	1.364	1.93	2.2	2.307	2.341
SPAC1486.04c	alm1	viable	V	0.234	0.362	0.875	2.244	3.005	3.351	3.485	3.526
SPAC1486.05	nup189	inviable	E	0.016	0.043	0.271	1.404	2.069	2.314	2.386	2.402
SPAC1486.07c	mrpl19	inviable	E	0.045	0.105	0.459	1.467	1.833	1.933	1.955	1.96
SPAC1486.08	cox16	viable	V	0.0	0.0	0.0	0.001	0.24	0.952	1.291	1.366
SPAC1486.09	nob1	inviable	E	0.129	0.237	0.688	1.589	1.867	1.939	1.956	1.959
